Convergence    Interations    DeltaSfa              theta2                  phi2                     DeltaS    
1e-1           10             0.0315823             0.0112721               0.012395                0.242968 
1e-2           13             0.00447744            0.00158042              0.0016981               0.00343691 
1e-3           17             4.00283e-05           1.41032e-05             1.50965e-05             3.07148e-05 
1e-4           20             3.05572e-05           1.07666e-05             1.15255e-05             2.34475e-05 
1e-5           23             4.08763e-06           1.44023e-06             1.54172e-06             3.13657e-06 
1e-6           27             2.2749e-07            8.01531e-08             8.58012e-08             1.7456e-07 
1e-7           30             2.06963e-08           7.29207e-09             7.80592e-09             1.58809e-08 
1e-8           33             3.4635e-09            1.22032e-09             1.30631e-09             2.65765e-09 
1e-9           37             2.32353e-10           8.18666e-11             8.76357e-11             1.78291e-10 
1e-10          40             3.04059e-11           1.07133e-11             1.1469e-11              2.33307e-11     
            
