Iteration	Linear	Quadratic	Exponential	Trigonometric	3Dwell	TX05A	TX05B
1	0.7	0.475	3	0.143806	36.5419	0.1	100
2	0.2	0.1625	0.5	1.10619	18.0383	0.05	50
3	0.05	0.00625	0.75	0.481194	8.78652	0.025	25
4	0.075	0.071875	0.125	0.168694	4.16063	0.0125	12.5
5	0.0125	0.0328125	0.1875	0.0124445	1.84769	0.00625	6.25
6	0.01875	0.0132812	0.03125	0.0656805	0.691213	0.003125	3.125
7	0.003125	0.00351562	0.046875	0.026618	0.112977	0.0015625	1.5625
8	0.0046875	0.00136719	0.0078125	0.00708676	0.176141	0.00078125	0.78125
9	0.00078125	0.00107422	0.0117188	0.00267887	0.0315823	0.000390625	0.390625
10	0.00117187	0.000146484	0.00195312	0.00220395	0.0406973	0.000195313	0.1953125
11	0.000195312	0.000463867	0.00292969	0.000237459	0.0045575	9.76563E-05	0.09765625

