Iteration	Linear	Quadratic	Exponential	Trigonometric	3Dwell	Linear2	Quad2
0	0.3	9.5	3	0.643806	38.9315	100	1
1	1.00E-200	4.65206	2.9	0.10667	3.58723	50	0.5
2	1.00E-200	2.23015	2.79796	0.000406434	0.0468281	25	0.125
3	1.00E-200	1.02331	2.69375	2.24E-11	0.000202359	12.5	0.0078125
4	1.00E-200	0.428002	2.58722	1.00E-200	4.16E-09	6.25	3.05176E-05
5	1.00E-200	0.145848	2.47823	1.00E-200	1.00E-200	3.125	4.65661E-10
6	1.00E-200	0.0307529	2.36657	1.00E-200	1.00E-200	1.5625	1.0842E-19
7	1.00E-200	0.00204925	2.25207	1.00E-200	1.00E-200	0.78125	5.87747E-39
8	1.00E-200	1.04E-05	2.13448	1.00E-200	1.00E-200	0.390625	1.72723E-77
9	1.00E-200	2.70E-10	2.01354	1.00E-200	1.00E-200	0.1953125	1.4917E-154
10	1.00E-200	1.00E-200	1.88897	1.00E-200	1.00E-200	0.09765625	1.00E-200
11	1.00E-200	1.00E-200	1.7604	1.00E-200	1.00E-200	0.048828125	1.00E-200
12	1.00E-200	1.00E-200	1.62744	1.00E-200	1.00E-200	0.024414063	1.00E-200
13	1.00E-200	1.00E-200	1.48962	1.00E-200	1.00E-200	0.012207031	1.00E-200
14	1.00E-200	1.00E-200	1.34637	1.00E-200	1.00E-200	0.006103516	1.00E-200
15	1.00E-200	1.00E-200	1.19707	1.00E-200	1.00E-200	0.003051758	1.00E-200
16	1.00E-200	1.00E-200	1.04099	1.00E-200	1.00E-200	0.001525879	1.00E-200

