x        fx         fpx 
9.8  0.417398  -0.53993
9.8104  0.402826  -0.593126
9.8208  0.389926  -0.627087
9.8312  0.37804  -0.652098
9.8416  0.366853  -0.671901
9.852  0.356184  -0.688268
9.8624  0.345919  -0.702182
9.8728  0.335981  -0.714249
9.8832  0.326313  -0.72487
9.8936  0.316874  -0.734325
9.904  0.307631  -0.742821
9.9144  0.298559  -0.750513
9.9248  0.289637  -0.757521
9.9352  0.28085  -0.76394
9.9456  0.272183  -0.769848
9.956  0.263623  -0.775309
9.9664  0.255162  -0.780375
9.9768  0.246791  -0.785089
9.9872  0.238501  -0.78949
9.9976  0.230288  -0.79361
10.008  0.222144  -0.797475
10.0184  0.214065  -0.801111
10.0288  0.206046  -0.804538
10.0392  0.198084  -0.807774
10.0496  0.190174  -0.810837
10.06  0.182313  -0.813739
10.0704  0.174499  -0.816494
10.0808  0.166729  -0.819113
10.0912  0.159  -0.821607
10.1016  0.15131  -0.823985
10.112  0.143656  -0.826254
10.1224  0.136038  -0.828424
10.1328  0.128452  -0.830499
10.1432  0.120899  -0.832488
10.1536  0.113375  -0.834395
10.164  0.10588  -0.836225
10.1744  0.0984122  -0.837983
10.1848  0.0909705  -0.839674
10.1952  0.0835537  -0.841302
10.2056  0.0761608  -0.84287
10.216  0.0687908  -0.844382
10.2264  0.0614426  -0.845841
10.2368  0.0541154  -0.847249
10.2472  0.0468085  -0.84861
10.2576  0.0395209  -0.849927
10.268  0.0322519  -0.8512
10.2784  0.0250008  -0.852433
10.2888  0.017767  -0.853627
10.2992  0.0105498  -0.854785
10.3096  0.00334868  -0.855908
10.32  -0.00383705  -0.856999
10.3304  -0.0110079  -0.858057
10.3408  -0.0181643  -0.859086
10.3512  -0.0253069  -0.860085
10.3616  -0.032436  -0.861057
10.372  -0.0395522  -0.862003
10.3824  -0.0466559  -0.862924
10.3928  -0.0537474  -0.863821
10.4032  -0.0608272  -0.864695
10.4136  -0.0678957  -0.865547
10.424  -0.0749531  -0.866378
10.4344  -0.0819999  -0.867188
10.4448  -0.0890364  -0.867979
10.4552  -0.0960629  -0.868751
10.4656  -0.10308  -0.869505
10.476  -0.110087  -0.870242
10.4864  -0.117085  -0.870963
10.4968  -0.124075  -0.871667
10.5072  -0.131056  -0.872356
10.5176  -0.138028  -0.873029
10.528  -0.144992  -0.873689
10.5384  -0.151949  -0.874335
10.5488  -0.158898  -0.874967
10.5592  -0.165839  -0.875587
10.5696  -0.172774  -0.876194
10.58  -0.179701  -0.876789
10.5904  -0.186621  -0.877372
10.6008  -0.193535  -0.877944
10.6112  -0.200443  -0.878505
10.6216  -0.207344  -0.879056
10.632  -0.214239  -0.879597
10.6424  -0.221128  -0.880128
10.6528  -0.228011  -0.880649
10.6632  -0.234889  -0.881161
10.6736  -0.241761  -0.881663
10.684  -0.248628  -0.882158
10.6944  -0.25549  -0.882643
10.7048  -0.262347  -0.883121
10.7152  -0.269199  -0.883591
10.7256  -0.276046  -0.884052
10.736  -0.282889  -0.884507
10.7464  -0.289727  -0.884954
10.7568  -0.296561  -0.885394
10.7672  -0.30339  -0.885827
10.7776  -0.310215  -0.886253
10.788  -0.317036  -0.886673
10.7984  -0.323853  -0.887087
10.8088  -0.330667  -0.887494
10.8192  -0.337476  -0.887896
10.8296  -0.344282  -0.888291
10.84  -0.351085  -0.888681
10.8504  -0.357884  -0.889065
10.8608  -0.364679  -0.889444
10.8712  -0.371472  -0.889818
10.8816  -0.378261  -0.890186
10.892  -0.385047  -0.89055
10.9024  -0.39183  -0.890908
10.9128  -0.39861  -0.891262
10.9232  -0.405387  -0.891611
10.9336  -0.412161  -0.891956
10.944  -0.418933  -0.892296
10.9544  -0.425702  -0.892632
10.9648  -0.432469  -0.892963
10.9752  -0.439233  -0.893291
10.9856  -0.445994  -0.893614
10.996  -0.452753  -0.893934
11.0064  -0.45951  -0.894249
11.0168  -0.466265  -0.894561
11.0272  -0.473017  -0.894869
11.0376  -0.479767  -0.895174
11.048  -0.486516  -0.895475
11.0584  -0.493262  -0.895773
11.0688  -0.500006  -0.896067
11.0792  -0.506749  -0.896358
11.0896  -0.513489  -0.896646
11.1  -0.520228  -0.89693
11.1104  -0.526965  -0.897211
11.1208  -0.5337  -0.89749
11.1312  -0.540434  -0.897765
11.1416  -0.547166  -0.898038
11.152  -0.553897  -0.898307
11.1624  -0.560626  -0.898574
11.1728  -0.567353  -0.898838
11.1832  -0.57408  -0.8991
11.1936  -0.580804  -0.899359
11.204  -0.587528  -0.899615
11.2144  -0.59425  -0.899868
11.2248  -0.600971  -0.90012
11.2352  -0.607691  -0.900368
11.2456  -0.61441  -0.900615
11.256  -0.621127  -0.900859
11.2664  -0.627844  -0.9011
11.2768  -0.634559  -0.90134
11.2872  -0.641273  -0.901577
11.2976  -0.647987  -0.901812
11.308  -0.654699  -0.902045
11.3184  -0.661411  -0.902275
11.3288  -0.668122  -0.902504
11.3392  -0.674832  -0.902731
11.3496  -0.681541  -0.902955
11.36  -0.688249  -0.903178
11.3704  -0.694957  -0.903399
11.3808  -0.701663  -0.903618
11.3912  -0.70837  -0.903835
11.4016  -0.715075  -0.90405
11.412  -0.72178  -0.904263
11.4224  -0.728484  -0.904475
11.4328  -0.735188  -0.904685
11.4432  -0.741891  -0.904893
11.4536  -0.748594  -0.9051
11.464  -0.755296  -0.905304
11.4744  -0.761998  -0.905508
11.4848  -0.768699  -0.905709
11.4952  -0.7754  -0.905909
11.5056  -0.782101  -0.906108
11.516  -0.788801  -0.906305
11.5264  -0.795501  -0.9065
11.5368  -0.8022  -0.906694
11.5472  -0.808899  -0.906887
11.5576  -0.815598  -0.907078
11.568  -0.822297  -0.907267
11.5784  -0.828995  -0.907456
11.5888  -0.835694  -0.907642
11.5992  -0.842392  -0.907828
11.6096  -0.84909  -0.908012
11.62  -0.855787  -0.908195
11.6304  -0.862485  -0.908377
11.6408  -0.869183  -0.908557
11.6512  -0.87588  -0.908736
11.6616  -0.882577  -0.908914
11.672  -0.889275  -0.90909
11.6824  -0.895972  -0.909266
11.6928  -0.90267  -0.90944
11.7032  -0.909367  -0.909613
11.7136  -0.916064  -0.909785
11.724  -0.922762  -0.909955
11.7344  -0.929459  -0.910125
11.7448  -0.936157  -0.910294
11.7552  -0.942854  -0.910461
11.7656  -0.949552  -0.910627
11.776  -0.95625  -0.910793
11.7864  -0.962948  -0.910957
11.7968  -0.969646  -0.91112
11.8072  -0.976345  -0.911282
11.8176  -0.983043  -0.911443
11.828  -0.989742  -0.911603
11.8384  -0.996441  -0.911763
11.8488  -1.00314  -0.911921
11.8592  -1.00984  -0.912078
11.8696  -1.01654  -0.912234
11.88  -1.02324  -0.91239
11.8904  -1.02994  -0.912544
11.9008  -1.03664  -0.912698
11.9112  -1.04334  -0.91285
11.9216  -1.05004  -0.913002
11.932  -1.05674  -0.913153
11.9424  -1.06345  -0.913303
11.9528  -1.07015  -0.913452
11.9632  -1.07685  -0.9136
11.9736  -1.08355  -0.913748
11.984  -1.09026  -0.913894
11.9944  -1.09696  -0.91404
12.0048  -1.10366  -0.914185
12.0152  -1.11037  -0.91433
12.0256  -1.11707  -0.914473
12.036  -1.12378  -0.914616
12.0464  -1.13049  -0.914757
12.0568  -1.13719  -0.914899
12.0672  -1.1439  -0.915039
12.0776  -1.15061  -0.915179
12.088  -1.15732  -0.915317
12.0984  -1.16402  -0.915456
12.1088  -1.17073  -0.915593
12.1192  -1.17744  -0.91573
12.1296  -1.18415  -0.915866
12.14  -1.19086  -0.916001
12.1504  -1.19757  -0.916136
12.1608  -1.20429  -0.91627
12.1712  -1.211  -0.916403
12.1816  -1.21771  -0.916536
12.192  -1.22443  -0.916668
12.2024  -1.23114  -0.916799
12.2128  -1.23785  -0.91693
12.2232  -1.24457  -0.91706
12.2336  -1.25129  -0.917189
12.244  -1.258  -0.917318
12.2544  -1.26472  -0.917446
12.2648  -1.27144  -0.917574
12.2752  -1.27816  -0.9177
12.2856  -1.28488  -0.917827
12.296  -1.2916  -0.917953
12.3064  -1.29832  -0.918078
12.3168  -1.30504  -0.918202
12.3272  -1.31176  -0.918326
12.3376  -1.31848  -0.91845
12.348  -1.32521  -0.918573
12.3584  -1.33193  -0.918695
12.3688  -1.33866  -0.918817
12.3792  -1.34538  -0.918938
12.3896  -1.35211  -0.919058
12.4  -1.35884  -0.919179
12.4104  -1.36556  -0.919298
12.4208  -1.37229  -0.919417
12.4312  -1.37902  -0.919536
12.4416  -1.38575  -0.919654
12.452  -1.39248  -0.919771
12.4624  -1.39921  -0.919888
12.4728  -1.40595  -0.920005
12.4832  -1.41268  -0.920121
12.4936  -1.41942  -0.920236
12.504  -1.42615  -0.920351
12.5144  -1.43289  -0.920466
12.5248  -1.43962  -0.92058
12.5352  -1.44636  -0.920693
12.5456  -1.4531  -0.920806
12.556  -1.45984  -0.920919
12.5664  -1.46658  -0.921031
12.5768  -1.47332  -0.921143
12.5872  -1.48006  -0.921254
12.5976  -1.4868  -0.921365
12.608  -1.49355  -0.921475
12.6184  -1.50029  -0.921585
12.6288  -1.50704  -0.921695
12.6392  -1.51378  -0.921804
12.6496  -1.52053  -0.921912
12.66  -1.52728  -0.92202
12.6704  -1.53403  -0.922128
12.6808  -1.54077  -0.922235
12.6912  -1.54753  -0.922342
12.7016  -1.55428  -0.922449
12.712  -1.56103  -0.922555
12.7224  -1.56778  -0.922661
12.7328  -1.57454  -0.922766
12.7432  -1.58129  -0.922871
12.7536  -1.58805  -0.922975
12.764  -1.5948  -0.923079
12.7744  -1.60156  -0.923183
12.7848  -1.60832  -0.923286
12.7952  -1.61508  -0.923389
12.8056  -1.62184  -0.923491
12.816  -1.6286  -0.923594
12.8264  -1.63537  -0.923695
12.8368  -1.64213  -0.923797
12.8472  -1.64889  -0.923898
12.8576  -1.65566  -0.923998
12.868  -1.66243  -0.924099
12.8784  -1.66919  -0.924199
12.8888  -1.67596  -0.924298
12.8992  -1.68273  -0.924397
12.9096  -1.6895  -0.924496
12.92  -1.69627  -0.924595
12.9304  -1.70304  -0.924693
12.9408  -1.70982  -0.924791
12.9512  -1.71659  -0.924888
12.9616  -1.72337  -0.924985
12.972  -1.73014  -0.925082
12.9824  -1.73692  -0.925178
12.9928  -1.7437  -0.925275
13.0032  -1.75048  -0.92537
13.0136  -1.75726  -0.925466
13.024  -1.76404  -0.925561
13.0344  -1.77082  -0.925656
13.0448  -1.77761  -0.92575
13.0552  -1.78439  -0.925844
13.0656  -1.79118  -0.925938
13.076  -1.79796  -0.926032
13.0864  -1.80475  -0.926125
13.0968  -1.81154  -0.926218
13.1072  -1.81833  -0.92631
13.1176  -1.82512  -0.926403
13.128  -1.83191  -0.926495
13.1384  -1.8387  -0.926586
13.1488  -1.8455  -0.926678
13.1592  -1.85229  -0.926769
13.1696  -1.85909  -0.92686
13.18  -1.86588  -0.92695
13.1904  -1.87268  -0.92704
13.2008  -1.87948  -0.92713
13.2112  -1.88628  -0.92722
13.2216  -1.89308  -0.927309
13.232  -1.89988  -0.927398
13.2424  -1.90669  -0.927487
13.2528  -1.91349  -0.927576
13.2632  -1.9203  -0.927664
13.2736  -1.9271  -0.927752
13.284  -1.93391  -0.92784
13.2944  -1.94072  -0.927927
13.3048  -1.94753  -0.928014
13.3152  -1.95434  -0.928101
13.3256  -1.96115  -0.928188
13.336  -1.96796  -0.928274
13.3464  -1.97478  -0.92836
13.3568  -1.98159  -0.928446
13.3672  -1.98841  -0.928531
13.3776  -1.99523  -0.928617
13.388  -2.00204  -0.928702
13.3984  -2.00886  -0.928786
13.4088  -2.01568  -0.928871
13.4192  -2.02251  -0.928955
13.4296  -2.02933  -0.929039
13.44  -2.03615  -0.929123
13.4504  -2.04298  -0.929207
13.4608  -2.0498  -0.92929
13.4712  -2.05663  -0.929373
13.4816  -2.06346  -0.929456
13.492  -2.07029  -0.929538
13.5024  -2.07712  -0.929621
13.5128  -2.08395  -0.929703
13.5232  -2.09078  -0.929784
13.5336  -2.09762  -0.929866
13.544  -2.10445  -0.929947
13.5544  -2.11129  -0.930029
13.5648  -2.11812  -0.930109
13.5752  -2.12496  -0.93019
13.5856  -2.1318  -0.930271
13.596  -2.13864  -0.930351
13.6064  -2.14548  -0.930431
13.6168  -2.15233  -0.930511
13.6272  -2.15917  -0.93059
13.6376  -2.16601  -0.930669
13.648  -2.17286  -0.930748
13.6584  -2.17971  -0.930827
13.6688  -2.18656  -0.930906
13.6792  -2.19341  -0.930984
13.6896  -2.20026  -0.931063
13.7  -2.20711  -0.931141
13.7104  -2.21396  -0.931218
13.7208  -2.22081  -0.931296
13.7312  -2.22767  -0.931373
13.7416  -2.23453  -0.931451
13.752  -2.24138  -0.931528
13.7624  -2.24824  -0.931604
13.7728  -2.2551  -0.931681
13.7832  -2.26196  -0.931757
13.7936  -2.26882  -0.931833
13.804  -2.27569  -0.931909
13.8144  -2.28255  -0.931985
13.8248  -2.28942  -0.93206
13.8352  -2.29628  -0.932136
13.8456  -2.30315  -0.932211
13.856  -2.31002  -0.932286
13.8664  -2.31689  -0.93236
13.8768  -2.32376  -0.932435
13.8872  -2.33063  -0.932509
