Iteration	3rdDegree	3rdDegreeInv	Exp	ExpInv	Trig	TrigInv
0	10	20	0.5	1	25	34.88405
1	8.42105	8.42105	0.469452	0.469452	34.8687	42.75275
2	5.88994	7.35954	0.30597	0.442401	13.8284	29.10705
3	4.40097	5.04065	0.204785	0.27871	9.88806	27.65305
4	3.16814	3.77613	0.103796	0.18091	9.22934	26.29275
5	2.28122	2.69717	0.0395408	0.0859919	16.8971	28.81665
6	1.61351	1.93213	0.00844434	0.0296714	8.05996	36.24485
7	1.12551	1.35597	0.000729046	0.00534055	6.05871	24.73615
8	0.77087	0.938142	1.37728E-05	0.000348821	24.5942	66.39585
9	0.518384	0.636725	1.00E-200	4.17671E-06	4.52973	29.49075
10	0.342198	0.424314	1.00E-200	1.00E-200	3.46642	32.93585
11	0.222134	0.277732	1.00E-200	1.00E-200	1.94113	28.35665
12	0.142165	0.178979	1.00E-200	1.00E-200	1.09834	27.84525
13	0.0899853	0.113885	1.00E-200	1.00E-200	0.300464	24.96575
14	0.0565003	0.0717777	1.00E-200	1.00E-200	0.0160378	28.83095
15	0.0352783	0.0449334	1.00E-200	1.00E-200	1.50578E-05	31.72005
16	0.0219457	0.0279997	1.00E-200	1.00E-200	2.04541E-12	28.20825
17	0.013619	0.0173951	1.00E-200	1.00E-200	1.00E-200	27.75165
18	0.00843862	0.010786	1.00E-200	1.00E-200	1.00E-200	22.19985
19	0.0052237	0.00667969	1.00E-200	1.00E-200	1.00E-200	29.62895
20	0.00323163	0.00413351	1.00E-200	1.00E-200	1.00E-200	61.65525
21	0.00199849	0.00255666	1.00E-200	1.00E-200	1.00E-200	27.09665
22	0.0012356	0.00158087	1.00E-200	1.00E-200	1.00E-200	26.02105
23	1.00E-200	1.00E-200	1.00E-200	1.00E-200	1.00E-200	28.24015
24	1.00E-200	1.00E-200	1.00E-200	1.00E-200	1.00E-200	29.89965
25	1.00E-200	1.00E-200	1.00E-200	1.00E-200	1.00E-200	27.59185
26	1.00E-200	1.00E-200	1.00E-200	1.00E-200	1.00E-200	26.76135
27	1.00E-200	1.00E-200	1.00E-200	1.00E-200	1.00E-200	29.00105
28	1.00E-200	1.00E-200	1.00E-200	1.00E-200	1.00E-200	13.61175
29	1.00E-200	1.00E-200	1.00E-200	1.00E-200	1.00E-200	2.63727
30	1.00E-200	1.00E-200	1.00E-200	1.00E-200	1.00E-200	0.84021
31	1.00E-200	1.00E-200	1.00E-200	1.00E-200	1.00E-200	1.09518
32	1.00E-200	1.00E-200	1.00E-200	1.00E-200	1.00E-200	0.19689
33	1.00E-200	1.00E-200	1.00E-200	1.00E-200	1.00E-200	0.08503
34	1.00E-200	1.00E-200	1.00E-200	1.00E-200	1.00E-200	0.00333
35	1.00E-200	1.00E-200	1.00E-200	1.00E-200	1.00E-200	5E-05
