Iteration	Linear	Quadratic	Exponential	Trigonometric	3Dwell	Linear2	Quad2
0	0.7	1.1	1	0.643806	0.519659	1	1
1	5.55E-17	0.208108	0.469452	0.733584	0.0118973	0.5	0.5
2	1.00E-200	0.134019	0.442401	0.00730679	0.000411263	0.25	0.125
3	1.00E-200	0.0375818	0.27871	0.000706609	5.03E-07	0.125	0.0078125
4	1.00E-200	0.00881152	0.18091	5.68E-09	2.10E-11	0.0625	3.05E-05
5	1.00E-200	0.00074184	0.0859919	1.00E-200	1.00E-200	0.03125	4.66E-10
6	1.00E-200	1.60E-05	0.0296714	1.00E-200	1.00E-200	0.015625	1.08E-19
7	1.00E-200	1.00E-200	0.00534055	1.00E-200	1.00E-200	0.0078125	5.88E-39
8	1.00E-200	1.00E-200	0.000348821	1.00E-200	1.00E-200	0.00390625	1.73E-77
9	1.00E-200	1.00E-200	4.18E-06	1.00E-200	1.00E-200	0.001953125	1.49E-154
10	1.00E-200	1.00E-200	1.00E-200	1.00E-200	1.00E-200	0.000976563	1.00E-200
11	1.00E-200	1.00E-200	1.00E-200	1.00E-200	1.00E-200	0.000488281	1.00E-200
12	1.00E-200	1.00E-200	1.00E-200	1.00E-200	1.00E-200	0.000244141	1.00E-200
13	1.00E-200	1.00E-200	1.00E-200	1.00E-200	1.00E-200	0.00012207	1.00E-200
14	1.00E-200	1.00E-200	1.00E-200	1.00E-200	1.00E-200	6.10352E-05	1.00E-200
15	1.00E-200	1.00E-200	1.00E-200	1.00E-200	1.00E-200	3.05176E-05	1.00E-200
16	1.00E-200	1.00E-200	1.00E-200	1.00E-200	1.00E-200	1.52588E-05	1.00E-200
