               x	True	eNatural	eFixed
0	0	0	0
0.015	0.015113065	-5.18633E-05	6.08857E-08
0.03	0.030454534	-0.000205216	4.76404E-07
0.045	0.04602786	-0.000456721	1.5722E-06
0.06	0.061836547	-0.000803067	3.64295E-06
0.075	0.077884151	-0.001240963	6.95319E-06
0.09	0.094174284	-0.001767145	1.17381E-05
0.105	0.11071061	-0.002378368	1.82045E-05
0.12	0.127496852	-0.00307141	2.65311E-05
0.135	0.144536784	-0.003843068	3.68701E-05
0.15	0.161834243	-0.00469016	4.93475E-05
0.165	0.179393119	-0.005609522	6.40642E-05
0.18	0.197217363	-0.006598008	8.10969E-05
0.195	0.215310986	-0.007652488	0.000100499
0.21	0.23367806	-0.008769849	0.0001223
0.225	0.252322716	-0.009946993	0.000146511
0.24	0.27124915	-0.011180836	0.000173119
0.255	0.290461621	-0.012468307	0.000202093
0.27	0.309964451	-0.013806348	0.000233384
0.285	0.329762028	-0.015191911	0.000266923
0.3	0.349858808	-0.016621961	0.000302626
0.315	0.370259311	-0.018093468	0.000340393
0.33	0.390968128	-0.019603415	0.000380109
0.345	0.41198992	-0.021148788	0.000421644
0.36	0.433329415	-0.022726582	0.000464858
0.375	0.454991415	-0.024333797	0.000509597
0.39	0.476980794	-0.025967436	0.000555697
0.405	0.4993025	-0.027624506	0.000602986
0.42	0.521961556	-0.029302013	0.000651282
0.435	0.544963059	-0.030996969	0.000700396
0.45	0.568312185	-0.03270638	0.000750134
0.465	0.592014189	-0.034427255	0.000800296
0.48	0.616074402	-0.036156597	0.000850679
0.495	0.640498239	-0.037891406	0.000901077
0.51	0.665291195	-0.039628678	0.000951283
0.525	0.690458848	-0.041365402	0.00100109
0.54	0.716006862	-0.043098557	0.001050291
0.555	0.741940985	-0.044825117	0.001098684
0.57	0.768267051	-0.046542042	0.001146069
0.585	0.794990986	-0.048246284	0.001192251
0.6	0.8221188	-0.049934779	0.001237042
0.615	0.8496566	-0.05160445	0.001280262
0.63	0.877610579	-0.053252206	0.001321739
0.645	0.905987029	-0.054874936	0.001361312
0.66	0.934792334	-0.056469512	0.001398834
0.675	0.964032976	-0.058032787	0.001434167
0.69	0.993715533	-0.059561591	0.001467193
0.705	1.023846685	-0.061052732	0.001497806
0.72	1.054433211	-0.062502995	0.001525921
0.735	1.085481993	-0.063909136	0.00155147
0.75	1.117000017	-0.065267888	0.001574406
0.765	1.148994375	-0.06657595	0.001594707
0.78	1.181472265	-0.067829995	0.001612372
0.795	1.214440997	-0.06902666	0.00162743
0.81	1.247907987	-0.070162551	0.001639931
0.825	1.281880765	-0.071234238	0.001649959
0.84	1.316366977	-0.072238252	0.001657628
0.855	1.351374381	-0.073171088	0.001663081
0.87	1.386910854	-0.074029199	0.0016665
0.885	1.422984391	-0.074808995	0.001668099
0.9	1.459603111	-0.075506841	0.001668134
0.915	1.496775252	-0.076119058	0.001666896
0.93	1.534509178	-0.076641919	0.001664719
0.945	1.572813379	-0.077071645	0.001661982
0.96	1.611696473	-0.07740441	0.001659106
0.975	1.651167211	-0.077636327	0.001656563
0.99	1.691234472	-0.077763461	0.001654871
1	1.718281828	-0.077788033	0.001654496
1.02	1.773194764	-0.077687389	0.001656361
1.035	1.815106236	-0.077476436	0.001660719
1.05	1.857651118	-0.077145575	0.001668176
1.065	1.900838984	-0.076691797	0.001679168
1.08	1.944679551	-0.076112463	0.001694058
1.095	1.989182683	-0.0754053	0.001713148
1.11	2.034358394	-0.0745684	0.00173668
1.125	2.080216849	-0.073600215	0.001764832
1.14	2.126768365	-0.072499563	0.001797727
1.155	2.174023418	-0.071265612	0.001835432
1.17	2.221992639	-0.069897891	0.001877961
1.185	2.270686821	-0.068396281	0.001925277
1.2	2.320116923	-0.066761011	0.001977299
1.215	2.370294064	-0.064992661	0.002033893
1.23	2.421229536	-0.063092154	0.00209489
1.245	2.472934799	-0.061060759	0.002160075
1.26	2.525421487	-0.058900083	0.002229197
1.275	2.57870141	-0.056612071	0.00230197
1.29	2.632786556	-0.054199005	0.002378074
1.305	2.687689094	-0.051663498	0.002457159
1.32	2.743421377	-0.049008493	0.00253885
1.335	2.799995946	-0.046237261	0.002622745
1.35	2.857425531	-0.043353393	0.002708424
1.365	2.915723052	-0.040360809	0.002795443
1.38	2.974901627	-0.037263741	0.002883345
1.395	3.034974573	-0.034066736	0.002971663
1.41	3.095955404	-0.03077466	0.003059913
1.425	3.157857843	-0.02739268	0.00314761
1.44	3.220695817	-0.023926276	0.003234264
1.455	3.284483466	-0.020381227	0.003319384
1.47	3.349235141	-0.016763616	0.003402479
1.485	3.414965413	-0.013079817	0.003483069
1.5	3.48168907	-0.009336504	0.003560678
1.515	3.549421127	-0.005540635	0.003634846
1.53	3.618176822	-0.00169946	0.003705126
1.545	3.687971627	0.002179492	0.003771092
1.56	3.758821245	0.006088409	0.00383234
1.575	3.830741618	0.010019204	0.003888492
1.59	3.903748928	0.013963516	0.0039392
1.605	3.977859603	0.017912718	0.00398415
1.62	4.053090317	0.021857914	0.004023065
1.635	4.129457997	0.025789948	0.004055707
1.65	4.206979827	0.029699406	0.004081884
1.665	4.28567325	0.033576622	0.004101455
1.68	4.365555971	0.037411675	0.004114327
1.695	4.446645965	0.041194404	0.004120466
1.71	4.528961478	0.044914401	0.004119899
1.725	4.61252103	0.048561022	0.004112716
1.74	4.697343423	0.05212339	0.004099076
1.755	4.783447742	0.055590397	0.004079211
1.77	4.870853361	0.058950711	0.004053432
1.785	4.959579948	0.062192781	0.004022131
1.8	5.049647464	0.065304832	0.003985783
1.815	5.141076177	0.068274887	0.003944958
1.83	5.233886659	0.071090756	0.00390032
1.845	5.32809979	0.073740044	0.003852628
1.86	5.423736771	0.076210165	0.003802753
1.875	5.52081912	0.078488334	0.003751671
1.89	5.619368681	0.08056158	0.003700472
1.905	5.719407628	0.082416747	0.003650367
1.92	5.820958469	0.084040501	0.003602686
1.935	5.924044055	0.085419336	0.003558895
1.95	6.028687581	0.086539576	0.003520591
1.965	6.13491259	0.087387382	0.003489508
1.98	6.242742985	0.087948758	0.003467529
1.995	6.352203028	0.088209554	0.003456684
2	6.389056099	0.088227224	0.003455916
2.025	6.576110945	0.08777244	0.003477174
2.04	6.690609199	0.087047134	0.003512782
2.055	6.806837873	0.085967256	0.003567796
2.07	6.924823118	0.084521475	0.003643807
2.085	7.044591482	0.082699444	0.00374219
2.1	7.166169913	0.080491809	0.003864104
2.115	7.289585766	0.077890211	0.004010505
2.13	7.414866811	0.074887298	0.004182148
2.145	7.542041237	0.071476728	0.004379597
2.16	7.671137658	0.067653171	0.004603224
2.175	7.802185122	0.063412325	0.004853224
2.19	7.935213115	0.058750914	0.005129616
2.205	8.070251568	0.053666697	0.005432251
2.22	8.207330866	0.048158481	0.005760821
2.235	8.346481852	0.042226116	0.00611486
2.25	8.487735836	0.035870512	0.006493761
2.265	8.631124601	0.029093644	0.006896771
2.28	8.77668041	0.021898553	0.007323008
2.295	8.924436012	0.014289361	0.007771461
2.31	9.074424655	0.006271276	0.008241003
2.325	9.226680086	-0.002149404	0.008730396
2.34	9.381236563	-0.010965279	0.009238298
2.355	9.538128862	-0.020167841	0.009763271
2.37	9.697392284	-0.029747467	0.01030379
2.385	9.859062665	-0.039693409	0.010858251
2.4	10.02317638	-0.049993789	0.011424981
2.415	10.18977036	-0.060635582	0.012002228
2.43	10.35888208	-0.07160463	0.01258821
2.445	10.5305496	-0.082885601	0.013181079
2.46	10.70481154	-0.09446201	0.01377895
2.475	10.88170711	-0.106316187	0.014379923
2.49	11.06127612	-0.11842929	0.01498206
2.505	11.24355897	-0.130781274	0.015583426
2.52	11.42859666	-0.143350906	0.016182064
2.535	11.61643085	-0.156115742	0.016776048
2.55	11.80710378	-0.169052097	0.017363453
2.565	12.00065837	-0.18213508	0.01794237
2.58	12.19713816	-0.19533856	0.01851095
2.595	12.39658736	-0.208635149	0.019067371
2.61	12.59905085	-0.221996198	0.019609872
2.625	12.80457419	-0.235391804	0.020136756
2.64	13.01320361	-0.248790762	0.020646398
2.655	13.22498606	-0.262160601	0.021137259
2.67	13.43996919	-0.275467537	0.021607903
2.685	13.65820138	-0.28867649	0.022057
2.7	13.87973172	-0.301751035	0.022483335
2.715	14.10461007	-0.314653428	0.022885802
2.73	14.33288702	-0.32734459	0.02326348
2.745	14.56461393	-0.339784078	0.023615552
2.76	14.79984295	-0.351930072	0.023941398
2.775	15.038627	-0.363739394	0.024240556
2.79	15.2810198	-0.375167458	0.024512752
2.805	15.52707591	-0.386168294	0.024757916
2.82	15.77685067	-0.396694508	0.024976192
2.835	16.0304003	-0.40669727	0.02516793
2.85	16.28778184	-0.416126309	0.025333731
