               x	               y	           dy/dx	         d2y/dx2	          Int(y)	         ylinear
               0	              -4	            11.5	             -14	               0	               1
            0.02	       -3.772788	         11.2218	          -13.82	  -0.07771860667	            1.02
            0.04	       -3.551104	         10.9472	          -13.64	   -0.1509483733	            1.04
            0.06	       -3.334876	         10.6762	          -13.46	     -0.21979914	            1.06
            0.08	       -3.124032	         10.4088	          -13.28	   -0.2843793067	            1.08
             0.1	         -2.9185	          10.145	           -13.1	   -0.3447958333	             1.1
            0.12	       -2.718208	          9.8848	          -12.92	     -0.40115424	            1.12
            0.14	       -2.523084	          9.6282	          -12.74	   -0.4535586067	            1.14
            0.16	       -2.333056	          9.3752	          -12.56	   -0.5021115733	            1.16
            0.18	       -2.148052	          9.1258	          -12.38	     -0.54691434	            1.18
             0.2	          -1.968	            8.88	           -12.2	   -0.5880666667	             1.2
            0.22	       -1.792828	          8.6378	          -12.02	   -0.6256668733	            1.22
            0.24	       -1.622464	          8.3992	          -11.84	     -0.65981184	            1.24
            0.26	       -1.456836	          8.1642	          -11.66	   -0.6905970067	            1.26
            0.28	       -1.295872	          7.9328	          -11.48	   -0.7181163733	            1.28
             0.3	         -1.1395	           7.705	           -11.3	      -0.7424625	             1.3
            0.32	       -0.987648	          7.4808	          -11.12	   -0.7637265067	            1.32
            0.34	       -0.840244	          7.2602	          -10.94	   -0.7819980733	            1.34
            0.36	       -0.697216	          7.0432	          -10.76	     -0.79736544	            1.36
            0.38	       -0.558492	          6.8298	          -10.58	   -0.8099154067	            1.38
             0.4	          -0.424	            6.62	           -10.4	   -0.8197333333	             1.4
            0.42	       -0.293668	          6.4138	          -10.22	     -0.82690314	            1.42
            0.44	       -0.167424	          6.2112	          -10.04	   -0.8315073067	            1.44
            0.46	       -0.045196	          6.0122	           -9.86	   -0.8336268733	            1.46
            0.48	        0.073088	          5.8168	           -9.68	     -0.83334144	            1.48
             0.5	          0.1875	           5.625	            -9.5	   -0.8307291667	             1.5
            0.52	        0.298112	          5.4368	           -9.32	   -0.8258667733	            1.52
            0.54	        0.404996	          5.2522	           -9.14	     -0.81882954	            1.54
            0.56	        0.508224	          5.0712	           -8.96	   -0.8096913067	            1.56
            0.58	        0.607868	          4.8938	           -8.78	   -0.7985244733	            1.58
             0.6	           0.704	            4.72	            -8.6	         -0.7854	             1.6
            0.62	        0.796692	          4.5498	           -8.42	   -0.7703874067	            1.62
            0.64	        0.886016	          4.3832	           -8.24	   -0.7535547733	            1.64
            0.66	        0.972044	          4.2202	           -8.06	     -0.73496874	            1.66
            0.68	        1.054848	          4.0608	           -7.88	   -0.7146945067	            1.68
             0.7	          1.1345	           3.905	            -7.7	   -0.6927958333	             1.7
            0.72	        1.211072	          3.7528	           -7.52	     -0.66933504	            1.72
            0.74	        1.284636	          3.6042	           -7.34	   -0.6443730067	            1.74
            0.76	        1.355264	          3.4592	           -7.16	   -0.6179691733	            1.76
            0.78	        1.423028	          3.3178	           -6.98	     -0.59018154	            1.78
             0.8	           1.488	            3.18	            -6.8	   -0.5610666667	             1.8
            0.82	        1.550252	          3.0458	           -6.62	   -0.5306796733	            1.82
            0.84	        1.609856	          2.9152	           -6.44	     -0.49907424	            1.84
            0.86	        1.666884	          2.7882	           -6.26	   -0.4663026067	            1.86
            0.88	        1.721408	          2.6648	           -6.08	   -0.4324155733	            1.88
             0.9	          1.7735	           2.545	            -5.9	      -0.3974625	             1.9
            0.92	        1.823232	          2.4288	           -5.72	   -0.3614913067	            1.92
            0.94	        1.870676	          2.3162	           -5.54	   -0.3245484733	            1.94
            0.96	        1.915904	          2.2072	           -5.36	     -0.28667904	            1.96
            0.98	        1.958988	          2.1018	           -5.18	   -0.2479266067	            1.98
               1	               2	               2	              -5	   -0.2083333333	               2
            1.02	        2.039012	          1.9018	           -4.82	     -0.16793994	            2.02
            1.04	        2.076096	          1.8072	           -4.64	   -0.1267857067	            2.04
            1.06	        2.111324	          1.7162	           -4.46	  -0.08490847333	            2.06
            1.08	        2.144768	          1.6288	           -4.28	     -0.04234464	            2.08
             1.1	          2.1765	           1.545	            -4.1	 0.0008708333333	             2.1
            1.12	        2.206592	          1.4648	           -3.92	   0.04470442667	            2.12
            1.14	        2.235116	          1.3882	           -3.74	      0.08912406	            2.14
            1.16	        2.262144	          1.3152	           -3.56	    0.1340990933	            2.16
            1.18	        2.287748	          1.2458	           -3.38	    0.1796003267	            2.18
             1.2	           2.312	            1.18	            -3.2	          0.2256	             2.2
            1.22	        2.334972	          1.1178	           -3.02	    0.2720717933	            2.22
            1.24	        2.356736	          1.0592	           -2.84	    0.3189908267	            2.24
            1.26	        2.377364	          1.0042	           -2.66	      0.36633366	            2.26
            1.28	        2.396928	          0.9528	           -2.48	    0.4140782933	            2.28
             1.3	          2.4155	           0.905	            -2.3	    0.4622041667	             2.3
            1.32	        2.433152	          0.8608	           -2.12	      0.51069216	            2.32
            1.34	        2.449956	          0.8202	           -1.94	    0.5595245933	            2.34
            1.36	        2.465984	          0.7832	           -1.76	    0.6086852267	            2.36
            1.38	        2.481308	          0.7498	           -1.58	      0.65815926	            2.38
             1.4	           2.496	            0.72	            -1.4	    0.7079333333	             2.4
            1.42	        2.510132	          0.6938	           -1.22	    0.7579955267	            2.42
            1.44	        2.523776	          0.6712	           -1.04	      0.80833536	            2.44
            1.46	        2.537004	          0.6522	           -0.86	    0.8589437933	            2.46
            1.48	        2.549888	          0.6368	           -0.68	    0.9098132267	            2.48
             1.5	          2.5625	           0.625	            -0.5	       0.9609375	             2.5
            1.52	        2.574912	          0.6168	           -0.32	     1.012311893	            2.52
            1.54	        2.587196	          0.6122	           -0.14	     1.063933127	            2.54
            1.56	        2.599424	          0.6112	            0.04	      1.11579936	            2.56
            1.58	        2.611668	          0.6138	            0.22	     1.167910193	            2.58
             1.6	           2.624	            0.62	             0.4	     1.220266667	             2.6
            1.62	        2.636492	          0.6298	            0.58	      1.27287126	            2.62
            1.64	        2.649216	          0.6432	            0.76	     1.325727893	            2.64
            1.66	        2.662244	          0.6602	            0.94	     1.378841927	            2.66
            1.68	        2.675648	          0.6808	            1.12	      1.43222016	            2.68
             1.7	          2.6895	           0.705	             1.3	     1.485870833	             2.7
