            True	          Spline	         eSpline	          Linear	         eLinear
       372.03369	     381.7994413	    -9.765751288	      382.747526	      -10.713836
      383.461362	     377.5699391	     5.891422909	     386.1027015	      -2.6413395
      417.599066	     419.9668949	    -2.367828909	     411.4341325	       6.1649335
      392.836606	     397.9898436	    -5.153237611	     398.5425767	    -5.705970667
      402.270416	       399.52156	        2.748856	     404.4961575	      -2.2257415
      430.636323	       429.56899	        1.067333	     424.5943925	       6.0419305
      409.009834	     411.3366569	    -2.326822879	      411.651129	       -2.641295
      418.182944	     417.2232119	    0.9597320909	      420.053461	       -1.870517
      443.747811	     441.0052061	     2.742604909	      438.174957	        5.572854
      189.170815	     185.6565246	     3.514290399	     182.8667133	     6.304101667
      329.471162	     338.7042709	    -9.233108909	     313.5959695	      15.8751925
      401.811449	     401.4174951	    0.3939539091	     426.5257965	     -24.7143475
      222.918666	     224.8806443	    -1.961978258	      222.566939	        0.351727
      348.233774	     355.4208048	    -7.187030818	     334.5974575	      13.6363165
      412.498466	     412.2466192	    0.2518468182	     433.0699665	     -20.5715005
      252.498519	     257.6069828	    -5.108463828	     255.5923293	    -3.093810333
      367.389514	     373.2307975	    -5.841283455	      355.098916	       12.290598
      425.447889	     425.3201065	    0.1277824545	      443.451988	      -18.004099
      153.453972	     146.8206431	     6.633328934	     144.7478567	     8.706115333
      299.421447	     301.5991251	    -2.177678091	     282.9440475	      16.4773995
      391.973147	     402.9492569	    -10.97610991	     421.6043345	     -29.6311875
      179.655577	     171.6950204	     7.960556631	     169.6293357	     10.02624133
      314.645193	     318.0734028	    -3.428209818	     299.4822405	      15.1629525
      400.535215	     408.5832212	    -8.048006182	     427.1743835	     -26.6391685
      206.597793	     198.1799567	     8.417836283	     196.1284037	     10.46938933
      332.485189	     336.8409945	    -4.355805455	      318.377017	       14.108172
      412.007445	     417.7770235	    -5.769578545	      436.241001	      -24.233556
      377.595509	     387.7552328	    -10.15972383	      388.734842	      -11.139333
      388.865998	       382.80765	        6.058348	     391.6241325	      -2.7581345
      423.383894	      425.844404	        -2.46051	     417.0279215	       6.3559725
      398.368639	     403.9980136	    -5.629374576	      404.587919	        -6.21928
      407.755277	     404.7326072	     3.022669818	      410.041756	       -2.286479
      436.480604	     435.6006068	    0.8799971818	      430.291458	        6.189146
      414.639924	     417.4132626	    -2.773338616	     417.7613323	    -3.121408333
      423.850228	     422.6322955	     1.217932455	      425.764923	       -1.914695
      449.712111	     447.2265385	     2.485572545	      444.093911	          5.6182
      193.338357	     189.7575358	     3.580821177	     187.0655247	     6.272832333
      332.795317	     341.4062729	    -8.610955909	     317.1781725	      15.6171445
      406.789302	     407.2093571	   -0.4200550909	     431.4374575	     -24.6481555
