               x	               y	           dy/dx	         d2y/dx2	          Int(y)	         ylinear
             200	      145.734542	    0.2238097057	               0	               0	      145.734542
     230.3030303	     152.5120432	    0.2233532084	-3.012882139e-05	     4518.922587	     152.3157955
     260.6060606	     159.2618779	    0.2219837165	-6.025764278e-05	     9242.874674	      158.897049
     290.9090909	     165.9563796	    0.2197012301	-9.038646417e-05	     14170.59869	     165.4783025
     321.2121212	     172.5678818	     0.216505749	-0.0001205152856	      19299.9987	     172.0595559
     351.5151515	      179.068718	    0.2123972734	-0.0001506441069	     24628.14036	     178.6408094
     381.8181818	     185.4312217	    0.2073758031	-0.0001807729283	     30151.25097	     185.2220629
             400	      189.170815	    0.2039246836	-0.0001988502212	     33556.81911	      189.170815
     442.4242424	     197.6449311	    0.1956097353	-0.0001931402001	     41763.24872	     194.1309283
     472.7272727	     203.4844453	    0.1898187987	-0.0001890616136	     47841.40968	     197.6738663
      503.030303	     209.1503491	    0.1841514556	-0.0001849830271	      54093.8857	     201.2168044
     533.3333333	      214.646388	    0.1786077061	-0.0001809044406	     60515.47261	     204.7597424
     563.6363636	      219.976307	    0.1731875502	-0.0001768258542	     67101.07972	     208.3026805
     593.9393939	     225.1438516	    0.1678909877	-0.0001727472677	     73845.72985	     211.8456186
     624.2424242	     230.1527668	    0.1627180188	-0.0001686686812	     80744.55932	     215.3885566
     654.5454545	     235.0067981	    0.1576686434	-0.0001645900947	      87792.8179	     218.9314947
     684.8484848	     239.7096906	    0.1527428615	-0.0001605115082	     94985.86891	     222.4744327
     715.1515152	     244.2651896	    0.1479406732	-0.0001564329217	     102319.1891	     226.0173708
     745.4545455	     248.6770404	    0.1432620784	-0.0001523543353	     109788.3688	     229.5603088
     775.7575758	     252.9489882	    0.1387070771	-0.0001482757488	     117389.1117	     233.1032469
             800	     256.2683332	    0.1351520634	-0.0001450128796	      123561.617	     235.9375973
     836.3636364	      261.088156	    0.1299678552	-0.0001401185758	     132968.6699	      240.189123
     866.6666667	     264.9628665	    0.1257836345	-0.0001360399893	     140939.4601	     243.7320611
      896.969697	      268.712655	    0.1217230073	-0.0001319614028	     149025.7636	     247.2749991
     927.2727273	     272.3412669	    0.1177859737	-0.0001278828164	     157223.8516	     250.8179372
     957.5757576	     275.8524473	    0.1139725336	-0.0001238042299	     165530.1088	     254.3608752
     987.8787879	     279.2499416	     0.110282687	-0.0001197256434	     173941.0334	     257.9038133
     1018.181818	     282.5374949	     0.106716434	-0.0001156470569	     182453.2371	     261.4467513
     1048.484848	     285.7188527	    0.1032737745	-0.0001115684704	     191063.4452	     264.9896894
     1078.787879	       288.79776	   0.09995470852	-0.0001074898839	     199768.4964	     268.5326274
     1109.090909	     291.7779622	   0.09675923607	-0.0001034112975	     208565.3427	     272.0755655
     1139.393939	     294.6632045	   0.09368735716	-9.933271098e-05	       217451.05	     275.6185036
      1169.69697	     297.4572323	   0.09073907177	 -9.52541245e-05	     226422.7974	     279.1614416
            1200	     300.1637906	   0.08791437991	-9.117553802e-05	     235477.8776	     282.7043797
      1230.30303	     302.7866249	   0.08521328159	-8.709695153e-05	     244613.6966	     286.2473177
     1260.606061	     305.3294804	   0.08263577679	-8.301836505e-05	     253827.7742	     289.7902558
     1290.909091	     307.7961022	   0.08018186552	-7.893977857e-05	     263117.7436	     293.3331938
     1321.212121	     310.1902358	   0.07785154779	-7.486119208e-05	     272481.3513	     296.8761319
     1351.515152	     312.5156263	   0.07564482358	 -7.07826056e-05	     281916.4574	     300.4190699
     1381.818182	      314.776019	    0.0735616929	-6.670401912e-05	     291421.0357	      303.962008
     1412.121212	     316.9751591	   0.07160215575	-6.262543264e-05	     300993.1732	     307.5049461
     1442.424242	      319.116792	   0.06976621214	-5.854684615e-05	     310631.0705	     311.0478841
     1472.727273	     321.2046628	   0.06805386205	-5.446825967e-05	     320333.0418	     314.5908222
     1503.030303	     323.2425169	   0.06646510549	-5.038967319e-05	     330097.5146	     318.1337602
     1533.333333	     325.2340994	   0.06499994246	 -4.63110867e-05	       339923.03	     321.6766983
     1563.636364	     327.1831558	   0.06365837296	-4.223250022e-05	     349808.2425	     325.2196363
     1593.939394	     329.0934311	   0.06244039699	-3.815391374e-05	     359751.9204	     328.7625744
            1600	      329.471162	   0.06221163302	-3.733819644e-05	     361747.5714	      329.471162
     1654.545455	     332.8098569	   0.06022326937	 -3.55684708e-05	      379810.274	      332.238643
     1684.848485	     334.6186242	    0.0591603336	-3.458528989e-05	      389922.908	     333.7761324
     1715.151515	     336.3956326	    0.0581271912	-3.360210898e-05	     400089.8698	     335.3136218
     1745.454545	     338.1417852	   0.05712384215	-3.261892807e-05	     410310.2105	     336.8511113
     1775.757576	     339.8579846	   0.05615028646	-3.163574716e-05	     420583.0088	     338.3886007
     1806.060606	     341.5451338	   0.05520652414	-3.065256625e-05	     430907.3706	     339.9260901
     1836.363636	     343.2041355	   0.05429255518	-2.966938534e-05	     441282.4295	     341.4635796
     1866.666667	     344.8358926	   0.05340837957	-2.868620443e-05	     451707.3461	      343.001069
     1896.969697	     346.4413079	   0.05255399733	-2.770302352e-05	     462181.3084	     344.5385584
     1927.272727	     348.0212843	   0.05172940845	-2.671984261e-05	      472703.532	     346.0760479
     1957.575758	     349.5767245	   0.05093461293	 -2.57366617e-05	     483273.2597	     347.6135373
     1987.878788	     351.1085315	   0.05016961077	-2.475348079e-05	     493889.7615	     349.1510267
     2018.181818	      352.617608	   0.04943440197	-2.377029988e-05	      504552.335	     350.6885162
     2048.484848	     354.1048568	   0.04872898654	-2.278711898e-05	     515260.3051	     352.2260056
     2078.787879	     355.5711808	   0.04805336446	-2.180393807e-05	      526013.024	      353.763495
     2109.090909	     357.0174829	   0.04740753574	-2.082075716e-05	     536809.8714	     355.3009845
     2139.393939	     358.4446657	   0.04679150039	-1.983757625e-05	     547650.2541	     356.8384739
      2169.69697	     359.8536323	    0.0462052584	-1.885439534e-05	     558533.6065	     358.3759633
            2200	     361.2452854	   0.04564880976	-1.787121443e-05	     569459.3903	     359.9134527
      2230.30303	     362.6205278	   0.04512215449	-1.688803352e-05	     580427.0944	     361.4509422
     2260.606061	     363.9802623	   0.04462529258	-1.590485261e-05	     591436.2353	     362.9884316
     2290.909091	     365.3253919	   0.04415822403	 -1.49216717e-05	     602486.3567	      364.525921
     2321.212121	     366.6568193	   0.04372094884	-1.393849079e-05	     613577.0298	     366.0634105
     2351.515152	     367.9754473	   0.04331346701	-1.295530988e-05	     624707.8529	     367.6008999
     2381.818182	     369.2821788	   0.04293577855	-1.197212897e-05	     635878.4519	     369.1383893
            2400	      370.060883	   0.04272346628	-1.138222042e-05	     642599.7583	      370.060883
     2442.424242	     371.8633318	   0.04225338789	-1.077861782e-05	     658337.6151	     371.7446251
     2472.727273	     373.1388546	   0.04193329561	-1.034747311e-05	     669625.5516	     372.9472981
     2503.030303	     374.4048756	   0.04162626831	-9.916328397e-06	     680951.9952	      374.149971
     2533.333333	     375.6617907	   0.04133230601	-9.485183684e-06	     692316.6642	      375.352644
     2563.636364	     376.9099958	   0.04105140869	-9.054038971e-06	     703719.2885	      376.555317
     2593.939394	     378.1498869	   0.04078357637	-8.622894258e-06	     715159.6102	     377.7579899
     2624.242424	     379.3818597	   0.04052880904	-8.191749546e-06	     726637.3835	     378.9606629
     2654.545455	     380.6063103	    0.0402871067	-7.760604833e-06	     738152.3742	     380.1633358
     2684.848485	     381.8236345	   0.04005846935	 -7.32946012e-06	     749704.3606	     381.3660088
     2715.151515	     383.0342283	     0.039842897	-6.898315407e-06	     761293.1326	     382.5686817
     2745.454545	     384.2384875	   0.03964038963	-6.467170694e-06	     772918.4923	     383.7713547
     2775.757576	     385.4368081	   0.03945094726	-6.036025981e-06	     784580.2537	     384.9740276
     2806.060606	      386.629586	   0.03927456988	-5.604881268e-06	     796278.2428	     386.1767006
     2836.363636	      387.817217	   0.03911125748	-5.173736555e-06	     808012.2978	     387.3793735
     2866.666667	     389.0000972	   0.03896101008	-4.742591842e-06	     819782.2686	     388.5820465
     2896.969697	     390.1786223	   0.03882382768	-4.311447129e-06	     831588.0173	     389.7847195
     2927.272727	     391.3531884	   0.03869971026	-3.880302416e-06	     843429.4178	     390.9873924
     2957.575758	     392.5241913	   0.03858865783	-3.449157703e-06	     855306.3563	     392.1900654
