Beta0	Mean400	Mean800	Mean1600	Mean2400	StdErr400	StdErr800	StdErr1600	StdErr2400	MeanLin400	StdErrLin400	MeanLin800	StdErrLin800	MeanSplNat400	StdErrSplNat400	MeanSplNat800	StdErrSplNat800
0.6	-2.573632199	10.86532556	-5.481077854	1.295690537	16.86086631	29.96480941	10.02601306	2.577753023	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
0.7	-2.847884704	11.09508633	-5.572014211	1.318018661	14.79595002	28.24948501	9.36575075	2.419047219	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
0.8	-3.12213721	11.32484709	-5.662950568	1.340346784	12.73365627	26.5369397	8.709681949	2.261799191	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
0.9	-3.396389715	11.55460786	-5.753886925	1.362674908	10.67550502	24.82774856	8.058830903	2.106335456	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
1	-3.670642221	11.78436863	-5.844823282	1.385003031	8.624462521	23.12265542	7.414571782	1.953082144	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
1.1	-3.944894727	12.0141294	-5.935759639	1.407331154	6.587172435	21.42263882	6.778784347	1.802603119	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
1.2	-4.219147232	12.24389017	-6.026695997	1.429659278	4.582015746	19.7290111	6.15409482	1.655655001	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
1.3	-4.493399738	12.47365093	-6.117632354	1.451987401	2.682058273	18.04357141	5.544255785	1.513266764	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
1.4	-4.767652243	12.7034117	-6.208568711	1.474315525	1.409448667	16.3688492	4.954753747	1.376853823	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
1.5	-5.041904749	12.93317247	-6.299505068	1.496643648	2.318231047	14.70850585	4.393782026	1.248376521	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
1.6	-5.316157255	13.16293324	-6.390441425	1.518971771	4.166099555	13.06802316	3.873755235	1.130543569	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
1.7	-5.59040976	13.392694	-6.481377782	1.541299895	6.158986646	11.45593642	3.413438452	1.027025278	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
1.8	-5.864662266	13.62245477	-6.572314139	1.563628018	8.191726813	9.886146588	3.040076946	0.942549954	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
1.9	-6.138914771	13.85221554	-6.663250496	1.585956142	10.24061524	8.382450379	2.788816403	0.882602543	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
2	-6.413167277	14.08197631	-6.754186853	1.608284265	12.29758324	6.987647625	2.694039597	0.852373988	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
2.1	-6.687419782	14.31173708	-6.845123211	1.630612388	14.359159	5.781101045	2.77184507	0.855022175	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
2.2	-6.961672288	14.54149784	-6.936059568	1.652940512	16.42360745	4.903794882	3.008874233	0.890253761	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
2.3	-7.235924794	14.77125861	-7.026995925	1.675268635	18.48996638	4.550323525	3.371712701	0.954467357	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
2.4	-7.510177299	15.00101938	-7.117932282	1.697596759	20.5576597	4.836925583	3.824721199	1.042320223	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
2.5	-7.784429805	15.23078015	-7.208868639	1.719924882	22.6263216	5.667311444	4.339753596	1.148399884	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
2.6	-8.05868231	15.46054092	-7.299804996	1.742253005	24.69570866	6.846397147	4.897280228	1.268140559	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
2.7	-8.332934816	15.69030168	-7.390741353	1.764581129	26.76565269	8.225573157	5.484356782	1.398036479	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
2.8	-8.607187322	15.92006245	-7.48167771	1.786909252	28.83603375	9.720036966	6.092446824	1.53551257	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
2.9	-8.881439827	16.14982322	-7.572614068	1.809237376	30.90676401	11.28407499	6.715844744	1.678707552	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
3	-9.155692333	16.37958399	-7.663550425	1.831565499	32.97777769	12.89239091	7.35065686	1.826276697	-7.624434157	20.41956365	4.804835377	8.52135957	-7.50222291	17.25422076	11.44536972	21.99005368
