Betan	Mean400	Mean800	Mean1600	Mean2400	StdErr400	StdErr800	StdErr1600	StdErr2400	MeanLin1600	StdErrLin1600	MeanLin2400	StdErrLin2400	MeanSplNat1600	StdErrSplNat1600	MeanSplNat2400	StdErrSplNat2400
0.4	-5.84238352	13.34567413	-4.086006162	-6.224882102	8.189972903	9.887093953	2.950982826	1.869562813	3.17032217	5.981079347	1.157268605	2.473649401	-5.642191113	6.825466251	1.946576834	3.109893657
0.5	-5.846096645	13.39180423	-4.500390825	-4.926797082	8.190264984	9.886902356	2.956936523	1.59153238	3.17032217	5.981079347	1.157268605	2.473649401	-5.642191113	6.825466251	1.946576834	3.109893657
0.6	-5.849809769	13.43793434	-4.914775488	-3.628712062	8.190557159	9.886724239	2.966506788	1.334844733	3.17032217	5.981079347	1.157268605	2.473649401	-5.642191113	6.825466251	1.946576834	3.109893657
0.7	-5.853522893	13.48406445	-5.329160151	-2.330627042	8.19084943	9.886559603	2.979658773	1.114347586	3.17032217	5.981079347	1.157268605	2.473649401	-5.642191113	6.825466251	1.946576834	3.109893657
0.8	-5.857236017	13.53019456	-5.743544814	-1.032542022	8.191141796	9.886408449	2.996345316	0.955434751	3.17032217	5.981079347	1.157268605	2.473649401	-5.642191113	6.825466251	1.946576834	3.109893657
0.9	-5.860949142	13.57632466	-6.157929476	0.265542998	8.191434257	9.886270777	3.01650776	0.891664466	3.17032217	5.981079347	1.157268605	2.473649401	-5.642191113	6.825466251	1.946576834	3.109893657
1	-5.864662266	13.62245477	-6.572314139	1.563628018	8.191726813	9.886146588	3.040076946	0.942549954	3.17032217	5.981079347	1.157268605	2.473649401	-5.642191113	6.825466251	1.946576834	3.109893657
1.1	-5.86837539	13.66858488	-6.986698802	2.861713038	8.192019464	9.886035883	3.066974336	1.092181418	3.17032217	5.981079347	1.157268605	2.473649401	-5.642191113	6.825466251	1.946576834	3.109893657
1.2	-5.872088514	13.71471499	-7.401083465	4.159798058	8.19231221	9.885938661	3.097113216	1.307074987	3.17032217	5.981079347	1.157268605	2.473649401	-5.642191113	6.825466251	1.946576834	3.109893657
1.3	-5.875801638	13.7608451	-7.815468128	5.457883078	8.192605051	9.885854924	3.130399965	1.560498232	3.17032217	5.981079347	1.157268605	2.473649401	-5.642191113	6.825466251	1.946576834	3.109893657
