               x	               y	           dy/dx	         d2y/dx2	          Int(y)	         ylinear
             200	      142.907373	    0.2103939328	               0	               0	      142.907373
     230.3030303	     149.2748376	    0.2095911254	-5.298528528e-05	     4427.064623	     148.9297115
     260.6060606	     155.5936471	    0.2071827034	-0.0001059705706	     9046.468387	       154.95205
     290.9090909	     161.8151467	    0.2031686666	-0.0001589558558	      13855.9997	     160.9743885
     321.2121212	     167.8906813	    0.1975490151	-0.0002119411411	     18851.97258	     166.9967269
     351.5151515	      173.771596	    0.1903237489	-0.0002649264264	     24029.22665	     173.0190654
     381.8181818	     179.4092356	    0.1814928681	-0.0003179117117	     29381.12713	     179.0414039
             400	      182.654807	    0.1754236445	-0.0003497028829	     32672.78563	      182.654807
     442.4242424	     189.7921226	     0.161280829	-0.0003170298466	     40575.29625	     188.0011272
     472.7272727	     194.5374322	    0.1520274682	-0.0002936919635	     46399.17942	     191.8199274
      503.030303	     199.0130521	    0.1434813161	-0.0002703540804	     52362.71952	     195.6387275
     533.3333333	      203.240413	    0.1356423725	-0.0002470161974	     58458.06885	     199.4575277
     563.6363636	     207.2409455	    0.1285106374	-0.0002236783143	     64678.02911	     203.2763278
     593.9393939	       211.03608	     0.122086111	-0.0002003404312	     71016.05142	      207.095128
     624.2424242	     214.6472473	    0.1163687931	-0.0001770025482	     77466.23631	     210.9139281
     654.5454545	     218.0958777	    0.1113586838	-0.0001536646651	     84023.33371	     214.7327283
     684.8484848	     221.4034019	    0.1070557831	-0.0001303267821	     90682.74298	     218.5515284
     715.1515152	     224.5912505	     0.103460091	 -0.000106988899	     97440.51286	     222.3703286
     745.4545455	      227.680854	    0.1005716074	-8.365101593e-05	     104293.3415	     226.1891287
     775.7575758	     230.6936429	   0.09839033243	-6.031313286e-05	     111238.5766	     230.0079289
             800	      233.062969	   0.09715450262	-4.164282641e-05	     116859.9294	      233.062969
     836.3636364	     236.5685986	   0.09566257723	-4.041307001e-05	     125398.8496	     236.1213202
     866.6666667	     239.4490663	   0.09445346597	-3.938827301e-05	     132611.3309	     238.6699462
      896.969697	     242.2933647	   0.09327540917	-3.836347601e-05	     139910.5488	     241.2185722
     927.2727273	      245.102435	   0.09212840682	-3.733867901e-05	     147295.4215	     243.7671981
     957.5757576	     247.8772182	   0.09101245893	-3.631388201e-05	     154764.8955	     246.3158241
     987.8787879	     250.6186553	   0.08992756549	-3.528908501e-05	     162317.9463	     248.8644501
     1018.181818	     253.3276874	    0.0888737265	  -3.4264288e-05	     169953.5776	     251.4130761
     1048.484848	     256.0052555	   0.08785094197	  -3.3239491e-05	     177670.8217	     253.9617021
     1078.787879	     258.6523006	    0.0868592119	  -3.2214694e-05	     185468.7393	     256.5103281
     1109.090909	     261.2697638	   0.08589853628	  -3.1189897e-05	     193346.4199	      259.058954
     1139.393939	     263.8585862	   0.08496891511	    -3.01651e-05	     201302.9812	       261.60758
      1169.69697	     266.4197087	    0.0840703484	  -2.9140303e-05	     209337.5696	      264.156206
            1200	     268.9540725	   0.08320283614	  -2.8115506e-05	     217449.3599	      266.704832
      1230.30303	     271.4626185	   0.08236637834	  -2.7090709e-05	     225637.5556	      269.253458
     1260.606061	     273.9462879	   0.08156097499	  -2.6065912e-05	     233901.3885	      271.802084
     1290.909091	     276.4060216	   0.08078662609	-2.504111499e-05	     242240.1191	       274.35071
     1321.212121	     278.8427607	   0.08004333165	-2.401631799e-05	     250653.0364	     276.8993359
     1351.515152	     281.2574463	   0.07933109167	-2.299152099e-05	     259139.4576	     279.4479619
     1381.818182	     283.6510193	   0.07864990614	-2.196672399e-05	     267698.7289	     281.9965879
     1412.121212	     286.0244209	   0.07799977506	-2.094192699e-05	     276330.2248	     284.5452139
     1442.424242	     288.3785921	   0.07738069844	-1.991712999e-05	     285033.3481	     287.0938399
     1472.727273	     290.7144739	   0.07679267628	-1.889233299e-05	     293807.5304	     289.6424659
     1503.030303	     293.0330074	   0.07623570857	-1.786753599e-05	     302652.2319	     292.1910918
     1533.333333	     295.3351336	   0.07570979531	-1.684273899e-05	     311566.9409	     294.7397178
     1563.636364	     297.6217935	   0.07521493651	-1.581794199e-05	     320551.1747	     297.2883438
     1593.939394	     299.8939283	   0.07475113216	-1.479314498e-05	     329604.4787	     299.8369698
            1600	      300.346695	   0.07466209782	-1.458818558e-05	     331423.3899	      300.346695
     1654.545455	     304.3979648	    0.0738935054	-1.359353657e-05	     347916.6166	     304.2069813
     1684.848485	     306.6310053	   0.07348995252	-1.304095378e-05	     357174.6622	     306.3515848
     1715.151515	     308.8520705	   0.07310314457	-1.248837099e-05	      366500.193	     308.4961882
     1745.454545	      311.061668	   0.07273308155	-1.193578821e-05	     375892.8537	     310.6407917
     1775.757576	     313.2603052	   0.07237976346	-1.138320542e-05	     385352.3046	     312.7853952
     1806.060606	     315.4484895	   0.07204319031	-1.083062263e-05	     394878.2211	     314.9299987
