               x	               y	           dy/dx	         d2y/dx2	          Int(y)	         ylinear
             200	      411.980337	  -0.01827093651	               0	               0	      411.980337
     230.3030303	     411.4290503	  -0.01803550803	 1.553827961e-05	     12475.88179	     411.5302608
     260.6060606	      410.892032	   -0.0173292226	 3.107655922e-05	     24935.23808	     411.0801846
     290.9090909	     410.3835505	   -0.0161520802	 4.661483882e-05	     37378.71744	     410.6301084
     321.2121212	     409.9178742	  -0.01450408085	 6.215311843e-05	      49807.4008	     410.1800322
     351.5151515	     409.5092715	  -0.01238522454	 7.769139804e-05	     62222.80147	     409.7299559
     381.8181818	     409.1720107	 -0.009795511273	 9.322967765e-05	     74626.86515	     409.2798797
             400	      409.009834	 -0.008015671973	 0.0001025526454	     82064.83288	      409.009834
     442.4242424	      408.758466	 -0.003919323738	 9.056091421e-05	      99410.8188	     409.2201393
     472.7272727	     408.6799675	 -0.001304834251	 8.199539193e-05	     111796.0495	     409.3703575
      503.030303	     408.6767633	  0.001050093955	 7.342986965e-05	     124180.0622	     409.5205756
     533.3333333	     408.7409878	  0.003145460879	 6.486434736e-05	     136565.0193	     409.6707937
     563.6363636	     408.8647755	  0.004981266522	 5.629882508e-05	      148952.845	     409.8210118
     593.9393939	     409.0402609	  0.006557510884	  4.77333028e-05	     161345.2249	     409.9712299
     624.2424242	     409.2595785	  0.007874193964	 3.916778051e-05	     173743.6065	      410.121448
     654.5454545	     409.5148629	  0.008931315763	 3.060225823e-05	      186149.199	     410.2716661
     684.8484848	     409.7982486	  0.009728876281	 2.203673595e-05	      198562.973	     410.4218842
     715.1515152	       410.10187	   0.01026687552	 1.347121366e-05	     210985.6609	     410.5721023
     745.4545455	     410.4178616	   0.01054531347	  4.90569138e-06	     223417.7567	     410.7223204
     775.7575758	      410.738358	   0.01056419015	-3.659830904e-06	     235859.5162	     410.8725385
             800	      410.992713	   0.01039240736	-1.051224873e-05	     245819.9012	      410.992713
     836.3636364	     411.3638789	   0.01002750089	-9.557607522e-06	     260771.8795	     411.3195417
     866.6666667	      411.663476	  0.009749929966	-8.762073181e-06	     273242.0121	     411.5918989
      896.969697	     411.9550272	  0.009496466148	-7.966538841e-06	     285721.0998	     411.8642562
     927.2727273	     412.2392629	   0.00926710943	  -7.1710045e-06	     298208.9096	     412.1366134
     957.5757576	     412.5169137	  0.009061859814	-6.375470159e-06	      310705.231	     412.4089706
     987.8787879	     412.7887101	    0.0088807173	-5.579935819e-06	     323209.8755	     412.6813279
     1018.181818	     413.0553825	  0.008723681886	-4.784401478e-06	     335722.6768	     412.9536851
     1048.484848	     413.3176616	  0.008590753574	-3.988867138e-06	     348243.4907	     413.2260423
     1078.787879	     413.5762778	  0.008481932362	-3.193332797e-06	     360772.1951	     413.4983996
     1109.090909	     413.8319616	  0.008397218253	-2.397798456e-06	       373308.69	     413.7707568
     1139.393939	     414.0854436	  0.008336611244	-1.602264116e-06	     385852.8978	      414.043114
      1169.69697	     414.3374543	  0.008300111336	-8.067297752e-07	     398404.7627	     414.3154713
            1200	     414.5887241	   0.00828771853	-1.119543457e-08	     410964.2512	     414.5878285
      1230.30303	     414.8399837	  0.008299432825	  7.84338906e-07	     423531.3519	     414.8601857
     1260.606061	     415.0919636	  0.008335254222	 1.579873247e-06	     436106.0756	      415.132543
     1290.909091	     415.3453942	  0.008395182719	 2.375407587e-06	     448688.4553	     415.4049002
     1321.212121	      415.601006	  0.008479218318	 3.170941928e-06	     461278.5458	     415.6772574
     1351.515152	     415.8595297	  0.008587361018	 3.966476268e-06	     473876.4244	     415.9496147
     1381.818182	     416.1216957	  0.008719610819	 4.762010609e-06	     486482.1905	     416.2219719
     1412.121212	     416.3882345	  0.008875967721	  5.55754495e-06	     499095.9653	     416.4943291
     1442.424242	     416.6598766	  0.009056431725	  6.35307929e-06	     511717.8926	     416.7666864
     1472.727273	     416.9373526	   0.00926100283	 7.148613631e-06	      524348.138	     417.0390436
     1503.030303	      417.221393	  0.009489681036	 7.944147971e-06	     536986.8893	     417.3114008
     1533.333333	     417.5127283	  0.009742466343	 8.739682312e-06	     549634.3567	     417.5837581
     1563.636364	      417.812089	   0.01001935875	 9.535216653e-06	     562290.7721	     417.8561153
     1593.939394	     418.1202057	   0.01032035826	 1.033075099e-05	     574956.3899	     418.1284726
            1600	      418.182944	   0.01038345102	 1.048985786e-05	     577490.6417	      418.182944
     1654.545455	     418.7647415	   0.01094587211	 1.013224907e-05	     600316.3482	     419.0544736
     1684.848485	     419.1010563	   0.01124989979	  9.93357752e-06	     613011.2613	     419.5386566
     1715.151515	     419.4464928	   0.01154790711	  9.73490597e-06	     625716.5044	     420.0228397
     1745.454545	     419.8008686	   0.01183989409	 9.536234419e-06	     638432.3511	     420.5070228
     1775.757576	     420.1640013	   0.01212586072	 9.337562869e-06	     651159.0697	     420.9912059
     1806.060606	     420.5357084	   0.01240580699	 9.138891319e-06	     663896.9227	      421.475389
     1836.363636	     420.9158076	   0.01267973292	 8.940219768e-06	     676646.1671	     421.9595721
     1866.666667	     421.3041163	   0.01294763849	 8.741548218e-06	     689407.0546	     422.4437552
     1896.969697	     421.7004521	   0.01320952372	 8.542876667e-06	      702179.831	     422.9279383
     1927.272727	     422.1046327	   0.01346538859	 8.344205117e-06	      714964.737	     423.4121213
     1957.575758	     422.5164755	   0.01371523312	 8.145533567e-06	     727762.0073	     423.8963044
     1987.878788	     422.9357981	   0.01395905729	 7.946862016e-06	     740571.8716	     424.3804875
     2018.181818	     423.3624181	   0.01419686112	 7.748190466e-06	     753394.5537	     424.8646706
     2048.484848	     423.7961531	    0.0144286446	 7.549518915e-06	     766230.2719	     425.3488537
     2078.787879	     424.2368206	   0.01465440772	 7.350847365e-06	      779079.239	     425.8330368
     2109.090909	     424.6842382	    0.0148741505	 7.152175815e-06	     791941.6625	     426.3172199
     2139.393939	     425.1382235	   0.01508787292	 6.953504264e-06	     804817.7441	      426.801403
