 LIQ	 GLR	WCUT	 LFG	 WHP	True            	Spline          	eSpline         	Linear          	eLinear         
   2	   1	   1	   1	   1	       372.03369	     376.6467741	    -4.613084125	      382.747526	      -10.713836
   3	   1	   1	   1	   1	      373.436986	     360.7382103	     12.69877567	      375.842914	       -2.405928
   4	   1	   1	   1	   1	      383.461362	     386.3293559	    -2.867993871	     386.1027015	      -2.6413395
   5	   1	   1	   1	   1	      398.768417	     403.4899793	    -4.721562323	      400.530214	       -1.761797
   2	   1	   1	   1	   2	      392.836606	     395.2781247	    -2.441518737	     398.5425767	    -5.705970667
   3	   1	   1	   1	   2	       394.44704	     387.7938998	     6.653140209	     395.9812093	    -1.534169333
   4	   1	   1	   1	   2	      402.270416	     403.1610232	   -0.8906072015	     404.4961575	      -2.2257415
   5	   1	   1	   1	   2	      414.545275	     419.1506313	    -4.605356283	     416.4533695	      -1.9080945
   2	   1	   1	   1	   3	      409.009834	      410.116666	    -1.106832007	      411.651129	       -2.641295
   3	   1	   1	   1	   3	      410.992713	     408.0871994	     2.905513601	     412.0675373	    -1.074824333
   4	   1	   1	   1	   3	      418.182944	     417.7875965	    0.3953474848	      420.053461	       -1.870517
   5	   1	   1	   1	   3	      429.114209	     433.6785407	     -4.56433172	     430.9653775	      -1.8511685
   2	   1	   1	   2	   1	      189.170815	      187.561555	     1.609259979	     182.8667133	     6.304101667
   3	   1	   1	   2	   1	      257.131056	     257.1560598	  -0.02500378562	     235.9375973	     21.19345867
   4	   1	   1	   2	   1	      329.471162	      330.586914	    -1.115752026	     313.5959695	      15.8751925
   5	   1	   1	   2	   1	      370.060883	     379.2704526	    -9.209569632	     365.6413055	       4.4195775
   2	   1	   1	   2	   2	      222.918666	     223.9463684	    -1.027702361	      222.566939	        0.351727
   3	   1	   1	   2	   2	      285.361203	     277.6698749	     7.691328075	     264.6903687	     20.67083433
   4	   1	   1	   2	   2	      348.233774	     353.2419867	    -5.008212659	     334.5974575	      13.6363165
   5	   1	   1	   2	   2	      383.833712	      391.276164	    -7.442451953	       380.36612	        3.467592
   2	   1	   1	   2	   3	      252.498519	     255.0377558	    -2.539236816	     255.5923293	    -3.093810333
   3	   1	   1	   2	   3	       310.92238	     298.8725322	     12.04984783	     290.7955173	     20.12686267
   4	   1	   1	   2	   3	      367.389514	     374.5545222	    -7.165008209	      355.098916	       12.290598
   5	   1	   1	   2	   3	      399.275452	      405.545199	    -6.269746996	     396.4187015	       2.8567505
   2	   1	   1	   3	   1	      153.453972	     150.1344572	      3.31951475	     144.7478567	     8.706115333
