 LIQ	 GLR	WCUT	 LFG	 WHP	True            	Spline          	eSpline         	Linear          	eLinear         
   2	   1	   1	   1	   1	       372.03369	     377.4491919	     -5.41550188	      382.747526	      -10.713836
   3	   1	   1	   1	   1	      373.436986	     359.8823255	     13.55466046	      375.842914	       -2.405928
   4	   1	   1	   1	   1	      383.461362	     388.3591047	    -4.897742697	     386.1027015	      -2.6413395
   5	   1	   1	   1	   1	      398.768417	     397.8846306	    0.8837863922	      400.530214	       -1.761797
   2	   1	   1	   1	   2	      392.836606	     395.6884937	    -2.851887743	     398.5425767	    -5.705970667
   3	   1	   1	   1	   2	       394.44704	     387.2931795	     7.153860501	     395.9812093	    -1.534169333
   4	   1	   1	   1	   2	      402.270416	     404.8041851	      -2.5337691	     404.4961575	      -2.2257415
   5	   1	   1	   1	   2	      414.545275	     414.3831979	    0.1620770674	     416.4533695	      -1.9080945
   2	   1	   1	   1	   3	      409.009834	     410.2810096	    -1.271175596	      411.651129	       -2.641295
   3	   1	   1	   1	   3	      410.992713	     407.8068055	     3.185907476	     412.0675373	    -1.074824333
   4	   1	   1	   1	   3	      418.182944	     419.2126768	    -1.029732754	      420.053461	       -1.870517
   5	   1	   1	   1	   3	      429.114209	     429.3599214	    -0.245712369	     430.9653775	      -1.8511685
   2	   1	   1	   2	   1	      189.170815	     185.3652799	      3.80553509	     182.8667133	     6.304101667
   3	   1	   1	   2	   1	      257.131056	     258.6863934	    -1.555337415	     235.9375973	     21.19345867
   4	   1	   1	   2	   1	      329.471162	     332.8324426	    -3.361280563	     313.5959695	      15.8751925
   5	   1	   1	   2	   1	      370.060883	     370.1081716	  -0.04728858672	     365.6413055	       4.4195775
   2	   1	   1	   2	   2	      222.918666	     222.3456395	    0.5730264884	      222.566939	        0.351727
   3	   1	   1	   2	   2	      285.361203	     278.7313711	      6.62983194	     264.6903687	     20.67083433
   4	   1	   1	   2	   2	      348.233774	     355.3959678	    -7.162193761	     334.5974575	      13.6363165
   5	   1	   1	   2	   2	      383.833712	     382.9732498	    0.8604621812	       380.36612	        3.467592
   2	   1	   1	   2	   3	      252.498519	     253.8022698	    -1.303750759	     255.5923293	    -3.093810333
   3	   1	   1	   2	   3	       310.92238	     299.6523444	      11.2700356	     290.7955173	     20.12686267
   4	   1	   1	   2	   3	      367.389514	      376.596179	    -9.206665006	      355.098916	       12.290598
   5	   1	   1	   2	   3	      399.275452	     397.9457942	     1.329657788	     396.4187015	       2.8567505
   2	   1	   1	   3	   1	      153.453972	     147.9600796	      5.49389244	     144.7478567	     8.706115333
   3	   1	   1	   3	   1	      213.613904	     223.0697532	    -9.455849172	      202.109797	       11.504107
   4	   1	   1	   3	   1	      299.421447	     295.2444583	     4.176988745	     282.9440475	      16.4773995
   5	   1	   1	   3	   1	      352.274191	     353.3061488	    -1.031957782	      345.697297	        6.576894
   2	   1	   1	   3	   2	      179.655577	     173.5590859	     6.096491055	     169.6293357	     10.02624133
   3	   1	   1	   3	   2	      235.636169	     246.8870202	    -11.25085119	     224.6521157	     10.98405333
   4	   1	   1	   3	   2	      314.645193	     309.8795662	     4.765626801	     299.4822405	      15.1629525
   5	   1	   1	   3	   2	      363.328312	     364.6462835	    -1.317971497	      357.590204	        5.738108
   2	   1	   1	   3	   3	      206.597793	     200.3541452	     6.243647785	     196.1284037	     10.46938933
   3	   1	   1	   3	   3	      259.445025	     271.1504899	    -11.70546495	     248.5602583	     10.88476667
   4	   1	   1	   3	   3	      332.485189	     327.7964664	     4.688722642	      318.377017	       14.108172
   5	   1	   1	   3	   3	      377.309009	     378.7226838	     -1.41367476	      372.246317	        5.062692
   2	   1	   2	   1	   1	      377.595509	     383.2344087	    -5.638899652	      388.734842	      -11.139333
   3	   1	   2	   1	   1	      378.922238	     364.7877572	     14.13448079	     381.3523387	    -2.430100667
   4	   1	   2	   1	   1	      388.865998	     394.0285676	    -5.162569635	     391.6241325	      -2.7581345
   5	   1	   2	   1	   1	      404.326027	     403.3728787	    0.9531483411	      406.124946	       -1.798919
   2	   1	   2	   1	   2	      398.368639	     401.4871814	    -3.118542442	      404.587919	        -6.21928
   3	   1	   2	   1	   2	      399.916905	     392.0844895	     7.832415464	     401.4975183	    -1.580613333
   4	   1	   2	   1	   2	      407.755277	     410.5503567	    -2.795079704	      410.041756	       -2.286479
   5	   1	   2	   1	   2	      420.166607	     419.9489317	    0.2176752961	     422.1179405	      -1.9513335
   2	   1	   2	   1	   3	      414.639924	     416.1601487	    -1.520224658	     417.7613323	    -3.121408333
   3	   1	   2	   1	   3	      416.600429	     412.7764808	      3.82394819	     417.7100253	    -1.109596333
   4	   1	   2	   1	   3	      423.850228	     425.1378028	    -1.287574842	      425.764923	       -1.914695
   5	   1	   2	   1	   3	      434.929417	     435.1040964	   -0.1746793607	     436.7811695	      -1.8517525
   2	   1	   2	   2	   1	      193.338357	     189.5208549	      3.81750211	     187.0655247	     6.272832333
   3	   1	   2	   2	   1	       260.04853	     261.9756139	    -1.927083946	     239.8240103	     20.22451967
   4	   1	   2	   2	   1	      332.795317	     335.6910625	    -2.895745508	     317.1781725	      15.6171445
   5	   1	   2	   2	   1	      374.307815	     374.3793928	  -0.07157775651	     369.7923095	       4.5155055
   2	   1	   2	   2	   2	      226.833822	     226.6814916	     0.152330415	      227.341764	       -0.507942
   3	   1	   2	   2	   2	      288.230818	     280.8154012	     7.415416762	      268.424395	       19.806423
   4	   1	   2	   2	   2	      351.605541	     358.7771746	    -7.171633592	     338.1687485	      13.4367925
   5	   1	   2	   2	   2	      388.106679	     387.1709639	    0.9357150729	      384.557539	         3.54914
   2	   1	   2	   2	   3	      256.074202	     258.1042077	    -2.030005658	     260.6105777	    -4.536375667
   3	   1	   2	   2	   3	      313.721507	     300.8218299	     12.89967705	      294.318534	       19.402973
   4	   1	   2	   2	   3	      370.807198	     380.4059802	    -9.598782234	     358.6596035	      12.1475945
   5	   1	   2	   2	   3	        403.5977	     402.0997569	      1.49794313	     400.6388475	       2.9588525
   2	   1	   2	   3	   1	      156.723111	     150.8434985	     5.879612549	     147.2504973	     9.472613667
   3	   1	   2	   3	   1	      216.804722	     227.1687894	    -10.36406741	      205.234278	       11.570444
   4	   1	   2	   3	   1	      302.256612	     298.0873951	     4.169216938	      286.402028	       15.854584
   5	   1	   2	   3	   1	      355.999334	     356.9048414	   -0.9055074156	      349.396036	        6.603298
   2	   1	   2	   3	   2	      183.269404	     176.7638953	     6.505508681	     172.4498213	     10.81958267
   3	   1	   2	   3	   2	       238.75649	     251.0950906	    -12.33860059	     228.0065397	     10.74995033
   4	   1	   2	   3	   2	      317.480811	      312.495081	     4.985730028	      302.918756	       14.562055
   5	   1	   2	   3	   2	      367.081022	     368.3253062	    -1.244284209	      361.300689	        5.780333
   2	   1	   2	   3	   3	      210.379492	     203.7144644	     6.665027631	      199.113479	       11.266013
   3	   1	   2	   3	   3	      262.387967	     275.3297185	    -12.94175155	     252.0224657	     10.36550133
   4	   1	   2	   3	   3	      335.308413	     330.1684154	     5.139997564	        321.7299	       13.578513
   5	   1	   2	   3	   3	      381.071833	     382.4712378	    -1.399404791	     375.9442975	       5.1275355
   2	   1	   3	   1	   1	      388.027535	     394.2728993	    -6.245364303	      400.328407	      -12.300872
   3	   1	   3	   1	   1	      389.185307	     373.4913536	     15.69395343	     391.7025413	    -2.517234333
   4	   1	   3	   1	   1	      399.052554	      404.880265	    -5.827710982	      402.041614	        -2.98906
   5	   1	   3	   1	   1	      414.897921	      413.775613	     1.122307959	      416.776282	       -1.878361
   2	   1	   3	   1	   2	       408.77708	     412.5744275	    -3.797347522	      416.303738	       -7.526658
   3	   1	   3	   1	   2	      410.188252	      400.626739	     9.561512959	      411.883819	       -1.695567
   4	   1	   3	   1	   2	      418.097297	     421.5635151	     -3.46621807	     420.5294025	      -2.4321055
   5	   1	   3	   1	   2	      430.870553	     430.5010917	    0.3694612906	      432.908903	        -2.03835
   2	   1	   3	   1	   3	      425.259647	     427.4082206	    -2.148573643	     429.5975023	    -4.337855333
   3	   1	   3	   1	   3	      427.120559	     421.7118565	     5.408702458	      428.362068	       -1.241509
   4	   1	   3	   1	   3	       434.56691	     436.4194088	    -1.852498761	      436.539073	       -1.972163
   5	   1	   3	   1	   3	      445.957587	     446.0157545	  -0.05816752682	     447.8814345	      -1.9238475
   2	   1	   3	   2	   1	      201.395222	     197.6771036	     3.718118402	      195.411497	        5.983725
   3	   1	   3	   2	   1	      265.530903	     267.8646218	    -2.333718849	     247.2063533	     18.32454967
   4	   1	   3	   2	   1	      338.828616	     340.9582565	    -2.129640478	     323.8315745	      14.9970415
   5	   1	   3	   2	   1	      382.132246	     382.2454326	    -0.113186588	      377.540679	        4.591567
   2	   1	   3	   2	   2	      234.598798	     235.2938637	   -0.6950657439	     236.8409027	    -2.242104667
   3	   1	   3	   2	   2	        293.5356	     284.6018254	     8.933774649	     275.6405927	     17.89500733
   4	   1	   3	   2	   2	      357.724182	     364.8224098	    -7.098227806	     344.7775315	      12.9466505
   5	   1	   3	   2	   2	      396.019463	      394.973415	      1.04604799	     392.3824105	       3.6370525
   2	   1	   3	   2	   3	       263.24615	     266.7568196	     -3.51066955	      270.737809	       -7.491659
   3	   1	   3	   2	   3	      318.773865	     302.6812861	     16.09257886	      301.169065	         17.6048
   4	   1	   3	   2	   3	      377.014895	     387.1795648	    -10.16466975	     365.1892835	      11.8256115
   5	   1	   3	   2	   3	      411.604702	     409.8608417	     1.743860347	     408.5379845	       3.0667175
   2	   1	   3	   3	   1	      163.083751	     156.6073884	     6.476362593	      152.350018	       10.733733
   3	   1	   3	   3	   1	      223.640576	     235.0766466	    -11.43607063	     211.2452727	     12.39530333
   4	   1	   3	   3	   1	      307.568316	       304.19427	     3.374046023	     293.3104525	      14.2578635
   5	   1	   3	   3	   1	      362.980329	     363.4358659	    -0.455536869	     356.4521735	       6.5281555
   2	   1	   3	   3	   2	       190.26327	     183.1122989	     7.150971056	     178.1250137	     12.13825633
   3	   1	   3	   3	   2	      245.407803	     259.1820968	    -13.77429381	     234.4279427	     10.97986033
   4	   1	   3	   3	   2	      322.757288	     318.1012841	     4.656003881	      309.738512	       13.018776
   5	   1	   3	   3	   2	      374.069221	     374.9805301	   -0.9113090745	      368.348654	        5.720567
   2	   1	   3	   3	   3	      217.721307	     210.4203676	      7.30093942	     205.1870537	     12.53425333
   3	   1	   3	   3	   3	      268.762013	     283.3097839	    -14.54777095	     258.6540483	     10.10796467
   4	   1	   3	   3	   3	      340.519531	     335.3716914	     5.147839643	     328.4124365	      12.1070945
   5	   1	   3	   3	   3	       388.06286	     389.2095622	    -1.146702191	     382.9605665	       5.1022935
   2	   1	   4	   1	   1	      397.090102	     404.2371662	    -7.147064153	      411.125357	      -14.035255
   3	   1	   4	   1	   1	      398.060437	     380.0628471	     17.99758987	     400.7196973	    -2.659260333
   4	   1	   4	   1	   1	      407.978888	     414.7149126	    -6.736024552	      411.201159	       -3.222271
   5	   1	   4	   1	   1	      424.341881	     423.0216818	     1.320199186	     426.3691275	      -2.0272465
   2	   1	   4	   1	   2	      417.843836	     422.6023024	    -4.758466393	     427.2235633	    -9.379727333
   3	   1	   4	   1	   2	      419.103172	     407.0920278	     12.01114422	      420.958013	       -1.854841
   4	   1	   4	   1	   2	      427.186367	     431.6030412	    -4.416674212	      429.803441	       -2.617074
   5	   1	   4	   1	   2	       440.50371	     439.9118802	    0.5918298237	     442.6403885	      -2.1366785
   2	   1	   4	   1	   3	      434.546686	     437.5990129	    -3.052326908	     440.6314147	    -6.084728667
   3	   1	   4	   1	   3	      436.278928	     428.5786976	     7.700230447	      437.690694	       -1.411766
   4	   1	   4	   1	   3	       443.97871	     446.6805275	    -2.701817484	     446.0791415	      -2.1004315
   5	   1	   4	   1	   3	      455.879355	     455.7546518	    0.1247031802	      457.911295	        -2.03194
   2	   1	   4	   2	   1	      209.358515	      205.890065	     3.468450009	      203.915042	        5.443473
   3	   1	   4	   2	   1	       270.77004	     273.0266709	    -2.256630866	     254.1819777	     16.58806233
   4	   1	   4	   2	   1	      343.828903	     345.6691891	    -1.840286089	     329.8747035	      13.9541995
   5	   1	   4	   2	   1	      388.979367	     388.9621806	   0.01718640964	     384.3593265	       4.6200405
   2	   1	   4	   2	   2	      242.755497	     244.2262295	    -1.470732459	     246.5825453	    -3.827048333
   3	   1	   4	   2	   2	      298.453786	     288.2691969	     10.18458908	     282.7523773	     15.70140867
   4	   1	   4	   2	   2	      362.746138	     369.7223364	    -6.976198383	     350.6936865	      12.0524515
   5	   1	   4	   2	   2	      402.933587	     401.7302826	     1.203304387	      399.240021	        3.693566
   2	   1	   4	   2	   3	       270.92783	     275.9358628	    -5.008032767	     281.4097063	    -10.48187633
   3	   1	   4	   2	   3	      323.296969	     304.1349598	     19.16200923	     307.9818287	     15.31514033
   4	   1	   4	   2	   3	      382.089826	     392.7034216	    -10.61359556	     370.9477095	      11.1421165
   5	   1	   4	   2	   3	       418.59845	     416.5836354	     2.014814581	      415.449547	        3.148903
   2	   1	   4	   3	   1	      169.384791	     162.4320932	     6.952697784	      157.575969	       11.808822
   3	   1	   4	   3	   1	      230.900239	     242.8958279	    -11.99558885	      217.134004	       13.766235
   4	   1	   4	   3	   1	       312.63243	     310.4653642	      2.16706577	      300.056136	       12.576294
   5	   1	   4	   3	   1	      369.212033	     369.2393498	  -0.02731676615	      363.064778	        6.147255
   2	   1	   4	   3	   2	      197.183449	     189.5556402	     7.627808781	     183.9993043	     13.18414467
   3	   1	   4	   3	   2	      252.466125	     267.0187141	    -14.55258914	     240.6831303	     11.78299467
   4	   1	   4	   3	   2	      327.682493	     323.8971568	     3.785336221	       316.37806	       11.304433
   5	   1	   4	   3	   2	      380.289995	     380.8261507	   -0.5361556888	     374.8981515	       5.3918435
   2	   1	   4	   3	   3	      225.053001	     217.8329228	     7.220078205	     212.5705193	     12.48248167
   3	   1	   4	   3	   3	       275.54425	     289.6141983	    -14.06994828	      265.126046	       10.418204
   4	   1	   4	   3	   3	      345.272136	     341.2712299	     4.000906104	      334.893727	       10.378409
   5	   1	   4	   3	   3	      394.243204	     394.9197774	   -0.6765734328	      389.415323	        4.827881
   2	   1	   5	   1	   1	      403.772233	      412.316225	    -8.543991998	     420.5025947	    -16.73036167
   3	   1	   5	   1	   1	      404.545588	     382.9902193	     21.55536873	     407.4347653	    -2.889177333
   4	   1	   5	   1	   1	       414.75983	     422.8450719	    -8.085241939	      418.232588	       -3.472758
   5	   1	   5	   1	   1	      431.919588	     430.3156221	     1.603965876	     434.1521475	      -2.2325595
   2	   1	   5	   1	   2	      424.533715	     430.7376495	    -6.203934459	     436.7059373	    -12.17222233
   3	   1	   5	   1	   2	       425.63691	      409.949066	     15.68784397	     427.7306687	    -2.093758667
   4	   1	   5	   1	   2	      434.124576	     439.9085871	    -5.784011093	      436.940727	       -2.816151
   5	   1	   5	   1	   2	      448.244544	     447.3708302	    0.8737137555	     450.5799795	      -2.3354355
   2	   1	   5	   1	   3	      441.449719	     445.8879102	    -4.438191169	     450.2117423	    -8.762023333
   3	   1	   5	   1	   3	      443.052873	     431.8223686	     11.23050438	     444.6899427	    -1.637069667
   4	   1	   5	   1	   3	       451.17039	     455.2067988	    -4.036408796	      453.479505	       -2.309115
   5	   1	   5	   1	   3	      463.906137	     463.4890437	    0.4170933289	     466.0996455	      -2.1935085
   2	   1	   5	   2	   1	      217.398002	     214.3898565	     3.008145476	      212.829133	        4.568869
   3	   1	   5	   2	   1	      276.190755	     277.5991955	    -1.408440473	      260.824365	        15.36639
   4	   1	   5	   2	   1	      347.677091	     349.9639582	    -2.286867174	     335.2949255	      12.3821655
   5	   1	   5	   2	   1	      394.399096	     394.1057446	    0.2933513698	      390.039484	        4.359612
   2	   1	   5	   2	   2	      251.331289	     253.7199405	    -2.388651527	      256.954739	        -5.62345
   3	   1	   5	   2	   2	      303.529361	     291.5810641	     11.94829692	     289.7283473	     13.80101367
   4	   1	   5	   2	   2	      366.522464	     373.9396952	    -7.417231206	     355.9578255	      10.5646385
   5	   1	   5	   2	   2	       408.38629	     406.9016591	     1.484630941	      404.905031	        3.481259
   2	   1	   5	   2	   3	      279.814545	     286.3533122	    -6.538767206	     293.2951583	    -13.48061333
   3	   1	   5	   2	   3	      328.133401	     305.7853773	     22.34802374	     315.1394693	     12.99393167
   4	   1	   5	   2	   3	      385.789318	     397.1912644	    -11.40194636	     376.0965445	       9.6927735
   5	   1	   5	   2	   3	      424.059688	     421.6650342	     2.394653793	     421.0784265	       2.9812615
   2	   1	   5	   3	   1	      175.655494	     168.2429751	     7.412518883	     162.7825087	     12.87298533
   3	   1	   5	   3	   1	      238.723938	     251.1003212	    -12.37638321	     223.1250553	     15.59888267
   4	   1	   5	   3	   1	      318.064178	     317.1638721	    0.9003059106	     306.8787565	      11.1854215
   5	   1	   5	   3	   1	      375.033575	     374.7859937	     0.247581263	      369.522616	        5.510959
   2	   1	   5	   3	   2	      204.159848	     196.5112265	     7.648621528	     190.7713533	     13.38849467
   3	   1	   5	   3	   2	      260.379772	     274.3287186	     -13.9489466	     247.1395317	     13.24024033
   4	   1	   5	   3	   2	      333.098899	     330.7517859	     2.347113086	      323.189644	        9.909255
   5	   1	   5	   3	   2	      385.999516	      386.257689	   -0.2581730401	      381.332007	        4.667509
   2	   1	   5	   3	   3	      232.547802	     225.9150745	      6.63272752	     221.0605453	     11.48725667
   3	   1	   5	   3	   3	      283.187906	     295.3024265	    -12.11452053	     271.8711057	     11.31680033
   4	   1	   5	   3	   3	      350.517713	     348.1788921	      2.33882091	      341.493673	         9.02404
   5	   1	   5	   3	   3	       399.79944	      400.161727	   -0.3622870174	     395.7208575	       4.0785825
   2	   1	   6	   1	   1	      405.978193	     417.0715316	    -11.09333862	     427.6310677	    -21.65287467
   3	   1	   6	   1	   1	      406.582057	     378.5185862	     28.06347081	     409.8266597	    -3.244602667
   4	   1	   6	   1	   1	      417.523593	     428.0566267	    -10.53303369	      421.314611	       -3.791018
   5	   1	   6	   1	   1	      436.047165	     433.9294213	     2.117743703	      438.600039	       -2.552874
   2	   1	   6	   1	   2	      426.620905	     435.4182898	    -8.797384751	     443.8024967	    -17.18159167
   3	   1	   6	   1	   2	      427.603876	     405.2909207	     22.31295528	     430.0517783	    -2.447902333
   4	   1	   6	   1	   2	      436.913525	     445.2019345	    -8.288409476	      440.036228	       -3.122703
   5	   1	   6	   1	   2	       452.46858	     451.0494878	     1.419092241	     455.0804845	      -2.6119045
   2	   1	   6	   1	   3	      443.640594	     450.6142896	    -6.973695608	      457.300021	      -13.659427
   3	   1	   6	   1	   3	      445.154167	     427.4406093	     17.71355773	      447.129508	       -1.975341
   4	   1	   6	   1	   3	      454.107336	     460.6114195	    -6.504083533	     456.7296735	      -2.6223375
   5	   1	   6	   1	   3	       468.30518	     467.3403957	    0.9647843161	      470.752761	       -2.447581
   2	   1	   6	   2	   1	      225.414497	     223.1917898	     2.222707219	     222.3663887	     3.048108333
   3	   1	   6	   2	   1	      281.991656	      281.742921	    0.2487349652	     267.7257633	     14.26589267
   4	   1	   6	   2	   1	      352.348296	      354.995793	    -2.647497039	      340.826562	       11.521734
   5	   1	   6	   2	   1	      399.661468	     399.3630746	    0.2983934409	     395.8307715	       3.8306965
   2	   1	   6	   2	   2	      260.256066	     263.8380181	    -3.581952084	      268.250121	       -7.994055
   3	   1	   6	   2	   2	      309.018461	     294.7664968	     14.25196418	      297.250815	       11.767646
   4	   1	   6	   2	   2	      371.240313	     378.5246868	    -7.284373758	      361.183767	       10.056546
   5	   1	   6	   2	   2	      413.349073	     412.1659865	     1.183086529	      410.666002	        2.683071
   2	   1	   6	   2	   3	      289.620134	     298.0664411	    -8.446307109	     306.8794193	    -17.25928533
   3	   1	   6	   2	   3	      333.535468	     307.3080832	     26.22738479	     323.2208633	     10.31460467
   4	   1	   6	   2	   3	      390.422322	     401.8621861	    -11.43986408	     381.1192545	       9.3030675
   5	   1	   6	   2	   3	      428.703041	     426.6729127	     2.030128336	     426.7047155	       1.9983255
   2	   1	   6	   3	   1	      181.496772	      174.305728	     7.191044045	     168.7586467	     12.73812533
   3	   1	   6	   3	   1	      246.780646	     257.2543385	    -10.47369247	     228.6175953	     18.16305067
   4	   1	   6	   3	   1	      322.859242	     325.8921313	      -3.0328893	      314.831961	        8.027281
   5	   1	   6	   3	   1	      382.883276	     380.7896877	     2.093588297	      376.688118	        6.195158
   2	   1	   6	   3	   2	       210.98742	     204.1045085	      6.88291149	     198.7704197	     12.21700033
   3	   1	   6	   3	   2	      269.123123	     279.7849705	    -10.66184753	     253.3954353	     15.72768767
   4	   1	   6	   3	   2	      338.211466	     340.3775609	    -2.166094946	     331.5524695	       6.6589965
   5	   1	   6	   3	   2	      393.981816	     392.2063676	     1.775448387	      388.566956	         5.41486
   2	   1	   6	   3	   3	      240.161287	      234.795167	     5.366119981	     230.8194483	     9.341838667
   3	   1	   6	   3	   3	      292.507961	     300.1249214	    -7.616960442	      278.831663	       13.676298
   4	   1	   6	   3	   3	      356.172415	     358.5658583	    -2.393443302	     350.1317955	       6.0406195
   5	   1	   6	   3	   3	       407.75563	       406.15011	     1.605520003	      403.087559	        4.668071
   2	   2	   1	   1	   1	      335.622245	     346.0746076	    -10.45236259	      356.259931	      -20.637686
   3	   2	   1	   1	   1	      337.651225	     311.5953503	     26.05587474	      341.936417	       -4.285192
   4	   2	   1	   1	   1	      354.564761	     363.7414697	    -9.176708703	     357.3854095	      -2.8206485
   5	   2	   1	   1	   1	      377.119594	     374.9227146	     2.196879424	     378.3724755	      -1.2528815
   2	   2	   1	   1	   2	      362.332618	     369.7884852	    -7.455867199	     377.0046597	    -14.67204167
   3	   2	   1	   1	   2	      363.430809	     344.7335763	      18.6972327	     366.3691777	    -2.938368667
   4	   2	   1	   1	   2	      374.442297	     381.2453162	    -6.803019242	     377.5415865	      -3.0992895
   5	   2	   1	   1	   2	      391.652364	     390.3448746	     1.307489408	     393.6949285	      -2.0425645
   2	   2	   1	   1	   3	      382.576883	     387.5541295	    -4.977246452	     392.4086207	    -9.831737667
   3	   2	   1	   1	   3	      383.938302	     371.4228359	     12.51546608	     386.0212477	    -2.082945667
   4	   2	   1	   1	   3	      392.909977	      397.442509	    -4.532532005	     395.5973675	      -2.6873905
   5	   2	   1	   1	   3	      407.256433	     406.6305652	    0.6258677674	     409.4088695	      -2.1524365
   2	   2	   1	   2	   1	      181.400934	     176.5679622	     4.832971752	     173.3015297	     8.099404333
   3	   2	   1	   2	   1	      241.327727	     247.2705704	    -5.942843411	     225.0396073	     16.28811967
   4	   2	   1	   2	   1	      312.316954	     312.4814692	   -0.1645152173	     298.6670545	      13.6498995
   5	   2	   1	   2	   1	      356.006382	     356.6281074	   -0.6217254031	       352.01126	        3.995122
   2	   2	   1	   2	   2	      213.970455	     212.4293437	     1.541111279	      211.904849	        2.065606
   3	   2	   1	   2	   2	      268.548527	     266.0347938	     2.513733209	      252.472062	       16.076465
   4	   2	   1	   2	   2	      329.475276	     333.7106868	    -4.235410838	     318.1746305	      11.3006455
   5	   2	   1	   2	   2	      367.800734	     367.4930258	     0.307708151	      364.900436	        2.900298
   2	   2	   1	   2	   3	      243.187532	     243.8341103	   -0.6465783433	     245.1275027	    -1.939970667
   3	   2	   1	   2	   3	      294.253562	     286.1168721	      8.13668993	     278.2172353	     16.03632667
   4	   2	   1	   2	   3	      348.276642	     355.1316455	      -6.8550035	     338.2532565	      10.0233855
   5	   2	   1	   2	   3	      382.252951	     381.3869166	     0.866034374	      380.051335	        2.201616
   2	   2	   1	   3	   1	      151.143868	     145.6409861	     5.502881885	      142.275596	        8.868272
   3	   2	   1	   3	   1	      208.772582	     218.1803259	    -9.407743885	     197.5178473	     11.25473467
   4	   2	   1	   3	   1	      290.265806	     287.0161812	      3.24962478	     276.3150595	      13.9507465
   5	   2	   1	   3	   1	      343.857537	     344.5601523	   -0.7026152786	      338.066438	        5.791099
