 LIQ	 GLR	WCUT	 LFG	 WHP	True            	Spline          	eSpline         	Linear          	eLinear         
   2	   1	   1	   1	   1	       372.03369	     370.3653333	     1.668356704	      382.747526	      -10.713836
   3	   1	   1	   1	   1	      373.436986	     365.8720689	     7.564917129	      375.842914	       -2.405928
   4	   1	   1	   1	   1	      383.461362	     385.4811411	    -2.019779127	     386.1027015	      -2.6413395
   5	   1	   1	   1	   1	      398.768417	     400.1233653	    -1.354948315	      400.530214	       -1.761797
   2	   1	   1	   1	   2	      392.836606	     392.1130112	    0.7235948291	     398.5425767	    -5.705970667
   3	   1	   1	   1	   2	       394.44704	     390.3356923	     4.111347732	     395.9812093	    -1.534169333
   4	   1	   1	   1	   2	      402.270416	     403.1665027	   -0.8960866997	     404.4961575	      -2.2257415
   5	   1	   1	   1	   2	      414.545275	      416.094501	    -1.549225976	     416.4533695	      -1.9080945
   2	   1	   1	   1	   3	      409.009834	     408.9090826	    0.1007514426	      411.651129	       -2.641295
   3	   1	   1	   1	   3	      410.992713	     408.9989796	      1.99373345	     412.0675373	    -1.074824333
   4	   1	   1	   1	   3	      418.182944	     418.3465984	   -0.1636544212	      420.053461	       -1.870517
   5	   1	   1	   1	   3	      429.114209	     430.7631879	    -1.648978908	     430.9653775	      -1.8511685
   2	   1	   1	   2	   1	      189.170815	     205.3642727	    -16.19345768	     182.8667133	     6.304101667
   3	   1	   1	   2	   1	      257.131056	     242.0247118	     15.10634419	     235.9375973	     21.19345867
   4	   1	   1	   2	   1	      329.471162	     338.5715574	    -9.100395397	     313.5959695	      15.8751925
   5	   1	   1	   2	   1	      370.060883	      371.282291	    -1.221408004	     365.6413055	       4.4195775
   2	   1	   1	   2	   2	      222.918666	     236.9621178	    -14.04345181	      222.566939	        0.351727
   3	   1	   1	   2	   2	      285.361203	     266.5699753	     18.79122771	     264.6903687	     20.67083433
   4	   1	   1	   2	   2	      348.233774	     359.4370595	    -11.20328552	     334.5974575	      13.6363165
   5	   1	   1	   2	   2	      383.833712	     384.3132279	   -0.4795159203	       380.36612	        3.467592
   2	   1	   1	   2	   3	      252.498519	     265.1133111	     -12.6147921	     255.5923293	    -3.093810333
   3	   1	   1	   2	   3	       310.92238	     290.2528558	     20.66952425	     290.7955173	     20.12686267
   4	   1	   1	   2	   3	      367.389514	     379.6112868	     -12.2217728	      355.098916	       12.290598
   5	   1	   1	   2	   3	      399.275452	     399.3349091	  -0.05945710365	     396.4187015	       2.8567505
   2	   1	   1	   3	   1	      153.453972	     167.8202034	    -14.36623144	     144.7478567	     8.706115333
   3	   1	   1	   3	   1	      213.613904	     206.5476665	     7.066237545	      202.109797	       11.504107
   4	   1	   1	   3	   1	      299.421447	     300.7141925	    -1.292745542	     282.9440475	      16.4773995
   5	   1	   1	   3	   1	      352.274191	     355.1931045	    -2.918913529	      345.697297	        6.576894
   2	   1	   1	   3	   2	      179.655577	     193.3694115	    -13.71383452	     169.6293357	     10.02624133
   3	   1	   1	   3	   2	      235.636169	     230.3993621	     5.236806949	     224.6521157	     10.98405333
   4	   1	   1	   3	   2	      314.645193	     315.4028103	   -0.7576173364	     299.4822405	      15.1629525
   5	   1	   1	   3	   2	      363.328312	     366.3173432	    -2.989031227	      357.590204	        5.738108
   2	   1	   1	   3	   3	      206.597793	     219.7496569	    -13.15186392	     196.1284037	     10.46938933
   3	   1	   1	   3	   3	      259.445025	     255.0030118	     4.442013215	     248.5602583	     10.88476667
   4	   1	   1	   3	   3	      332.485189	     333.2526501	   -0.7674610703	      318.377017	       14.108172
   5	   1	   1	   3	   3	      377.309009	     380.2061163	    -2.897107314	      372.246317	        5.062692
   2	   1	   2	   1	   1	      377.595509	     375.8388793	     1.756629668	      388.734842	      -11.139333
   3	   1	   2	   1	   1	      378.922238	      371.039274	     7.882964012	     381.3523387	    -2.430100667
   4	   1	   2	   1	   1	      388.865998	     391.0408762	    -2.174878219	     391.6241325	      -2.7581345
   5	   1	   2	   1	   1	      404.326027	     405.6570423	    -1.331015292	      406.124946	       -1.798919
   2	   1	   2	   1	   2	      398.368639	      397.542675	    0.8259639932	      404.587919	        -6.21928
   3	   1	   2	   1	   2	      399.916905	      395.436812	      4.48009296	     401.4975183	    -1.580613333
   4	   1	   2	   1	   2	      407.755277	     408.7840493	    -1.028772319	      410.041756	       -2.286479
   5	   1	   2	   1	   2	      420.166607	     421.7099563	    -1.543349264	     422.1179405	      -1.9513335
   2	   1	   2	   1	   3	      414.639924	     414.4513165	    0.1886074968	     417.7613323	    -3.121408333
   3	   1	   2	   1	   3	      416.600429	     414.2513403	     2.349088663	     417.7100253	    -1.109596333
   4	   1	   2	   1	   3	      423.850228	     424.1558247	   -0.3055966661	      425.764923	       -1.914695
   5	   1	   2	   1	   3	      434.929417	     436.5479508	    -1.618533815	     436.7811695	      -1.8517525
   2	   1	   2	   2	   1	      193.338357	     209.2101644	    -15.87180737	     187.0655247	     6.272832333
   3	   1	   2	   2	   1	       260.04853	     245.5755144	     14.47301556	     239.8240103	     20.22451967
   4	   1	   2	   2	   1	      332.795317	     341.3069554	    -8.511638401	     317.1781725	      15.6171445
   5	   1	   2	   2	   1	      374.307815	     375.6432365	    -1.335421468	     369.7923095	       4.5155055
   2	   1	   2	   2	   2	      226.833822	     240.4630391	    -13.62921711	      227.341764	       -0.507942
   3	   1	   2	   2	   2	      288.230818	     269.3556456	     18.87517236	      268.424395	       19.806423
   4	   1	   2	   2	   2	      351.605541	     362.5206816	    -10.91514058	     338.1687485	      13.4367925
   5	   1	   2	   2	   2	      388.106679	      388.644063	   -0.5373840474	      384.557539	         3.54914
   2	   1	   2	   2	   3	      256.074202	     268.2395474	    -12.16534544	     260.6105777	    -4.536375667
   3	   1	   2	   2	   3	      313.721507	     292.4093589	     21.31214811	      294.318534	       19.402973
   4	   1	   2	   2	   3	      370.807198	     383.0115714	    -12.20437337	     358.6596035	      12.1475945
   5	   1	   2	   2	   3	        403.5977	     403.6464051	  -0.04870514219	     400.6388475	       2.9588525
   2	   1	   2	   3	   1	      156.723111	      171.214954	    -14.49184303	     147.2504973	     9.472613667
   3	   1	   2	   3	   1	      216.804722	     210.2207732	     6.583948816	      205.234278	       11.570444
   4	   1	   2	   3	   1	      302.256612	     303.7031533	      -1.4465413	      286.402028	       15.854584
   5	   1	   2	   3	   1	      355.999334	     358.8240566	    -2.824722564	      349.396036	        6.603298
   2	   1	   2	   3	   2	      183.269404	     197.0084814	    -13.73907745	     172.4498213	     10.81958267
   3	   1	   2	   3	   2	       238.75649	     234.2460577	     4.510432342	     228.0065397	     10.74995033
   4	   1	   2	   3	   2	      317.480811	     318.1389211	   -0.6581101185	      302.918756	       14.562055
   5	   1	   2	   3	   2	      367.081022	     370.0345004	    -2.953478403	      361.300689	        5.780333
   2	   1	   2	   3	   3	      210.379492	     223.4669978	    -13.08750581	      199.113479	       11.266013
   3	   1	   2	   3	   3	      262.387967	     258.8855075	     3.502459471	     252.0224657	     10.36550133
   4	   1	   2	   3	   3	      335.308413	      335.720223	    -0.411810033	        321.7299	       13.578513
   5	   1	   2	   3	   3	      381.071833	     383.9970871	    -2.925254089	     375.9442975	       5.1275355
   2	   1	   3	   1	   1	      388.027535	     386.0358034	     1.991731611	      400.328407	      -12.300872
   3	   1	   3	   1	   1	      389.185307	     380.4495026	      8.73580443	     391.7025413	    -2.517234333
   4	   1	   3	   1	   1	      399.052554	     401.5982362	    -2.545682205	      402.041614	        -2.98906
   5	   1	   3	   1	   1	      414.897921	     416.1763258	    -1.278404786	      416.776282	       -1.878361
   2	   1	   3	   1	   2	       408.77708	     407.6949332	     1.082146766	      416.303738	       -7.526658
   3	   1	   3	   1	   2	      410.188252	     404.7639352	      5.42431679	      411.883819	       -1.695567
   4	   1	   3	   1	   2	      418.097297	      419.472126	    -1.374828975	     420.5294025	      -2.4321055
   5	   1	   3	   1	   2	      430.870553	     432.3855419	    -1.514988925	      432.908903	        -2.03835
