 LIQ	 GLR	WCUT	 LFG	 WHP	True            	Spline          	eSpline         	Linear          	eLinear         
   2	   1	   1	   1	   1	       372.03369	     381.3314617	    -9.297771677	      382.747526	      -10.713836
   3	   1	   1	   1	   1	      373.436986	     361.1103449	     12.32664108	      375.842914	       -2.405928
   4	   1	   1	   1	   1	      383.461362	     387.8311144	    -4.369752445	     386.1027015	      -2.6413395
   5	   1	   1	   1	   1	      398.768417	     397.3268481	     1.441568937	      400.530214	       -1.761797
   2	   1	   1	   1	   2	      392.836606	     397.7651643	    -4.928558306	     398.5425767	    -5.705970667
   3	   1	   1	   1	   2	       394.44704	     387.9249274	     6.522112642	     395.9812093	    -1.534169333
   4	   1	   1	   1	   2	      402.270416	     404.5691154	    -2.298699355	     404.4961575	      -2.2257415
   5	   1	   1	   1	   2	      414.545275	     414.1257224	    0.4195526484	     416.4533695	      -1.9080945
   2	   1	   1	   1	   3	      409.009834	     411.2513209	    -2.241486938	      411.651129	       -2.641295
   3	   1	   1	   1	   3	      410.992713	     408.0705407	     2.922172338	     412.0675373	    -1.074824333
   4	   1	   1	   1	   3	      418.182944	     419.1510998	     -0.96815582	      420.053461	       -1.870517
   5	   1	   1	   1	   3	      429.114209	     429.2870002	   -0.1727912422	     430.9653775	      -1.8511685
   2	   1	   1	   2	   1	      189.170815	     186.3879034	     2.782911615	     182.8667133	     6.304101667
   3	   1	   1	   2	   1	      257.131056	     256.2683332	    0.8627228159	     235.9375973	     21.19345867
   4	   1	   1	   2	   1	      329.471162	     333.8407762	    -4.369614215	     313.5959695	      15.8751925
   5	   1	   1	   2	   1	      370.060883	     370.4703106	   -0.4094276016	     365.6413055	       4.4195775
   2	   1	   1	   2	   2	      222.918666	      225.448671	    -2.530004983	      222.566939	        0.351727
   3	   1	   1	   2	   2	      285.361203	     277.1151386	     8.246064386	     264.6903687	     20.67083433
   4	   1	   1	   2	   2	      348.233774	     356.0815003	    -7.847726305	     334.5974575	      13.6363165
   5	   1	   1	   2	   2	      383.833712	     382.7837689	     1.049943078	       380.36612	        3.467592
   2	   1	   1	   2	   3	      252.498519	     258.0675294	    -5.569010426	     255.5923293	    -3.093810333
   3	   1	   1	   2	   3	       310.92238	     298.5210914	     12.40128856	     290.7955173	     20.12686267
   4	   1	   1	   2	   3	      367.389514	     377.0857264	     -9.69621243	      355.098916	       12.290598
   5	   1	   1	   2	   3	      399.275452	     397.4661365	     1.809315523	     396.4187015	       2.8567505
   2	   1	   1	   3	   1	      153.453972	      147.016595	     6.437376959	     144.7478567	     8.706115333
   3	   1	   1	   3	   1	      213.613904	     220.6976818	    -7.083777812	      202.109797	       11.504107
   4	   1	   1	   3	   1	      299.421447	     296.0399469	     3.381500065	     282.9440475	      16.4773995
   5	   1	   1	   3	   1	      352.274191	     354.5947695	    -2.320578484	      345.697297	        6.576894
   2	   1	   1	   3	   2	      179.655577	       171.98412	     7.671457017	     169.6293357	     10.02624133
   3	   1	   1	   3	   2	      235.636169	     244.4503125	    -8.814143461	     224.6521157	     10.98405333
   4	   1	   1	   3	   2	      314.645193	     310.7459303	     3.899262695	     299.4822405	      15.1629525
   5	   1	   1	   3	   2	      363.328312	     365.9603627	    -2.632050703	      357.590204	        5.738108
   2	   1	   1	   3	   3	      206.597793	     198.5378751	     8.059917897	     196.1284037	     10.46938933
   3	   1	   1	   3	   3	      259.445025	     268.7237673	     -9.27874233	     248.5602583	     10.88476667
   4	   1	   1	   3	   3	      332.485189	     328.6944079	      3.79078108	      318.377017	       14.108172
   5	   1	   1	   3	   3	      377.309009	     379.9877308	    -2.678721812	      372.246317	        5.062692
   2	   1	   2	   1	   1	      377.595509	     387.2741297	    -9.678620691	      388.734842	      -11.139333
   3	   1	   2	   1	   1	      378.922238	     366.0663972	     12.85584083	     381.3523387	    -2.430100667
   4	   1	   2	   1	   1	      388.865998	     393.4788723	    -4.612874255	     391.6241325	      -2.7581345
   5	   1	   2	   1	   1	      404.326027	     402.7766901	     1.549336938	      406.124946	       -1.798919
   2	   1	   2	   1	   2	      398.368639	     403.7517787	    -5.383139674	      404.587919	        -6.21928
   3	   1	   2	   1	   2	      399.916905	     392.7772694	      7.13963563	     401.4975183	    -1.580613333
   4	   1	   2	   1	   2	      407.755277	      410.288059	     -2.53278202	      410.041756	       -2.286479
   5	   1	   2	   1	   2	      420.166607	     419.6633581	    0.5032489297	     422.1179405	      -1.9513335
   2	   1	   2	   1	   3	      414.639924	     417.3078614	     -2.66793744	     417.7613323	    -3.121408333
   3	   1	   2	   1	   3	      416.600429	     413.0966239	     3.503805091	     417.7100253	    -1.109596333
   4	   1	   2	   1	   3	      423.850228	     425.0496688	     -1.19944084	      425.764923	       -1.914695
   5	   1	   2	   1	   3	      434.929417	     434.9989259	  -0.06950892969	     436.7811695	      -1.8517525
   2	   1	   2	   2	   1	      193.338357	     190.4414085	      2.89694845	     187.0655247	     6.272832333
   3	   1	   2	   2	   1	       260.04853	     259.6017953	    0.4467346797	     239.8240103	     20.22451967
   4	   1	   2	   2	   1	      332.795317	     336.6671683	    -3.871851255	     317.1781725	      15.6171445
   5	   1	   2	   2	   1	      374.307815	     374.7763586	   -0.4685435703	     369.7923095	       4.5155055
   2	   1	   2	   2	   2	      226.833822	     230.0072441	     -3.17342212	      227.341764	       -0.507942
   3	   1	   2	   2	   2	      288.230818	     279.3335839	     8.897234125	      268.424395	       19.806423
   4	   1	   2	   2	   2	      351.605541	     359.3889777	    -7.783436745	     338.1687485	      13.4367925
   5	   1	   2	   2	   2	      388.106679	     386.9727797	     1.133899266	      384.557539	         3.54914
   2	   1	   2	   2	   3	      256.074202	     262.8297511	    -6.755549082	     260.6105777	    -4.536375667
   3	   1	   2	   2	   3	      313.721507	     299.8849493	     13.83655775	      294.318534	       19.402973
   4	   1	   2	   2	   3	      370.807198	      380.793728	    -9.986529975	     358.6596035	      12.1475945
   5	   1	   2	   2	   3	        403.5977	     401.5705457	      2.02715432	     400.6388475	       2.9588525
   2	   1	   2	   3	   1	      156.723111	      149.625818	        7.097293	     147.2504973	     9.472613667
   3	   1	   2	   3	   1	      216.804722	     224.7060563	    -7.901334284	      205.234278	       11.570444
   4	   1	   2	   3	   1	      302.256612	     298.9313939	      3.32521812	      286.402028	       15.854584
   5	   1	   2	   3	   1	      355.999334	     358.0947125	    -2.095378469	      349.396036	        6.603298
   2	   1	   2	   3	   2	      183.269404	     174.8670016	     8.402402354	     172.4498213	     10.81958267
   3	   1	   2	   3	   2	       238.75649	     248.5781814	    -9.821691414	     228.0065397	     10.74995033
   4	   1	   2	   3	   2	      317.480811	     313.4010763	      4.07973467	      302.918756	       14.562055
   5	   1	   2	   3	   2	      367.081022	     369.5774299	    -2.496407891	      361.300689	        5.780333
   2	   1	   2	   3	   3	      210.379492	     201.5397846	     8.839707443	      199.113479	       11.266013
   3	   1	   2	   3	   3	      262.387967	      272.834496	    -10.44652903	     252.0224657	     10.36550133
   4	   1	   2	   3	   3	      335.308413	     331.0959271	      4.21248588	        321.7299	       13.578513
   5	   1	   2	   3	   3	      381.071833	     383.7169643	    -2.645131336	     375.9442975	       5.1275355
   2	   1	   3	   1	   1	      388.027535	     398.7402766	     -10.7127416	      400.328407	      -12.300872
   3	   1	   3	   1	   1	      389.185307	     374.9081087	     14.27719832	     391.7025413	    -2.517234333
   4	   1	   3	   1	   1	      399.052554	     404.2694665	      -5.2169125	      402.041614	        -2.98906
   5	   1	   3	   1	   1	      414.897921	     413.0909629	     1.806958109	      416.776282	       -1.878361
   2	   1	   3	   1	   2	       408.77708	     415.3184455	    -6.541365522	      416.303738	       -7.526658
   3	   1	   3	   1	   2	      410.188252	     401.4745944	     8.713657638	      411.883819	       -1.695567
   4	   1	   3	   1	   2	      418.097297	     421.2311878	    -3.133890845	     420.5294025	      -2.4321055
   5	   1	   3	   1	   2	      430.870553	     430.1410401	    0.7295129219	      432.908903	        -2.03835
   2	   1	   3	   1	   3	      425.259647	       428.99931	    -3.739663045	     429.5975023	    -4.337855333
   3	   1	   3	   1	   3	      427.120559	      422.176438	     4.944120978	      428.362068	       -1.241509
   4	   1	   3	   1	   3	       434.56691	     436.2646621	      -1.6977521	      436.539073	       -1.972163
   5	   1	   3	   1	   3	      445.957587	     445.8585274	   0.09905955469	     447.8814345	      -1.9238475
   2	   1	   3	   2	   1	      201.395222	     198.4813365	     2.913885526	      195.411497	        5.983725
   3	   1	   3	   2	   1	      265.530903	     265.6056199	  -0.07471694493	     247.2063533	     18.32454967
   4	   1	   3	   2	   1	      338.828616	     341.8629821	    -3.034366055	     323.8315745	      14.9970415
   5	   1	   3	   2	   1	      382.132246	     382.6956611	    -0.563415125	      377.540679	        4.591567
   2	   1	   3	   2	   2	      234.598798	     239.0461023	    -4.447304292	     236.8409027	    -2.242104667
   3	   1	   3	   2	   2	        293.5356	     283.4005022	      10.1350978	     275.6405927	     17.89500733
   4	   1	   3	   2	   2	      357.724182	     365.2828716	    -7.558689575	     344.7775315	      12.9466505
   5	   1	   3	   2	   2	      396.019463	     394.7730452	     1.246417789	     392.3824105	       3.6370525
   2	   1	   3	   2	   3	       263.24615	     272.3838391	    -9.137689148	      270.737809	       -7.491659
   3	   1	   3	   2	   3	      318.773865	     302.1581205	     16.61574453	      301.169065	         17.6048
   4	   1	   3	   2	   3	      377.014895	     387.3519205	    -10.33702548	     365.1892835	      11.8256115
   5	   1	   3	   2	   3	      411.604702	     409.2789014	     2.325800617	     408.5379845	       3.0667175
   2	   1	   3	   3	   1	      163.083751	     155.0262862	     8.057464811	      152.350018	       10.733733
   3	   1	   3	   3	   1	      223.640576	     232.4380961	    -8.797520141	     211.2452727	     12.39530333
   4	   1	   3	   3	   1	      307.568316	      305.148176	     2.420140035	     293.3104525	      14.2578635
   5	   1	   3	   3	   1	      362.980329	     364.2871007	    -1.306771664	     356.4521735	       6.5281555
   2	   1	   3	   3	   2	       190.26327	      180.755709	     9.507561038	     178.1250137	     12.13825633
   3	   1	   3	   3	   2	      245.407803	     256.5094578	    -11.10165478	     234.4279427	     10.97986033
   4	   1	   3	   3	   2	      322.757288	     319.1003393	      3.65694866	      309.738512	       13.018776
   5	   1	   3	   3	   2	      374.069221	     375.9722417	    -1.903020703	      368.348654	        5.720567
   2	   1	   3	   3	   3	      217.721307	     207.7445583	     9.976748725	     205.1870537	     12.53425333
   3	   1	   3	   3	   3	      268.762013	     280.6858428	    -11.92382978	     258.6540483	     10.10796467
   4	   1	   3	   3	   3	      340.519531	      336.372418	     4.147113005	     328.4124365	      12.1070945
   5	   1	   3	   3	   3	       388.06286	     390.2550646	    -2.192204602	     382.9605665	       5.1022935
   2	   1	   4	   1	   1	      397.090102	     409.3418495	    -12.25174747	      411.125357	      -14.035255
   3	   1	   4	   1	   1	      398.060437	     381.6849778	     16.37545924	     400.7196973	    -2.659260333
   4	   1	   4	   1	   1	      407.978888	      414.013019	     -6.03413104	      411.201159	       -3.222271
   5	   1	   4	   1	   1	      424.341881	     422.2351153	     2.106765664	     426.3691275	      -2.0272465
   2	   1	   4	   1	   2	      417.843836	      426.027012	    -8.183176027	     427.2235633	    -9.379727333
   3	   1	   4	   1	   2	      419.103172	     408.1589169	     10.94425511	      420.958013	       -1.854841
   4	   1	   4	   1	   2	      427.186367	     431.1707536	     -3.98438657	      429.803441	       -2.617074
   5	   1	   4	   1	   2	       440.50371	     439.4454879	     1.058222133	     442.6403885	      -2.1366785
   2	   1	   4	   1	   3	      434.546686	     439.8295873	     -5.28290132	     440.6314147	    -6.084728667
   3	   1	   4	   1	   3	      436.278928	     429.2498873	     7.029040719	      437.690694	       -1.411766
   4	   1	   4	   1	   3	       443.97871	     446.4313032	    -2.452593225	     446.0791415	      -2.1004315
   5	   1	   4	   1	   3	      455.879355	     455.5118793	    0.3674757344	      457.911295	        -2.03194
   2	   1	   4	   2	   1	      209.358515	     206.6895213	     2.668993687	      203.915042	        5.443473
   3	   1	   4	   2	   1	       270.77004	     270.9103018	   -0.1402617754	     254.1819777	     16.58806233
   4	   1	   4	   2	   1	      343.828903	     346.4972769	    -2.668373905	     329.8747035	      13.9541995
   5	   1	   4	   2	   1	      388.979367	     389.3549519	   -0.3755848984	     384.3593265	       4.6200405
   2	   1	   4	   2	   2	      242.755497	     248.3101036	    -5.554606615	     246.5825453	    -3.827048333
   3	   1	   4	   2	   2	      298.453786	     287.3501315	      11.1036545	     282.7523773	     15.70140867
   4	   1	   4	   2	   2	      362.746138	     370.0330015	    -7.286863495	     350.6936865	      12.0524515
   5	   1	   4	   2	   2	      402.933587	     401.4903966	     1.443190422	      399.240021	        3.693566
   2	   1	   4	   2	   3	       270.92783	     282.4127507	    -11.48492066	     281.4097063	    -10.48187633
   3	   1	   4	   2	   3	      323.296969	     304.0575347	     19.23943431	     307.9818287	     15.31514033
   4	   1	   4	   2	   3	      382.089826	      392.644806	    -10.55497996	     370.9477095	      11.1421165
   5	   1	   4	   2	   3	       418.59845	     415.9324887	     2.665961281	      415.449547	        3.148903
   2	   1	   4	   3	   1	      169.384791	     160.6186817	     8.766109309	      157.575969	       11.808822
   3	   1	   4	   3	   1	      230.900239	     240.0828116	    -9.182572609	      217.134004	       13.766235
   4	   1	   4	   3	   1	       312.63243	     311.5459379	      1.08649212	      300.056136	       12.576294
   5	   1	   4	   3	   1	      369.212033	     369.7211993	   -0.5091663281	      363.064778	        6.147255
   2	   1	   4	   3	   2	      197.183449	     186.9068896	     10.27655936	     183.9993043	     13.18414467
   3	   1	   4	   3	   2	      252.466125	     264.2011746	    -11.73504963	     240.6831303	     11.78299467
   4	   1	   4	   3	   2	      327.682493	      325.001471	      2.68102196	       316.37806	       11.304433
   5	   1	   4	   3	   2	      380.289995	     381.4938998	    -1.203904836	     374.8981515	       5.3918435
   2	   1	   4	   3	   3	      225.053001	     215.2162998	     9.836701186	     212.5705193	     12.48248167
   3	   1	   4	   3	   3	       275.54425	     286.9947714	    -11.45052144	      265.126046	       10.418204
   4	   1	   4	   3	   3	      345.272136	     342.2998699	      2.97226609	      334.893727	       10.378409
   5	   1	   4	   3	   3	      394.243204	     395.6216041	    -1.378400109	      389.415323	        4.827881
   2	   1	   5	   1	   1	      403.772233	     418.4111621	    -14.63892907	     420.5025947	    -16.73036167
   3	   1	   5	   1	   1	      404.545588	     384.9301972	      19.6153908	     407.4347653	    -2.889177333
   4	   1	   5	   1	   1	       414.75983	     422.0000529	     -7.24022291	      418.232588	       -3.472758
   5	   1	   5	   1	   1	      431.919588	     429.3898595	     2.529728492	     434.1521475	      -2.2325595
   2	   1	   5	   1	   2	      424.533715	     435.1886608	    -10.65494579	     436.7059373	    -12.17222233
   3	   1	   5	   1	   2	       425.63691	     411.3445894	     14.29232064	     427.7306687	    -2.093758667
   4	   1	   5	   1	   2	      434.124576	     439.3272175	      -5.2026415	      436.940727	       -2.816151
   5	   1	   5	   1	   2	      448.244544	     446.7701272	     1.474416836	     450.5799795	      -2.3354355
   2	   1	   5	   1	   3	      441.449719	      449.103691	    -7.653972021	     450.2117423	    -8.762023333
