 LIQ	 GLR	WCUT	 LFG	 WHP	True            	Spline          	eSpline         	Linear          	eLinear         
   1	   1	   1	   1	   1	      382.365191	     366.3673381	     15.99785293	     366.1496125	      16.2155785
   2	   1	   1	   1	   1	       367.16202	     376.5307211	    -9.368701065	     377.9724057	    -10.81038567
   3	   1	   1	   1	   1	      369.186835	     356.7944712	     12.39236378	       371.68954	       -2.502705
   4	   1	   1	   1	   1	       380.74458	     385.1071591	    -4.362579055	     383.3198805	      -2.5753005
   5	   1	   1	   1	   1	      397.452926	     395.9364893	     1.516436672	       399.05259	       -1.599664
   6	   1	   1	   1	   1	        417.3606	      414.161272	        3.199328	      414.161272	        3.199328
   1	   1	   1	   1	   2	      395.529847	      387.047059	     8.482787977	     386.9123815	       8.6174655
   2	   1	   1	   1	   2	      387.851837	     392.8021464	    -4.950309371	      393.596814	       -5.744977
   3	   1	   1	   1	   2	      389.730748	     383.2002439	     6.530504081	     391.3628433	    -1.632095333
   4	   1	   1	   1	   2	      398.384856	     400.6740107	    -2.289154685	     400.6784015	      -2.2935455
   5	   1	   1	   1	   2	      411.626055	     411.1858828	    0.4401722031	      413.527577	       -1.901522
   6	   1	   1	   1	   2	      428.670298	      424.867254	        3.803044	      424.867254	        3.803044
   1	   1	   1	   1	   3	      406.913352	     403.0261529	     3.887199136	      402.934075	        3.979277
   2	   1	   1	   1	   3	      403.983136	      406.224117	    -2.240981027	     406.6359873	    -2.652851333
   3	   1	   1	   1	   3	      406.081258	     403.1786127	     2.902645325	     407.2331597	    -1.151901667
   4	   1	   1	   1	   3	      413.733207	     414.6643839	    -0.931176865	     415.6542305	      -1.9210235
   5	   1	   1	   1	   3	      425.227203	     425.4290236	   -0.2018205781	      427.127869	       -1.900666
   6	   1	   1	   1	   3	      440.522531	      436.721199	        3.801332	      436.721199	        3.801332
   1	   1	   1	   2	   1	      144.194217	     151.8377986	    -7.643581585	     153.7452435	      -9.5510265
   2	   1	   1	   2	   1	      187.947211	     185.1029176	     2.844293361	       181.57986	        6.367351
