    i	               t	         y_aprox	         y_exact	     exact_error	        Sy_aprox	        Sy_exact	         S_error
    0	               0	             400	             400	               0	               0	               0	             nan
    1	    0.5102040816	     391.1797531	     391.2762882	 0.0002467184745	     201.8315697	     201.8480173	 8.148534714e-05
    2	     1.020408163	     382.5539981	     382.7428343	  0.000493376079	     399.1960902	     399.2938748	  0.000244893807
    3	     1.530612245	     374.1184464	     374.3954889	 0.0007399728285	     592.2247751	     592.4335805	 0.0003524536857
    4	     2.040816327	     365.8689037	      366.230193	  0.000986508738	     780.9812412	     781.3610483	 0.0004860840239
    5	     2.551020408	     357.8012686	     358.2429764	  0.001232983823	      965.590979	     966.1681442	 0.0005973754728
    6	      3.06122449	     349.9115298	     350.4299552	  0.001479398097	     1146.114831	      1146.94473	 0.0007235740797
    7	     3.571428571	     342.1957646	     342.7873304	  0.001725751577	     1322.672814	      1323.77871	 0.0008354080505
    8	     4.081632653	     334.6501368	     335.3113857	  0.001972044277	     1495.323118	     1496.756067	 0.0009573701621
    9	     4.591836735	     327.2708947	      327.998486	  0.002218276211	     1664.180524	     1665.960913	  0.001068686281
   10	     5.102040816	     320.0543695	     320.8450753	  0.002464447396	     1829.300683	     1831.475523	  0.001187479838
   11	     5.612244898	     312.9969732	     313.8476754	  0.002710557846	     1990.793373	     1993.380379	  0.001297798777
   12	      6.12244898	     306.0951967	     307.0028838	  0.002956607576	     2148.711816	     2151.754207	  0.001413912047
   13	     6.632653061	     299.3456087	     300.3073721	    0.0032025966	     2303.161001	     2306.674015	  0.001522978376
   14	     7.142857143	     292.7448533	     293.7578847	  0.003448524935	      2454.19183	     2458.215134	  0.001636677086
   15	     7.653061224	     286.2896486	     287.3512369	  0.003694392595	     2601.904713	     2606.451251	  0.001744340218
   16	     8.163265306	     279.9767852	     281.0843135	  0.003940199594	     2746.348332	     2751.454444	  0.001855786604
   17	     8.673469388	     273.8031242	     274.9540671	  0.004185945949	     2887.618717	     2893.295223	   0.00196195177
   18	     9.183673469	     267.7655964	      268.957517	  0.004431631673	     3025.762427	     3032.042556	  0.002071253583
   19	     9.693877551	     261.8611997	     263.0917474	  0.004677256782	     3160.871304	      3167.76391	  0.002175858601
   20	     10.20408163	     256.0869986	     257.3539059	  0.004922821291	     3292.989875	     3300.525279	  0.002283092322
   21	     10.71428571	     250.4401223	     251.7412027	  0.005168325215	     3422.205977	     3430.391218	   0.00238609543
   22	      11.2244898	      244.917763	     246.2509084	  0.005413768568	     3548.562197	     3557.424875	  0.002491318424
   23	     11.73469388	     239.5171752	     240.8803536	  0.005659151366	     3672.142538	     3681.688019	  0.002592691394
   24	     12.24489796	     234.2356736	     235.6269266	  0.005904473623	      3792.98773	     3803.241073	  0.002695948773
   25	     12.75510204	     229.0706325	     230.4880731	  0.006149735355	     3911.178114	     3922.143143	  0.002795672776
   26	     13.26530612	     224.0194836	     225.4612943	  0.006394936576	     4026.752643	     4038.452045	  0.002897001513
   27	      13.7755102	     219.0797158	     220.5441459	  0.006640077301	     4139.788153	     4152.224333	   0.00299506451
   28	     14.28571429	     214.2488728	      215.734237	  0.006885157546	     4250.321898	     4263.515329	  0.003094496028
   29	     14.79591837	     209.5245529	     211.0292288	  0.007130177325	     4358.427364	     4372.379149	  0.003190891058
   30	     15.30612245	     204.9044072	     206.4268333	  0.007375136653	     4464.140179	     4478.868728	  0.003288452916
   31	     15.81632653	     200.3861386	     201.9248128	  0.007620035545	     4567.530624	     4583.035845	  0.003383176931
   32	     16.32653061	     195.9675006	     197.5209782	  0.007864874016	     4668.632774	     4684.931153	  0.003478893964
   33	     16.83673469	     191.6462962	      193.213188	  0.008109652081	     4767.513845	     4784.604198	  0.003571947011
   34	     17.34693878	     187.4203771	     188.9993476	  0.008354369754	     4864.206425	     4882.103445	  0.003665842122
   35	     17.85714286	     183.2876421	      184.877408	  0.008599027051	     4958.774797	     4977.476304	  0.003757226756
   36	     18.36734694	     179.2460365	     180.8453649	  0.008843623987	     5051.250129	      5070.76915	  0.003849321473
   37	     18.87755102	     175.2935508	     176.9012578	  0.009088160576	     5141.693901	     5162.027345	  0.003939042323
   38	      19.3877551	     171.4282198	     173.0431688	  0.009332636833	     5230.135921	     5251.295266	  0.004029357206
   39	     19.89795918	     167.6481217	      169.269222	  0.009577052774	     5316.634988	     5338.616317	  0.004117420649
   40	     20.40816327	     163.9513772	     165.5775822	  0.009821408413	     5401.219609	     5424.032959	  0.004205975581
   41	     20.91836735	     160.3361481	     161.9664545	   0.01006570376	     5483.946019	     5507.586726	  0.004292389491
   42	     21.42857143	     156.8006371	     158.4340828	   0.01030993884	     5564.841481	     5589.318245	  0.004379203903
   43	     21.93877551	     153.3430863	     154.9787496	   0.01055411367	     5643.959778	     5669.267259	  0.004463977454
   44	     22.44897959	     149.9617766	     151.5987748	   0.01079822825	     5721.326984	     5747.472642	  0.004549070484
   45	     22.95918367	     146.6550269	     148.2925147	    0.0110422826	     5796.994536	     5823.972423	  0.004632213991
   46	     23.46938776	      143.421193	     145.0583618	   0.01128627674	     5870.987372	     5898.803798	  0.004715604612
   47	     23.97959184	     140.2586672	     141.8947435	   0.01153021068	     5943.354683	     5972.003155	  0.004797129406
   48	     24.48979592	      137.165877	     138.8001214	   0.01177408444	      6014.12032	     6043.606086	  0.004878836514
   49	              25	     134.1412848	     135.7729907	   0.01201789803	     6083.331331	      6113.64741	  0.004958754834
   50	     25.51020408	     131.1833866	     132.8118796	   0.01226165146	     6151.010525	     6182.161182	  0.005038797324
   51	     26.02040816	      128.290712	     129.9153482	   0.01250534476	     6217.202897	     6249.180719	  0.005117122229
   52	     26.53061224	     125.4618226	     127.0819881	   0.01274897794	     6281.930262	     6314.738607	  0.005195519043
   53	     27.04081633	      122.695312	     124.3104215	     0.012992551	     6345.235654	     6378.866726	  0.005272264335
   54	     27.55102041	     119.9898047	     121.5993008	   0.01323606398	     6407.139935	     6441.596256	  0.005349034504
   55	     28.06122449	     117.3439554	     118.9473076	   0.01347951687	     6467.684262	       6502.9577	  0.005424214664
   56	     28.57142857	     114.7564488	     116.3531526	    0.0137229097	     6526.888587	     6562.980896	  0.005499377334
   57	     29.08163265	     112.2259982	     113.8155741	   0.01396624248	     6584.792273	     6621.695029	  0.005573007463
   58	     29.59183673	     109.7513457	     111.3333385	   0.01420951522	     6641.414402	     6679.128649	  0.005646581915
   59	     30.10204082	     107.3312608	     108.9052386	   0.01445272795	     6696.792618	     6735.309683	  0.005718677684
   60	      30.6122449	     104.9645403	     106.5300938	   0.01469588067	     6750.945172	     6790.265449	  0.005790683349
   61	     31.12244898	     102.6500074	     104.2067492	   0.01493897339	     6803.908067	     6844.022669	  0.005861260951
   62	     31.63265306	     100.3865114	     101.9340751	   0.01518200615	     6855.698757	     6896.607484	  0.005931717415
   63	     32.14285714	     98.17292682	     99.71096638	   0.01542497894	     6906.351675	     6948.045461	  0.006000793524
   64	     32.65306122	     96.00815319	     97.53634205	   0.01566789179	     6955.883514	     6998.361613	  0.006069720531
   65	     33.16326531	     93.89111416	     95.40914471	    0.0159107447	     7004.327205	     7047.580407	  0.006137312265
   66	     33.67346939	     91.82075715	     93.32834001	    0.0161535377	     7051.698713	     7095.725773	   0.00620472972
   67	     34.18367347	     89.79605278	     91.29291616	    0.0163962708	     7098.029532	     7142.821124	    0.0062708546
   68	     34.69387755	      87.8159944	     89.30188344	   0.01663894401	     7143.334931	      7188.88936	  0.006336782562
