    i	               t	         y_aprox	         y_exact	     exact_error	        Sy_aprox	        Sy_exact	         S_error
    0	               0	             400	             400	               0	               0	               0	             nan
    1	     2.040816327	     364.7190125	      366.230193	  0.004126313288	      780.325523	     781.3610483	  0.001325284027
    2	     4.081632653	     332.5498952	     335.3113857	  0.008235600115	     1490.765949	     1496.756067	  0.004002066936
    3	      6.12244898	     303.2181735	     307.0028838	   0.01232793074	     2139.508876	     2151.754207	   0.00569085924
    4	     8.163265306	      276.473582	     281.0843135	   0.01640337512	       2730.1511	     2751.454444	  0.007742575883
    5	     10.20408163	     252.0879295	     257.3539059	   0.02046200295	     3269.499581	     3300.525279	  0.009400230434
    6	     12.24489796	     229.8531518	     235.6269266	    0.0245038836	     3760.544604	     3803.241073	   0.01122633776
    7	     14.28571429	     209.5795364	      215.734237	   0.02852908619	     4208.945307	     4263.515329	   0.01279930253
    8	     16.32653061	     191.0941039	     197.5209782	   0.03253767953	     4617.187735	     4684.931153	   0.01445985362
    9	     18.36734694	     174.2391322	     180.8453649	   0.03652973216	     4989.976751	      5070.76915	   0.01593296724
   10	     20.40816327	     158.8708106	     165.5775822	   0.04050531233	     5329.379192	     5424.032959	    0.0174508097
   11	     22.44897959	     144.8580129	     151.5987748	   0.04446448801	     5639.306563	     5747.472642	   0.01881976409
   12	     24.48979592	     132.0811785	     138.8001214	   0.04840732689	     5921.477179	     6043.606086	   0.02020795291
   13	     26.53061224	     120.4312925	     127.0819881	   0.05233389638	     6179.142966	     6314.738607	   0.02147288269
   14	     28.57142857	     109.8089552	     116.3531526	   0.05624426361	     6413.732488	     6562.980896	   0.02274094811
   15	      30.6122449	     100.1235342	     106.5300938	   0.06013849545	     6627.949314	     6790.265449	   0.02390424004
   16	     32.65306122	     91.29239135	     97.53634205	   0.06401665847	     6822.981116	     6998.361613	   0.02506022224
   17	     34.69387755	     83.24017706	     89.30188344	   0.06787881897	     7001.075574	      7188.88936	   0.02612556357
   18	     36.73469388	     75.89818794	     81.76261502	   0.07172504298	     7163.220087	     7363.331893	     0.027176801
   19	      38.7755102	      69.2037804	      74.8598457	   0.07555539627	      7311.28332	     7523.047199	   0.02814868409
   20	     40.81632653	     63.09983612	     68.53983935	   0.07936994432	     7446.086173	     7669.278618	    0.0291021433
   21	     42.85714286	      57.5342748	     62.75339649	   0.08316875236	     7569.182204	      7803.16452	   0.02998556739
   22	     44.89795918	     52.45960972	     57.45547127	   0.08695188532	      7681.25389	     7925.747169	   0.03084797854
   23	     46.93877551	     47.83254264	     52.60482084	   0.09071940789	     7783.592821	     8037.980837	    0.0316482486
   24	     48.97959184	     43.61359429	     48.16368422	   0.09447138448	      7876.76639	     8140.739232	   0.03242615129
   25	     51.02040816	     39.76676761	     44.09748842	   0.09820787924	     7961.848392	     8234.822299	   0.03314873073
   26	     53.06122449	     36.25924053	     40.37457924	     0.101928956	     8039.310543	     8320.962448	   0.03384847689
   27	     55.10204082	       33.061086	     36.96597487	    0.1056346785	      8110.04557	     8399.830257	   0.03449887415
   28	     57.14285714	      30.1450166	     33.84514028	      0.10932511	     8174.445646	     8472.039689	    0.0351266111
   29	     59.18367347	     27.48615171	     30.98778065	    0.1130003137	     8233.252961	     8538.152875	   0.03571028992
   30	      61.2244898	     25.06180528	     28.37165222	    0.1166603523	     8286.793557	     8598.684487	   0.03627193565
   31	     63.26530612	     22.85129218	     25.97638917	    0.1203052884	     8335.684472	     8654.105747	   0.03679424353
   32	     65.30612245	      20.8357518	     23.78334505	    0.1239351844	     8380.196772	     8704.848094	   0.03729546094
   33	     67.34693878	     18.99798705	     21.77544762	    0.1275501023	     8420.843444	     8751.306542	   0.03776157271
   34	      69.3877551	     17.32231769	     19.93706596	    0.1311501039	     8457.849845	     8793.842759	   0.03820774637
   35	     71.42857143	     15.79444651	     18.25388879	    0.1347352507	     8491.642461	     8832.787875	   0.03862262051
   36	     73.46938776	     14.40133733	     16.71281304	    0.1383056042	     8522.408648	      8868.44507	   0.03901883799
   37	     75.51020408	     13.13110383	     15.30184186	    0.1418612252	     8550.502976	     8901.091922	   0.03938718413
   38	     77.55102041	     11.97290805	     14.00999125	    0.1454021746	     8576.081207	      8930.98258	   0.03973822261
   39	     79.59183673	       10.916868	      12.8272045	     0.148928513	     8599.438121	     8958.349734	   0.04006447882
   40	     81.63265306	     9.953973296	     11.74427395	    0.1524403006	     8620.703216	     8983.406429	   0.04037479727
   41	     83.67346939	     9.076008277	     10.75276929	    0.1559375974	     8640.121564	     9006.347724	   0.04066311578
   42	     85.71428571	     8.275481941	     9.844971927	    0.1594204633	     8657.800827	     9027.352212	   0.04093685244
   43	     87.75510204	     7.545564004	     9.013814923	    0.1628889579	     8673.944751	     9046.583406	   0.04119109262
   44	     89.79591837	     6.880026631	     8.252827948	    0.1663431403	     8688.642843	     9064.191016	   0.04143206732
   45	     91.83673469	     6.273191297	     7.556086931	    0.1697830697	     8702.064494	     9080.312112	    0.0416557947
   46	     93.87755102	     5.719880338	     6.918167938	    0.1732088048	     8714.284117	     9095.072192	   0.04186751534
   47	     95.91836735	     5.215372771	     6.334104948	    0.1766204043	     8725.442539	     9108.586159	   0.04206400573
   48	     97.95918367	     4.755364018	     5.799351194	    0.1800179265	     8735.601624	     9120.959216	   0.04224967823
   49	             100	     4.335929172	     5.309743768	    0.1834014294	     8744.878454	     9132.287684	   0.04242192575
   50	     102.0408163	     3.953489514	     4.861471213	    0.1867709709	     8753.324461	     9142.659751	   0.04258446677
   51	     104.0816327	     3.604781979	     4.451043852	    0.1901266087	     8761.036983	     9152.156162	   0.04273519508
   52	      106.122449	     3.286831309	     4.075266622	       0.1934684	      8768.05878	     9160.850843	   0.04287724683
   53	     108.1632653	     2.996924674	     3.731214204	    0.1967964021	     8774.470776	     9168.811479	   0.04300892262
   54	     110.2040816	     2.732588519	     3.416208246	    0.2001106718	      8780.30852	     9176.100043	   0.04313286915
   55	      112.244898	     2.491567465	     3.127796513	    0.2034112657	     8785.639292	     9182.773273	   0.04324771715
   56	     114.2857143	     2.271805064	     2.863733802	    0.2066982404	     8790.492645	     9188.883119	    0.0433557015
   57	     116.3265306	     2.071426249	     2.621964457	     0.209971652	     8794.924514	     9194.477144	   0.04345572063
   58	     118.3673469	      1.88872134	     2.400606373	    0.2132315565	     8798.959469	     9199.598896	   0.04354966249
   59	     120.4081633	     1.722131455	     2.197936339	    0.2164780095	     8802.644013	     9204.288247	   0.04363664232
   60	     122.4489796	     1.570235209	     2.012376624	    0.2197110667	     8805.998573	     9208.581702	   0.04371825561
   61	     124.4897959	     1.431736587	     1.842482699	    0.2229307833	     8809.061809	     9212.512683	   0.04379379305
   62	     126.5306122	     1.305453886	     1.686931986	    0.2261372144	     8811.850706	     9216.111794	   0.04386460332
   63	     128.5714286	      1.19030963	     1.544513567	    0.2293304147	     8814.397403	     9219.407051	    0.0439301189
   64	     130.6122449	     1.085321382	     1.414118754	    0.2325104388	     8816.716021	     9222.424108	   0.04399148011
   65	     132.6530612	     0.989593357	     1.294732461	    0.2356773412	     8818.833281	     9225.186451	   0.04404823384
   66	     134.6938776	    0.9023087799	     1.185425298	    0.2388311759	     8820.760922	     9227.715585	   0.04410134444
   67	     136.7346939	    0.8227229179	     1.085346339	     0.241971997	     8822.521158	     9230.031198	   0.04415045097
   68	     138.7755102	    0.7501567255	     0.993716498	     0.245099858	      8824.12375	     9232.151316	   0.04419636904
   69	     140.8163265	    0.6839910504	    0.9098224622	    0.2482148125	     8825.587166	     9234.092445	   0.04423881192
   70	     142.8571429	    0.6236613511	    0.8330111399	    0.2513169137	      8826.91952	     9235.869694	   0.04427846948
   71	     144.8979592	    0.5686528803	    0.7626845764	    0.2544062147	     8828.136167	     9237.496901	   0.04431511455
   72	     146.9387755	    0.5184962924	    0.6982952991	    0.2574827682	     8829.243853	     9238.986731	    0.0443493307
   73	     148.9795918	    0.4727636394	    0.6393420554	    0.2605466269	     8830.255343	     9240.350782	   0.04438093852
   74	     151.0204082	    0.4310647193	    0.5853659109	    0.2635978432	     8831.176244	     9241.599675	   0.04441043164
   75	     153.0612245	    0.3930437469	    0.5359466763	    0.2666364692	     8832.017171	      9242.74313	   0.04443766889
   76	     155.1020408	    0.3583763181	    0.4906996368	    0.2696625569	     8832.782786	      9243.79005	   0.04446306783
   77	     157.1428571	    0.3267666421	    0.4492725568	     0.272676158	     8833.481911	     9244.748584	   0.04448651781
   78	     159.1836735	    0.2979450176	     0.411342938	     0.275677324	     8834.118424	     9245.626194	   0.04450837201
   79	     161.2244898	    0.2716655315	    0.3766155089	    0.2786661063	     8834.699659	     9246.429712	    0.0445285441
   80	     163.2653061	    0.2477039609	    0.3448199263	    0.2816425559	      8835.22884	     9247.165394	   0.04454733283
   81	     165.3061224	    0.2258558601	    0.3157086704	    0.2846067238	     8835.712064	     9247.838966	   0.04456467115
   82	     167.3469388	    0.2059348156	    0.2890551183	    0.2875586606	     8836.152011	     9248.455672	   0.04458081174
   83	     169.3877551	    0.1877708565	    0.2646517794	    0.2904984167	     8836.553752	     9249.020313	   0.04459570287
   84	     171.4285714	    0.1712090034	    0.2423086806	    0.2934260426	     8836.919513	     9249.537285	   0.04460955824
   85	     173.4693878	    0.1561079466	    0.2218518872	    0.2963415881	      8837.25351	     9250.010611	   0.04462233819
   86	     175.5102041	    0.1423388403	    0.2031221487	    0.2992451031	     8837.557594	     9250.443977	   0.04463422343
   87	     177.5510204	    0.1297842032	    0.1859736593	    0.3021366374	     8837.835271	     9250.840757	   0.04464518382
   88	     179.5918367	    0.1183369161	    0.1702729228	    0.3050162402	     8838.088079	     9251.204038	   0.04465537217
   89	     181.6326531	     0.107899308	    0.1558977135	     0.307883961	     8838.318932	      9251.53665	   0.04466476578
   90	     183.6734694	   0.09838232263	    0.1427361243	    0.3107398486	      8838.52911	     9251.841181	   0.04467349387
   91	     185.7142857	   0.08970475889	    0.1306856959	    0.3135839519	     8838.721036	     9252.120002	   0.04468153955
   92	      187.755102	    0.0817925777	     0.119652619	    0.3164163195	     8838.895773	     9252.375284	   0.04468901206
