    i	               t	         y_aprox	         y_exact	     exact_error	        Sy_aprox	        Sy_exact	         S_error
    0	               0	             400	             400	               0	               0	               0	             nan
    1	     3.571428571	     342.6849784	     342.7873304	 0.0002985875606	     1326.223176	      1323.77871	  0.001846582063
    2	     7.142857143	     293.5930789	     293.7578847	 0.0005610260511	     2457.539277	     2458.215134	 0.0002749384344
    3	     10.71428571	     251.5431231	     251.7412027	 0.0007868381638	      3430.99678	     3430.391218	 0.0001765285094
    4	     14.28571429	     215.5237811	      215.734237	 0.0009755333834	     4261.455172	     4263.515329	 0.0004832062178
    5	     17.85714286	     184.6691237	      184.877408	  0.001126607565	     4976.085359	     4977.476304	 0.0002794478077
    6	     21.42857143	      158.237697	     158.4340828	  0.001239542491	     5585.786092	     5589.318245	 0.0006319470644
    7	              25	     135.5946114	     135.7729907	   0.00131380542	     6110.486643	      6113.64741	 0.0005170017945
    8	     28.57142857	     116.1962098	     116.3531526	  0.001348848605	      6558.18175	     6562.980896	 0.0007312448331
    9	     32.14285714	     99.57694399	     99.71096638	  0.001344108803	     6943.490953	     6948.045461	 0.0006555092578
   10	     35.71428571	     85.33814093	     85.44913994	   0.00129900676	      7272.27952	     7278.033597	 0.0007906088066
   11	     39.28571429	     73.13838571	     73.22720641	  0.001212946678	     7555.273317	     7560.822978	 0.0007340021603
   12	     42.85714286	     62.68528925	     62.75339649	  0.001085315656	     7796.775916	      7803.16452	 0.0008187195744
   13	     46.42857143	     53.72844059	     53.77767314	 0.0009154831113	     8004.657577	     8010.843545	 0.0007721994139
   14	              50	     46.05337344	     46.08576252	 0.0007028001801	     8182.076422	     8188.817892	 0.0008232531341
   15	     53.57142857	     39.47640076	     39.49403876	 0.0004465990852	     8334.808162	      8341.33627	 0.0007826214232
   16	     57.14285714	     33.84019238	     33.84514028	 0.0001461924843	     8465.170671	     8472.039689	 0.0008107868815
   17	     60.71428571	     29.00998874	     29.00421321	 0.0001991272121	     8577.403137	      8584.04838	 0.0007741385408
   18	     64.28571429	      24.8703591	     24.85569204	 0.0005900885514	     8673.206988	      8680.03628	 0.0007867814612
   19	     67.85714286	     21.32242586	      21.3005408	  0.001027441779	     8755.694104	     8762.294869	 0.0007533146918
   20	     71.42857143	     18.28148793	     18.25388879	  0.001511959611	     8826.113596	     8832.787875	 0.0007556255019
   21	              75	     15.67498567	     15.64300452	  0.002044438041	     8886.750156	     8893.198149	 0.0007250477303
   22	     78.57142857	     13.44075833	      13.4055594	  0.002625697178	     8938.520964	      8944.96784	 0.0007207265909
   23	     82.14285714	     11.52555186	     11.48813979	  0.003256582129	      8983.10366	     8989.332825	 0.0006929507238
   24	     85.71428571	     9.883741072	     9.844971927	  0.003937963912	     9021.171805	     9027.352212	 0.0006846312187
   25	     89.28571429	      8.47623535	     8.436829112	  0.004670740413	     9053.957477	     9059.933623	 0.0006596235468
   26	     92.85714286	     7.269541545	      7.23009532	   0.00545583739	     9081.955405	      9087.85486	 0.0006491581004
   27	     96.42857143	     6.234961371	     6.195962683	  0.006294209515	     9106.070589	     9111.782475	 0.0006268681753
   28	             100	     5.347904055	     5.309743768	  0.007186841468	     9126.666466	     9132.287684	   0.00061553231
   29	     103.5714286	     4.587297633	     4.550282228	  0.008134749081	     9144.407897	     9149.859998	 0.0005958671427
   30	     107.1428571	     3.935084721	     3.899447744	  0.009138980534	     9159.561917	     9164.918915	 0.0005845112056
   31	     110.7142857	     3.375790642	     3.341703205	   0.01020061761	     9172.617052	      9177.82393	 0.0005673325207
   32	     114.2857143	     2.896153493	     2.863733802	   0.01132077699	     9183.769537	     9188.883119	 0.0005564965197
   33	     117.8571429	     2.484807278	     2.454129162	   0.01250061164	     9193.378396	     9198.360493	 0.0005416288643
   34	     121.4285714	     2.132010464	      2.10311096	   0.01374131227	     9201.587862	     9206.482303	  0.000531629852
   35	             125	     1.829413468	     1.802299478	    0.0150441088	     9208.661834	     9213.442437	 0.0005188726506
   36	     128.5714286	     1.569859455	     1.544513567	   0.01641027193	     9214.706343	     9219.407051	 0.0005098709788
   37	     132.1428571	     1.347213691	     1.323599206	   0.01784111489	     9219.915402	     9224.518537	 0.0004990107973
   38	     135.7142857	     1.156217347	     1.134282596	   0.01933799504	     9224.366976	     9228.898918	 0.0004910598635
   39	     139.2857143	    0.9923622333	    0.9720442572	   0.02090231583	     9228.203725	     9232.652766	 0.0004818810566
   40	     142.8571429	    0.8517834863	    0.8330111399	   0.02253552863	     9231.482988	     9235.869694	 0.0004749641312
   41	     146.4285714	    0.7311676117	    0.7138641621	   0.02423913476	     9234.309686	       9238.6265	 0.0004672571692
   42	             150	    0.6276736946	    0.6117589759	   0.02601468764	     9236.725997	     9240.988996	 0.0004613141758
   43	     153.5714286	    0.5388658847	    0.5242580655	   0.02786379497	     9238.809103	      9243.01358	 0.0004548815777
   44	     157.1428571	    0.4626555421	    0.4492725568	    0.0297881211	     9240.590036	     9244.748584	 0.0004498281483
   45	     160.7142857	    0.3972516584	    0.3850123509	   0.03178938948	     9242.125584	     9246.235427	 0.0004444882688
   46	     164.2857143	    0.3411183696	    0.3299433898	   0.03386938526	     9243.438584	     9247.509605	 0.0004402289414
   47	     167.8571429	    0.2929385423	    0.2827510344	     0.036029958	     9244.570828	     9248.601535	 0.0004358179937
   48	     171.4285714	    0.2515825667	    0.2423086806	   0.03827302458	     9245.539126	     9249.537285	 0.0004322550453
   49	             175	    0.2160816083	    0.2076508644	   0.04060057219	      9246.37424	     9250.339193	  0.000428627768
   50	     178.5714286	    0.1856046819	    0.1779502137	   0.04301466157	     9247.088547	     9251.026402	 0.0004256668505
   51	     182.1428571	        0.159439	    0.1524976967	   0.04551743036	     9247.704696	     9251.615319	 0.0004226961959
   52	     185.7142857	     0.136973128	    0.1306856959	   0.04811109666	     9248.231801	     9252.120002	 0.0004202496841
   53	     189.2857143	    0.1176825438	     0.111993502	    0.0507979628	     9248.686544	     9252.552499	 0.0004178258477
   54	     192.8571429	    0.1011172585	   0.09597488393	   0.05358041931	     9249.075635	     9252.923136	 0.0004158145851
   55	     196.4285714	    0.0868912039	   0.08224743562	   0.05646094914	     9249.411365	      9253.24076	 0.0004138436325
   56	             200	   0.07467313359	   0.07048344722	   0.05944213206	     9249.698677	     9253.512953	 0.0004121975925
