    i	               t	         y_aprox	         y_exact	     exact_error	        Sy_aprox	        Sy_exact	         S_error
    0	               0	             400	             400	               0	               0	               0	             nan
    1	     3.076923077	     349.3836261	     350.1922759	  0.002309159708	     1152.897886	      1152.44412	 0.0003937426925
    2	     6.153846154	     305.1739383	     306.5865753	  0.004607628484	     2156.624044	     2161.386693	  0.002203515561
    3	     9.230769231	     266.5598221	     268.4106265	  0.006895421426	     3036.214444	     3044.696433	  0.002785824029
    4	     12.30769231	     232.8328775	     234.9883204	  0.009172553405	     3802.004663	     3818.017053	  0.004193902126
    5	     15.38461538	     203.3744093	     205.7277369	   0.01143903905	     4473.092797	     4495.044323	  0.004883495022
    6	     18.46153846	     177.6440648	      180.110661	   0.01369489277	     5057.363206	     5087.768625	  0.005976179534
    7	     21.53846154	      155.169912	     157.6834058	   0.01594012872	     5569.384709	     5606.687306	  0.006653232903
    8	     24.61538462	     135.5397734	     138.0487769	   0.01817476083	      6015.17191	      6060.99059	  0.007559602555
    9	     27.69230769	     118.3936587	     120.8590384	   0.02039880277	     6405.838728	     6458.724343	  0.008188244522
   10	     30.76923077	     103.4171558	     105.8097543	     0.022612268	     6745.973514	     6806.932563	  0.008955436011
   11	     33.84615385	     90.33565843	      92.6343967	   0.02481516969	     7044.054767	     7111.782136	  0.009523262664
   12	     36.92307692	      78.9093257	     81.09962553	   0.02700752082	     7303.582863	      7378.67205	    0.0101765178
   13	              40	     68.92867964	     71.00115611	   0.02918933407	     7531.025948	     7612.329017	   0.01068044596
   14	     43.07692308	     60.21076045	     62.16014113	    0.0313606219	     7729.054458	     7816.891179	   0.01123678447
   15	     46.15384615	     52.59576873	     54.42000324	   0.03352139651	     7902.602964	     7995.981402	   0.01167817096
   16	     49.23076923	       45.944133	     47.64366198	   0.03567166985	     8053.708784	     8152.771434	    0.0121507944
   17	     52.30769231	      40.1339485	     41.71110606	   0.03781145362	     8186.136602	     8290.038079	    0.0125332931
   18	     55.38461538	      35.0587405	      36.5172679	   0.03994075924	     8301.440751	     8410.212376	   0.01293327926
   19	     58.46153846	      30.6255107	      31.9701629	    0.0420595979	     8402.493445	     8515.422653	   0.01326172668
   20	     61.53846154	     26.75303117	     27.98926027	    0.0441679805	      8490.48056	     8607.532218	   0.01359874757
   21	     64.61538462	     23.37035421	     24.50405689	   0.04626591769	     8567.593461	     8688.172364	   0.01387851187
   22	     67.69230769	       20.415511	     21.45282863	   0.04835341986	     8634.736929	     8758.771255	   0.01416115603
   23	     70.76923077	     17.83437495	     18.78153721	   0.05043049712	     8693.582907	     8820.579221	   0.01439772948
   24	     73.84615385	     15.57966902	     16.44287315	   0.05249715932	     8744.821728	     8874.690901	   0.01463365584
   25	     76.92307692	     13.61009871	     14.39541793	   0.05455341602	     8789.729063	     8922.064632	   0.01483239295
   26	              80	     11.88959481	     12.60291042	   0.05659927652	     8828.831635	     8963.539419	   0.01502841431
   27	     83.07692308	     10.38665206	     11.03360471	   0.05863474984	     8863.102784	     8999.849794	   0.01519436582
   28	     86.15384615	     9.073751484	     9.659707863	   0.06065984472	     8892.944409	     9031.638826	   0.01535650617
   29	     89.23076923	     7.926855907	     8.456887704	   0.06267456961	     8919.099189	      9059.46951	   0.01549432011
   30	     92.30769231	      6.92496929	     7.403841881	   0.06467893267	     8941.873788	     9083.834736	   0.01562786562
   31	     95.38461538	     6.049751883	     6.481920598	    0.0666729418	     8961.834897	     9105.166021	   0.01574173649
   32	     98.46153846	      5.28518407	     5.674796317	   0.06865660458	     8979.216517	     9123.841149	    0.0158512879
   33	     101.5384615	     4.617272779	     4.968174594	   0.07062992831	     8994.451066	     9140.190864	   0.01594494033
   34	     104.6153846	     4.033795045	     4.349540921	   0.07259291999	     9007.717101	     9154.504723	   0.01603446887
   35	     107.6923077	     3.524074034	     3.807939086	   0.07454558633	     9019.344592	      9167.03623	   0.01611116544
   36	     110.7692308	     3.078783413	     3.333777138	   0.07648793372	     9029.469793	     9178.007322	   0.01618407173
   37	     113.8461538	      2.68977648	     2.918657509	   0.07841996827	     9038.344501	     9187.612302	   0.01624663689
   38	     116.9230769	     2.349936915	     2.555228289	   0.08034169576	     9046.072692	     9196.021276	    0.0163058109
   39	             120	     2.053048431	     2.237053025	   0.08225312167	     9052.846516	     9203.383171	   0.01635666495
   40	     123.0769231	     1.793680901	     1.958496726	   0.08415425117	     9058.745319	     9209.828367	   0.01640454542
   41	     126.1538462	     1.567090912	     1.714626065	   0.08604508912	     9063.915737	     9215.471012	   0.01644574374
   42	     129.2307692	     1.369134897	      1.50112201	   0.08792564003	     9068.418324	     9220.411039	   0.01648437521
