     Steps	     Evaluations	        ErrorEnd	        ErrorMax
         5	              35	    0.1435010549	    0.1717924224
        10	              70	  0.005399626852	   0.04878585397
        20	             140	  0.001708847515	    0.0129882679
        50	             350	 0.0004974998908	  0.002297685576
        80	             560	 0.0002186789244	 0.0009238323808
       100	             700	 0.0001443012888	 0.0005971825715
       150	            1050	 6.647004931e-05	 0.0002690448678
       200	            1400	 3.799418919e-05	 0.0001523877202
       250	            1750	 2.453861111e-05	 9.793740855e-05
       500	            3500	 6.240552276e-06	 2.469247043e-05
