     Steps	     Evaluations	        ErrorEnd	        ErrorMax
         5	               5	     2.155160076	     2.222300935
        10	              10	    0.5417669881	    0.5417669881
        20	              20	    0.2358274789	    0.2358274789
        50	              50	   0.08907294345	   0.08907294345
        80	              80	   0.05498654634	   0.05498654634
       100	             100	   0.04381479844	   0.04381479844
       150	             150	   0.02905869125	   0.02905869125
       200	             200	   0.02173853337	   0.02173853337
       250	             250	   0.01736449405	   0.01736449405
       500	             500	  0.008656245004	  0.008656245004
