    i	            Time	       Res.Pres.	        Aq.Pres.	        Wat.Flow	      Cumulative	         ExactQw	           Error	        ErrorRel	         ExactWe	         ErrorWe	      ErrorRelWe
    0	               0	             230	             250	             400	               0	             400	               0	               0	               0	               0	             nan
    1	     1.020408163	     230.4744677	     249.6116248	       382.74314	     399.2868011	     382.7428343	 0.0003057235194	 7.987700669e-07	     399.2938748	  0.007073787874	 1.771574351e-05
    2	     2.040816327	     230.9283976	     249.2400608	     366.2332655	     781.2899579	      366.230193	   0.00307247224	 8.389456408e-06	     781.3610483	    0.0710904309	 9.098281908e-05
    3	      3.06122449	     231.3627468	     248.8845245	     350.4355548	     1146.815168	     350.4299552	  0.005599566194	  1.59791311e-05	      1146.94473	    0.1295619757	  0.000112962702
    4	     4.081632653	     231.7783601	     248.5443245	     335.3192886	     1496.573211	     335.3113857	  0.007902908301	 2.356886356e-05	     1496.756067	    0.1828563817	 0.0001221684587
    5	     5.102040816	     232.1760457	     248.2187993	     320.8550724	     1831.244212	     320.8450753	  0.009997100572	 3.115865363e-05	     1831.475523	    0.2313115082	 0.0001262978976
    6	      6.12244898	     232.5565768	     247.9073158	     307.0147797	     2151.478961	     307.0028838	   0.01189590164	 3.874850131e-05	     2151.754207	    0.2752457005	 0.0001279168874
    7	     7.142857143	     232.9206935	     247.6092683	      293.771497	     2457.900175	     293.7578847	    0.0136122723	 4.633840659e-05	     2458.215134	    0.3149588435	  0.000128125012
    8	     8.163265306	     233.2691038	     247.3240774	     281.0994719	     2751.103711	     281.0843135	   0.01515841871	 5.392836947e-05	     2751.454444	    0.3507333618	 0.0001274719858
    9	     9.183673469	     233.6024851	     247.0511883	     268.9740629	     3031.659721	      268.957517	   0.01654583341	 6.151838994e-05	     3032.042556	    0.3828351683	  0.000126263125
   10	     10.20408163	     233.9214859	     246.7900704	     257.3716913	     3300.113764	     257.3539059	   0.01778533418	 6.910846804e-05	     3300.525279	     0.411514563	 0.0001246815365
   11	      11.2244898	     234.2267263	     246.5402161	     246.2697955	     3556.987868	     246.2509084	   0.01888710085	 7.669860375e-05	     3557.424875	    0.4370070852	 0.0001228436581
   12	     12.24489796	        234.5188	     246.3011394	     235.6467873	     3802.781539	     235.6269266	   0.01986071019	 8.428879704e-05	     3803.241073	    0.4595343215	 0.0001208270295
   13	     13.26530612	     234.7982749	     246.0723754	     225.4820095	      4037.97274	     225.4612943	   0.02071516907	 9.187904795e-05	     4038.452045	    0.4793046709	 0.0001186852451
   14	     14.28571429	     235.0656945	     245.8534793	      215.755696	     4263.018815	      215.734237	   0.02145894572	 9.946935645e-05	     4263.515329	    0.4965140706	 0.0001164564995
   15	     15.30612245	     235.3215787	     245.6440254	     206.4489333	     4478.357381	     206.4268333	   0.02209999951	 0.0001070597226	     4478.868728	     0.511346683	  0.000114168714
   16	     16.32653061	     235.5664252	     245.4436064	      197.543624	     4684.407178	     197.5209782	   0.02264580905	 0.0001146501463	     4684.931153	    0.5239755474	 0.0001118427422
   17	     17.34693878	     235.8007102	     245.2518327	     189.0224509	     4881.568882	     188.9993476	   0.02310339887	 0.0001222406277	     4882.103445	    0.5345631964	 0.0001094944428
   18	     18.36734694	      236.024889	     245.0683312	     180.8688443	     5070.225887	     180.8453649	    0.0234793647	 0.0001298311666	      5070.76915	     0.543262241	 0.0001071360626
   19	      19.3877551	     236.2393978	     244.8927452	     173.0669487	      5250.74505	     173.0431688	   0.02377989736	 0.0001374217632	     5251.295266	    0.5502159235	 0.0001047771827
   20	     20.40816327	     236.4446536	     244.7247332	      165.601593	     5423.477401	     165.5775822	   0.02401080546	 0.0001450124173	     5424.032959	    0.5555586425	  0.000102425381
   21	     21.42857143	     236.6410555	     244.5639686	     158.4582603	     5588.758829	     158.4340828	   0.02417753679	 0.0001526031291	     5589.318245	    0.5594164487	 0.0001000867054
   22	     22.44897959	     236.8289856	     244.4101386	       151.62306	     5746.910735	     151.5987748	   0.02428519874	 0.0001601938985	     5747.472642	    0.5619075156	 9.776601831e-05
   23	     23.46938776	     237.0088091	     244.2629441	     145.0827004	     5898.240655	     145.0583618	   0.02433857742	 0.0001677847255	     5898.803798	    0.5631425841	 9.546725122e-05
   24	     24.48979592	     237.1808758	      244.122099	     138.8244635	     6043.042861	     138.8001214	   0.02434215596	 0.0001753756101	     6043.606086	     0.563225384	   9.3193596e-05
   25	     25.51020408	     237.3455204	     243.9873294	     132.8361798	     6181.598929	     132.8118796	   0.02430013172	 0.0001829665523	     6182.161182	     0.562253033	 9.094765025e-05
   26	     26.53061224	     237.5030628	     243.8583731	     127.1062045	     6314.178291	     127.0819881	   0.02421643258	 0.0001905575522	     6314.738607	    0.5603164138	 8.873152932e-05
   27	     27.55102041	     237.6538096	     243.7349794	     121.6233955	     6441.038755	     121.5993008	   0.02409473238	 0.0001981486096	     6441.596256	    0.5575005318	 8.654695353e-05
   28	     28.57142857	     237.7980538	     243.6169084	      116.377091	     6562.427011	     116.3531526	   0.02393846558	 0.0002057397247	     6562.980896	    0.5538848525	 8.439531689e-05
   29	     29.59183673	      237.936076	     243.5039305	     111.3570893	     6678.579105	     111.3333385	   0.02375084101	 0.0002133308974	     6679.128649	    0.5495436215	 8.227774167e-05
   30	      30.6122449	     238.0681445	     243.3958259	     106.5536287	     6789.720903	     106.5300938	   0.02353485498	 0.0002209221276	     6790.265449	    0.5445461673	 8.019512218e-05
   31	     31.63265306	     238.1945161	     243.2923845	     101.9573684	     6896.068527	     101.9340751	   0.02329330366	 0.0002285134156	     6896.607484	    0.5389571868	 7.814816025e-05
   32	     32.65306122	     238.3154366	     243.1934051	     97.55937084	     6997.828776	     97.53634205	   0.02302879473	 0.0002361047611	     6998.361613	    0.5328370164	 7.613739412e-05
   33	     33.67346939	     238.4311411	     243.0986953	     93.35108376	     7095.199531	     93.32834001	   0.02274375847	 0.0002436961642	     7095.725773	    0.5262418874	 7.416322222e-05
