    i	               t	         y_aprox	         y_exact	     exact_error	        Sy_aprox	        Sy_exact	         S_error
    0	               0	             400	             400	               0	               0	               0	               0
    1	     2.040816327	     366.2302106	      366.230193	 1.753603885e-05	     781.8675618	     781.3610483	    0.5065135077
    2	     4.081632653	     335.3114178	     335.3113857	 3.211113506e-05	     1496.756639	     1496.756067	 0.0005723662114
    3	      6.12244898	     307.0029279	     307.0028838	 4.410025315e-05	     2152.179441	     2151.754207	    0.4252344982
    4	     8.163265306	     281.0843673	     281.0843135	 5.383614865e-05	     2751.455617	     2751.454444	  0.001172324866
    5	     10.20408163	     257.3539675	     257.3539059	 6.161382368e-05	     3300.882489	     3300.525279	    0.3572100606
    6	     12.24489796	     235.6269943	     235.6269266	 6.769452926e-05	     3803.242849	     3803.241073	  0.001775981807
    7	     14.28571429	     215.7343093	      215.734237	 7.230936157e-05	     4263.815608	     4263.515329	    0.3002788549
    8	     16.32653061	     197.5210538	     197.5209782	 7.566249161e-05	      4684.93352	     4684.931153	  0.002366449625
    9	     18.36734694	     180.8454428	     180.8453649	 7.793406445e-05	     5071.021782	      5070.76915	    0.2526319535
   10	     20.40816327	     165.5776615	     165.5775822	 7.928280039e-05	     5424.035892	     5424.032959	    0.0029322063
   11	     22.44897959	     151.5988546	     151.5987748	 7.984832897e-05	     5747.685398	     5747.472642	    0.2127553829
   12	     24.48979592	     138.8002011	     138.8001214	 7.975328083e-05	     6043.609552	     6043.606086	  0.003465801479
   13	     26.53061224	     127.0820672	     127.0819881	 7.910516283e-05	     6314.917989	     6314.738607	    0.1793820336
   14	     28.57142857	     116.3532306	     116.3531526	 7.799803778e-05	     6562.984859	     6562.980896	  0.003962840859
   15	      30.6122449	     106.5301703	     106.5300938	 7.651402798e-05	       6790.4169	     6790.265449	    0.1514514098
   16	     32.65306122	     97.53641677	     97.53634205	 7.472466108e-05	     6998.366035	     6998.361613	  0.004421192595
   17	     34.69387755	     89.30195613	     89.30188344	  7.26920736e-05	     7189.017435	      7188.88936	    0.1280759414
   18	     36.73469388	     81.76268549	     81.76261502	 7.047008677e-05	     7363.336733	     7363.331893	  0.004840370441
   19	      38.7755102	     74.85991381	      74.8598457	 6.810516776e-05	     7523.155712	     7523.047199	    0.1085127885
   20	     40.81632653	     68.53990499	     68.53983935	 6.563728769e-05	     7669.283839	     7669.278618	  0.005221057263
   21	     42.85714286	     62.75345959	     62.75339649	 6.310068745e-05	      7803.25666	      7803.16452	   0.09214024254
   22	     44.89795918	      57.4555318	     57.45547127	  6.05245601e-05	     7925.752734	     7925.747169	  0.005564739598
   23	     46.93877551	     52.60487877	     52.60482084	 5.793365941e-05	     8038.059275	     8037.980837	    0.0784379758
   24	     48.97959184	     48.16373957	     48.16368422	 5.534884115e-05	     8140.745105	     8140.739232	  0.005873429866
   25	     51.02040816	     44.09754121	     44.09748842	 5.278754496e-05	     8234.889269	     8234.822299	   0.06697051012
   26	     53.06122449	     40.37462951	     40.37457924	 5.026422242e-05	     8320.968598	     8320.962448	  0.006149457393
   27	     55.10204082	     36.96602266	     36.96597487	 4.779071737e-05	     8399.887631	     8399.830257	   0.05737338169
   28	     57.14285714	     33.84518566	     33.84514028	 4.537660313e-05	     8472.046085	     8472.039689	  0.006395313278
   29	     59.18367347	     30.98782368	     30.98778065	 4.302948152e-05	     8538.202217	     8538.152875	   0.04934156132
   30	      61.2244898	     28.37169297	     28.37165222	  4.07552475e-05	     8598.691101	     8598.684487	  0.006613537145
   31	     63.26530612	     25.97642773	     25.97638917	 3.855832318e-05	     8654.148367	     8654.105747	   0.04261976287
   32	     65.30612245	     23.78338149	     23.78334505	 3.644186445e-05	       8704.8549	     8704.848094	  0.006806636302
   33	     67.34693878	     21.77548203	     21.77544762	  3.44079434e-05	     8751.343536	     8751.306542	   0.03699433189
   34	      69.3877551	     19.93709842	     19.93706596	 3.245770861e-05	     8793.849736	     8793.842759	  0.006977029765
   35	     71.42857143	     18.25391938	     18.25388879	 3.059152655e-05	     8832.820162	     8832.787875	   0.03228645687
   36	     73.46938776	     16.71284185	     16.71281304	 2.880910528e-05	     8868.452197	      8868.44507	  0.007127011251
   37	     75.51020408	     15.30186897	     15.30184186	 2.710960308e-05	     8901.120269	     8901.091922	    0.0283464874
   38	     77.55102041	     14.01001674	     14.00999125	 2.549172334e-05	     8930.989839	      8930.98258	  0.007258726422
   39	     79.59183673	     12.82722845	      12.8272045	 2.395379739e-05	     8958.374783	     8958.349734	   0.02504917882
   40	     81.63265306	     11.74429644	     11.74427395	 2.249385654e-05	     8983.413803	     8983.406429	  0.007374160803
   41	     83.67346939	      10.7527904	     10.75276929	 2.110969465e-05	     9006.370014	     9006.347724	   0.02228971232
   42	     85.71428571	     9.844991726	     9.844971927	 1.979892224e-05	     9027.359687	     9027.352212	   0.00747513544
   43	     87.75510204	     9.013833482	     9.013814923	 1.855901317e-05	     9046.603386	     9046.583406	   0.01998036394
   44	     89.79591837	     8.252845335	     8.252827948	 1.738734478e-05	     9064.198579	     9064.191016	  0.007563308185
   45	     91.83673469	     7.556103212	     7.556086931	 1.628123213e-05	     9080.330159	     9080.312112	   0.01804771677
   46	     93.87755102	     6.918183176	     6.918167938	 1.523795726e-05	     9095.079832	     9095.072192	  0.007640178843
   47	     95.91836735	     6.334119203	     6.334104948	 1.425479389e-05	     9108.602589	     9108.586159	   0.01643032778
   48	     97.95918367	     5.799364524	     5.799351194	 1.332902819e-05	     9120.966923	     9120.959216	  0.007707096942
   49	             100	     5.309756226	     5.309743768	 1.245797612e-05	     9132.302761	     9132.287684	   0.01507677507
   50	     102.0408163	     4.861482852	     4.861471213	 1.163899773e-05	     9142.667517	     9142.659751	  0.007765271101
   51	     104.0816327	     4.451054721	     4.451043852	 1.086950884e-05	     9152.170106	     9152.156162	   0.01394402358
   52	      106.122449	     4.075276769	     4.075266622	 1.014699047e-05	     9160.858658	     9160.850843	  0.007815779323
   53	     108.1632653	     3.731223673	     3.731214204	 9.468996228e-06	     9168.824475	     9168.811479	   0.01299605731
   54	     110.2040816	     3.416217079	     3.416208246	 8.833157998e-06	     9176.107902	     9176.100043	  0.007859579624
   55	      112.244898	      3.12780475	     3.127796513	 8.237190182e-06	     9182.785476	     9182.773273	   0.01220273458
   56	     114.2857143	     2.863741481	     2.863733802	 7.678892642e-06	     9188.891016	     9188.883119	  0.007897520649
   57	     116.3265306	     2.621971614	     2.621964457	  7.15615254e-06	     9194.488683	     9194.477144	   0.01153882997
   58	     118.3673469	      2.40061304	     2.400606373	 6.666945305e-06	     9199.606827	     9199.598896	  0.007930351994
   59	     120.4081633	     2.197942548	     2.197936339	 6.209334773e-06	      9204.29923	     9204.288247	   0.01098323255
   60	     122.4489796	     2.012382405	     2.012376624	 5.781472695e-06	      9208.58966	     9208.581702	  0.007958734044
   61	     124.4897959	      1.84248808	     1.842482699	 5.381597693e-06	     9212.523202	     9212.512683	   0.01051827477
   62	     126.5306122	     1.686936994	     1.686931986	 5.008033762e-06	     9216.119777	     9216.111794	  0.007983247231
   63	     128.5714286	     1.544518226	     1.544513567	  4.65918841e-06	      9219.41718	     9219.407051	   0.01012917087
   64	     130.6122449	     1.414123088	     1.414118754	 4.333550504e-06	     9222.432113	     9222.424108	  0.008004400606
   65	     132.6530612	     1.294736491	     1.294732461	 4.029687887e-06	     9225.196255	     9225.186451	  0.009803546889
   66	     134.6938776	     1.185429044	     1.185425298	 3.746244807e-06	     9227.723608	     9227.715585	  0.008022639768
   67	     136.7346939	     1.085349821	     1.085346339	  3.48193922e-06	     9230.040729	     9230.031198	   0.00953104725
