     Steps	     Evaluations	        ErrorEnd	        ErrorMax
         5	              20	    0.3608743458	    0.3608743458
        10	              40	   0.01243474651	   0.06412024227
        20	              80	 0.0006064420923	   0.01558972518
        50	             200	 1.353067906e-05	  0.002489974682
        80	             320	 1.997137406e-06	 0.0009727389719
       100	             400	 8.090901151e-07	 0.0006225765297
       150	             600	 1.575070397e-07	  0.000276713323
       200	             800	 4.947563303e-08	 0.0001556541321
       250	            1000	 2.017729576e-08	  9.96195613e-05
       500	            2000	 1.250186414e-09	 2.490521688e-05
