    i	               t	         y_aprox	         y_exact	     exact_error	        Sy_aprox	        Sy_exact	         S_error
    0	               0	             400	             400	               0	               0	               0	             nan
    1	     14.28571429	     216.0050502	      215.734237	  0.001255309301	     4400.036073	     4263.515329	   0.03202069966
    2	     28.57142857	     116.6454543	     116.3531526	  0.002512194404	     6574.598358	     6562.980896	  0.001770150268
    3	     42.85714286	     62.99001804	     62.75339649	  0.003770657286	     7857.708875	      7803.16452	  0.006990030145
    4	     57.14285714	     34.01540503	     33.84514028	  0.005030699928	     8491.840889	     8472.039689	  0.002337241135
    5	     71.42857143	     18.36874818	     18.25388879	  0.006292324314	     8866.013412	     8832.787875	  0.003761613773
    6	     85.71428571	     9.919355932	     9.844971927	  0.007555532428	     9050.934954	     9027.352212	  0.002612365342
    7	             100	     5.356577441	     5.309743768	  0.008820326259	     9160.048764	     9132.287684	  0.003039882338
    8	     114.2857143	     2.892619448	     2.863733802	    0.0100867078	     9213.974407	     9188.883119	  0.002730613513
    9	     128.5714286	     1.562051023	     1.544513567	   0.01135467904	     9245.793482	     9219.407051	  0.002862052912
   10	     142.8571429	    0.8435272741	    0.8330111399	   0.01262424197	     9261.518935	     9235.869694	  0.002777133217
   11	     157.1428571	     0.455515378	    0.4492725568	    0.0138953986	     9270.797811	     9244.748584	  0.002817732354
   12	     171.4285714	    0.2459840553	    0.2423086806	   0.01516815093	     9275.383568	     9249.537285	  0.002794332495
   13	     185.7142857	    0.1328344955	    0.1306856959	   0.01644250095	     9278.089414	     9252.120002	  0.002806860747
   14	             200	    0.0717323047	   0.07048344722	   0.01771845067	     9279.426683	     9253.512953	  0.002800420829
