    i	               t	         y_aprox	         y_exact	     exact_error	        Sy_aprox	        Sy_exact	         S_error
    0	               0	             400	             400	               0	               0	               0	             nan
    1	     14.28571429	     215.7343339	      215.734237	 4.489209354e-07	     4398.102385	     4263.515329	    0.0315671565
    2	     28.57142857	     116.3532575	     116.3531526	 9.014452686e-07	     6568.050443	     6562.980896	 0.0007724457907
    3	     42.85714286	     62.75348168	     62.75339649	 1.357570523e-06	     7847.384294	      7803.16452	  0.005666902688
    4	     57.14285714	     33.84520179	     33.84514028	 1.817294221e-06	     8478.585614	     8472.039689	 0.0007726503664
    5	     71.42857143	     18.25393042	     18.25388879	 2.280613889e-06	     8850.722273	     8832.787875	  0.002030434493
    6	     85.71428571	     9.844998977	     9.844971927	 2.747527051e-06	     9034.328102	     9027.352212	 0.0007727503622
    7	             100	     5.309760855	     5.309743768	 3.218031233e-06	     9142.576386	     9132.287684	  0.001126629246
    8	     114.2857143	     2.863744375	     2.863733802	  3.69212396e-06	     9195.984229	     9188.883119	 0.0007727936457
    9	     128.5714286	     1.544520007	     1.544513567	  4.16980276e-06	     9227.471832	     9219.407051	 0.0008747613339
   10	     142.8571429	    0.8330150143	    0.8330111399	  4.65106516e-06	     9243.007274	     9235.869694	 0.0007728107902
   11	     157.1428571	    0.4492748642	    0.4492725568	 5.135908688e-06	     9252.166488	     9244.748584	 0.0008023910759
   12	     171.4285714	    0.2423100435	    0.2423086806	 5.624330873e-06	     9256.685486	     9249.537285	  0.000772817171
   13	     185.7142857	    0.1306864952	    0.1306856959	 6.116329243e-06	     9259.349747	     9252.120002	 0.0007814149936
   14	             200	   0.07048391324	   0.07048344722	  6.61190133e-06	     9260.664248	     9253.512953	 0.0007728194444
