     Steps	     Evaluations	        ErrorEnd	        ErrorMax
         5	             140	   0.03651424142	    0.2375131863
        10	             280	  0.002849674642	   0.06150261754
        20	             560	 0.0001897292536	   0.01551761031
        50	            1400	  4.94581125e-06	  0.002489293873
        80	            2240	  7.56235819e-07	 0.0009726753929
       100	            2800	 3.098996187e-07	 0.0006225558425
       150	            4200	 6.124250343e-08	 0.0002767106244
       200	            5600	 1.938047218e-08	 0.0001556534948
       250	            7000	 7.938781247e-09	 9.961935305e-05
       500	           14000	 4.962149362e-10	 2.490521041e-05
