    i	               t	     evaluations	         y_aprox	         y_exact	     exact_error	        Sy_aprox	        Sy_exact	         S_error
    0	               0	               0	             400	             400	               0	               0	               0	             nan
    1	     1.005025126	               2	     383.0027874	     382.9973827	  1.41115083e-05	     393.4687374	     393.4041698	 0.0001641253579
    2	     2.010050251	               3	     366.7356771	     366.7174879	 4.960005315e-05	     770.0994394	     770.0860882	  1.73372856e-05
    3	     3.015075377	               4	     351.1592949	     351.1295951	 8.458346238e-05	     1130.850682	      1130.75656	  8.32374078e-05
    4	     4.020100503	               5	     336.2444931	     336.2042898	 0.0001195800911	     1476.168903	     1476.096177	 4.926902728e-05
    5	     5.025125628	               6	     321.9631682	     321.9134076	 0.0001545776603	     1806.926522	     1806.756601	 9.404744838e-05
    6	     6.030150754	               7	     308.2884146	     308.2299814	  0.000189576461	     2123.534257	     2123.361793	 8.122194268e-05
    7	     7.035175879	               8	     295.1944692	     295.1281904	 0.0002245764862	     2426.791988	     2426.509193	 0.0001165436658
    8	     8.040201005	               9	     282.6566635	     282.5833112	 0.0002595777362	     2717.076285	     2716.770845	 0.0001124277473
    9	     9.045226131	              10	     270.6513765	     270.5716715	  0.000294580211	     2995.120527	     2994.694477	 0.0001422680439
   10	     10.05025126	              11	     259.1559905	      259.070605	 0.0003295839106	     3261.269974	     3260.804537	 0.0001427369023
   11	     11.05527638	              12	     248.1488485	     248.0584091	 0.0003645888352	     3516.197029	     3515.603178	 0.0001689187255
   12	     12.06030151	              13	     237.6092132	     237.5143036	 0.0003995949846	     3760.218248	     3759.571209	 0.0001721044863
   13	     13.06532663	              14	     227.5172282	     227.4183916	 0.0004346023591	     3993.950128	     3993.169002	 0.0001956154541
   14	     14.07035176	              15	     217.8538805	     217.7516219	 0.0004696109586	     4217.682907	     4216.837361	 0.0002005164795
   15	     15.07537688	              16	     208.6009645	     208.4957532	 0.0005046207832	     4431.981824	     4430.998351	  0.000221952767
   16	     16.08040201	              17	     199.7410479	     199.6333194	 0.0005396318329	     4637.112986	     4636.056098	 0.0002279713015
   17	     17.08542714	              18	     191.2574389	     191.1475971	 0.0005746441077	     4833.594637	     4832.397549	 0.0002477214881
   18	     18.09045226	              19	     183.1341546	     183.0225735	 0.0006096576077	     5021.670761	     5020.393203	 0.0002544736215
   19	     19.09547739	              20	     175.3558908	     175.2429166	  0.000644672333	     5201.816512	     5200.397812	  0.000272806085
