     Steps	     Evaluations	        ErrorEnd	        ErrorMax
         5	               9	     6.067145044	     6.067145044
        10	              14	    0.5497283934	    0.5497283934
        20	              24	   0.02452264672	   0.02452264672
        50	              54	  0.001723074802	   0.00246971162
        80	              84	 0.0004382333578	 0.0009697434177
       100	             104	 0.0002276224664	 0.0006213625241
       150	             154	  6.87825121e-05	 0.0002764769085
       200	             204	 2.931007363e-05	 0.0001555798615
       250	             254	 1.509823604e-05	 9.958927039e-05
       500	             504	  1.91060835e-06	 2.490333993e-05
