    i	               t	     evaluations	         y_aprox	         y_exact	     exact_error	        Sy_aprox	        Sy_exact	         S_error
    0	               0	               0	             400	             400	               0	               0	               0	             nan
    1	      2.06185567	               4	     365.8973483	     365.8973299	  5.04404364e-08	     789.5848952	      789.062789	 0.0006616788827
    2	      4.12371134	               8	     334.7021738	       334.70214	 1.008808755e-07	     1510.853311	     1510.852708	 3.989336084e-07
    3	      6.18556701	              13	     306.1665276	     306.1665483	 6.790795284e-08	     2171.542694	     2171.105218	 0.0002014989066
    4	      8.24742268	              15	     280.0637193	     280.0638063	 3.107881723e-07	     2775.067746	     2775.066795	 3.428460877e-07
    5	     10.30927835	              17	     256.1863557	     256.1864973	 5.528040961e-07	     3327.902875	     3327.536615	 0.0001100694061
    6	     12.37113402	              19	      234.344702	     234.3448883	 7.952140329e-07	      3832.90544	     3832.904695	   1.9421793e-07
    7	     14.43298969	              21	     214.3651998	     214.3654223	 1.037736574e-06	     4295.492967	     4295.186773	 7.128772832e-05
    8	     16.49484536	              23	      196.089088	     196.0893391	  1.28025639e-06	      4718.05636	     4718.056218	 3.010492352e-08
    9	     18.55670103	              25	     179.3711408	     179.3714139	 1.522776862e-06	     5105.128761	      5104.87322	 5.005823666e-05
   10	      20.6185567	              27	     164.0785139	     164.0788035	 1.765297444e-06	     5458.710769	      5458.71149	 1.321296903e-07
   11	     22.68041237	              29	     150.0896889	     150.0899903	 2.007817961e-06	     5782.595514	     5782.382686	 3.680628982e-05
   12	     24.74226804	              31	     137.2935077	     137.2938167	  2.25033842e-06	     6078.457008	     6078.458752	 2.869522141e-07
   13	     26.80412371	              33	     125.5882893	     125.5886023	 2.492858821e-06	      6349.46917	     6349.292357	 2.784764646e-05
   14	     28.86597938	              35	     114.8810214	     114.8813357	 2.735379163e-06	     6597.032737	     6597.035589	 4.322749624e-07
   15	     30.92783505	              37	      105.086622	     105.0869349	 2.977899446e-06	     6823.803503	     6823.657057	 2.146163865e-05
   16	     32.98969072	              39	     96.12726266	     96.12757223	 3.220419671e-06	     7030.953543	     7030.957531	 5.673359285e-07
   17	     35.05154639	              41	     87.93175051	     87.93205501	 3.462939836e-06	     7220.705102	     7220.584257	 1.673624208e-05
   18	     37.11340206	              43	      80.4349623	     80.43526035	 3.705459943e-06	     7394.038922	     7394.044038	 6.919852234e-07
   19	     39.17525773	              45	     73.57732699	     73.57761748	 3.947979991e-06	     7552.814478	     7552.715216	 1.314258971e-05
   20	      41.2371134	              47	     67.30435239	     67.30463443	  4.19049998e-06	     7697.852408	     7697.858616	 8.063934007e-07
   21	     43.29896907	              49	     61.56619214	     61.56646507	  4.43301991e-06	      7830.70864	     7830.627572	 1.035262893e-05
   22	     45.36082474	              51	     56.31724963	     56.31751294	 4.675539781e-06	     7952.069845	     7952.077089	 9.109132907e-07
   23	     47.42268041	              53	     51.51581567	     51.51606903	 4.918059594e-06	     8063.237954	     8063.172223	 8.151918088e-06
   24	     49.48453608	              55	     47.12373707	     47.12398026	 5.160579348e-06	     8164.787542	     8164.795756	 1.006006067e-06
   25	     51.54639175	              57	     43.10611347	     43.10634637	 5.403099043e-06	     8257.808007	     8257.755204	 6.394281187e-06
   26	     53.60824742	              59	     39.43101998	      39.4312426	  5.64561868e-06	     8342.780127	     8342.789239	 1.092197361e-06
   27	     55.67010309	              61	     36.06925357	     36.06946595	 5.888138257e-06	     8420.615461	     8420.573555	 4.976613711e-06
   28	     57.73195876	              63	     32.99410093	      32.9943032	 6.130657775e-06	     8491.716302	     8491.726238	 1.170048878e-06
   29	     59.79381443	              65	     30.18112626	     30.18131861	 6.373177235e-06	     8556.845403	      8556.81268	  3.82410937e-06
   30	      61.8556701	              67	     27.60797708	     27.60815973	 6.615696636e-06	     8616.339384	     8616.350069	 1.240138768e-06
   31	     63.91752577	              69	     25.25420662	     25.25437982	 6.858215978e-06	      8670.83648	     8670.811498	  2.88119994e-06
   32	     65.97938144	              71	     23.10111132	     23.10127536	 7.100735261e-06	     8720.618363	     8720.629726	 1.303047439e-06
   33	     68.04123711	              73	     21.13158225	     21.13173742	 7.343254486e-06	     8766.219078	     8766.200618	 2.105783368e-06
   34	     70.10309278	              75	     19.32996911	     19.33011575	 7.585773652e-06	     8807.874314	     8807.886287	 1.359347018e-06
   35	     72.16494845	              77	     17.68195593	     17.68209435	 7.828292758e-06	     8846.030938	     8846.017975	 1.465424154e-06
   36	     74.22680412	              79	     16.17444723	     16.17457777	 8.070811807e-06	     8880.886163	     8880.898682	  1.40959348e-06
   37	     76.28865979	              81	     14.79546404	     14.79558704	 8.313330796e-06	     8912.813907	     8912.805575	 9.347794343e-07
   38	     78.35051546	              83	     13.53404869	     13.53416448	 8.555849726e-06	     8941.979189	     8941.992193	 1.454320809e-06
   39	     80.41237113	              85	     12.38017769	     12.38028662	 8.798368597e-06	     8968.694886	     8968.690457	 4.938107282e-07
   40	      82.4742268	              87	     11.32468215	     11.32478454	  9.04088741e-06	      8993.09908	     8993.112516	 1.494036793e-06
   41	     84.53608247	              89	     10.35917489	     10.35927106	 9.283406165e-06	     9015.453572	     9015.452431	 1.265132444e-07
   42	     86.59793814	              91	     9.475983784	     9.476074052	  9.52592486e-06	     9035.873901	     9035.887719	 1.529220155e-06
   43	     88.65979381	              93	     8.668090809	     8.668175483	 9.768443495e-06	     9054.579133	     9054.580763	 1.800054353e-07
   44	     90.72164948	              95	     7.929076282	     7.929155661	 1.001096207e-05	     9071.665945	       9071.6801	 1.560318768e-06
   45	     92.78350515	              97	     7.253067841	     7.253142211	 1.025348059e-05	      9087.31764	     9087.321604	 4.362055802e-07
   46	     94.84536082	              99	     6.634693782	     6.634763421	 1.049599905e-05	     9101.615114	     9101.629565	 1.587748785e-06
   47	     96.90721649	             101	     6.069040377	      6.06910555	 1.073851745e-05	     9114.711748	     9114.717678	 6.506257957e-07
   48	     98.96907216	             103	     5.551612825	     5.551673789	  1.09810358e-05	      9126.67523	     9126.689941	 1.611894488e-06
   49	     101.0309278	             105	     5.078299542	     5.078356539	 1.122355408e-05	     9137.633902	     9137.641489	  8.30271777e-07
   50	     103.0927835	             107	      4.64533948	     4.645392744	  1.14660723e-05	     9147.644405	     9147.659345	 1.633108733e-06
   51	     105.1546392	             109	      4.24929225	     4.249342003	 1.170859047e-05	     9156.814129	     9156.823111	 9.809162913e-07
   52	     107.2164948	             111	     3.887010777	     3.887057232	 1.195110858e-05	     9165.190467	     9165.205605	 1.651713843e-06
   53	     109.2783505	             113	     3.555616299	     3.555659656	 1.219362662e-05	     9172.863278	     9172.873436	 1.107333386e-06
   54	     111.3402062	             115	     3.252475486	     3.252515935	 1.243614461e-05	      9179.87222	     9179.887532	  1.66800286e-06
   55	     113.4020619	             117	     2.975179518	      2.97521724	 1.267866254e-05	     9186.292483	     9186.303631	 1.213483169e-06
   56	     115.4639175	             119	     2.721524944	      2.72156011	 1.292118041e-05	      9192.15725	     9192.172714	 1.682241039e-06
   57	     117.5257732	             121	     2.489496172	     2.489528943	 1.316369823e-05	     9197.529437	     9197.541418	 1.302658939e-06
   58	     119.5876289	             123	     2.277249453	     2.277279982	 1.340621598e-05	      9202.43681	     9202.452405	 1.694667511e-06
   59	     121.6494845	             125	      2.08309823	     2.083126662	 1.364873368e-05	     9206.932014	     9206.944697	 1.377605303e-06
   60	     123.7113402	             127	     1.905499739	     1.905526209	 1.389125131e-05	     9211.038282	     9211.053991	 1.705497057e-06
   61	     125.7731959	             129	     1.743042743	     1.743067379	 1.413376889e-05	     9214.799666	     9214.812941	 1.440613664e-06
   62	     127.8350515	             131	     1.594436327	      1.59445925	 1.437628641e-05	     9218.235606	     9218.251415	 1.714921913e-06
   63	     129.8969072	             133	     1.458499633	     1.458520955	 1.461880387e-05	     9221.382963	     9221.396736	 1.493599897e-06
   64	     131.9587629	             135	      1.33415248	     1.334172308	 1.486132127e-05	     9224.258003	     9224.273898	 1.723113586e-06
   65	     134.0206186	             137	     1.220406779	     1.220425212	 1.510383861e-05	      9226.89157	     9226.905762	 1.538167882e-06
   66	     136.0824742	             139	     1.116358684	     1.116375816	  1.53463559e-05	     9229.297274	     9229.313242	 1.730224633e-06
   67	     138.1443299	             141	     1.021181407	     1.021197326	 1.558887312e-05	     9231.500923	     9231.515469	 1.575661689e-06
   68	     140.2061856	             143	    0.9341186484	    0.9341334371	 1.583139029e-05	     9233.513908	     9233.529941	 1.736390377e-06
   69	     142.2680412	             145	    0.8544785909	    0.8544923259	  1.60739074e-05	     9235.357823	     9235.372666	 1.607208635e-06
   70	     144.3298969	             147	    0.7816283975	    0.7816411511	 1.631642444e-05	     9237.042198	     9237.058286	 1.741730543e-06
   71	     146.3917526	             149	    0.7149891856	    0.7150010253	 1.655894143e-05	     9238.585102	     9238.600196	 1.633754905e-06
   72	     148.4536082	             151	    0.6540314262	     0.654042415	 1.680145836e-05	     9239.994511	     9240.010648	 1.746350798e-06
   73	     150.5154639	             153	    0.5982707361	    0.5982809332	 1.704397524e-05	     9241.285544	     9241.300849	 1.656095126e-06
   74	     152.5773196	             155	    0.5472640295	    0.5472734899	 1.728649205e-05	     9242.464875	     9242.481052	 1.750344197e-06
   75	     154.6391753	             157	    0.5006059964	    0.5006147717	  1.75290088e-05	     9243.545153	     9243.560635	 1.674896963e-06
   76	     156.7010309	             159	    0.4579258825	    0.4579340207	  1.77715255e-05	     9244.531963	     9244.548176	 1.753792511e-06
   77	     158.7628866	             161	    0.4188845426	    0.4188920885	 1.801404213e-05	     9245.435891	     9245.451523	 1.690721632e-06
   78	     160.8247423	             163	    0.3831717462	    0.3831787418	 1.825655871e-05	      9246.26161	     9246.277853	 1.756767455e-06
   79	     162.8865979	             165	    0.3505037121	    0.3505101962	 1.849907523e-05	     9247.017976	     9247.033733	 1.704041021e-06
   80	     164.9484536	             167	    0.3206208531	    0.3206268622	 1.874159169e-05	       9247.7089	      9247.72517	 1.759331811e-06
   81	     167.0103093	             169	     0.293285714	    0.2932912819	 1.898410809e-05	     9248.341793	     9248.357657	 1.715252018e-06
   82	     169.0721649	             171	    0.2682810841	    0.2682862423	 1.922662444e-05	     9248.919927	      9248.93622	 1.761540442e-06
   83	     171.1340206	             173	    0.2454082713	    0.2454130493	 1.946914072e-05	     9249.449504	     9249.465456	 1.724688502e-06
