     Steps	     Evaluations	        ErrorEnd	        ErrorMax
         5	              17	    0.1588345078	    0.3416193559
        10	              27	   0.02513381207	   0.06412024227
        20	              47	  0.001508350488	   0.01558972518
        50	             107	 2.989516346e-05	  0.002489974682
        80	             167	 4.008958532e-06	 0.0009727389719
       100	             207	 1.556763051e-06	 0.0006225765297
       150	             307	 2.834184008e-07	  0.000276713323
       200	             407	 8.563518677e-08	 0.0001556541321
       250	             507	 3.405227176e-08	  9.96195613e-05
       500	            1007	 1.995811801e-09	 2.490521688e-05
