     Steps	     Evaluations	        ErrorEnd	        ErrorMax
         5	              15	 0.0004973910672	    0.1022684394
        10	              22	 0.0002382754297	    0.0323056834
        20	              35	 0.0001610370051	   0.01141422964
        50	              68	 8.478347731e-05	  0.001735359819
        80	             104	 5.927131719e-05	  0.001786308645
       100	             127	  4.98777297e-05	  0.001849488606
       150	             183	 3.603051534e-05	  0.001913201752
       200	             237	 2.846493715e-05	  0.001971471456
       250	             289	 2.370497845e-05	  0.002069857656
       500	             537	 1.315338452e-05	  0.004754489513
