    i	               t	     evaluations	         y_aprox	         y_exact	     exact_error	        Sy_aprox	        Sy_exact	         S_error
    0	               0	               0	             400	             400	               0	               0	               0	             nan
    1	     6.060606061	               6	     307.8244285	     307.8245393	 3.599987616e-07	     2144.922511	     2132.742857	  0.005710793366
    2	     12.12121212	              12	     236.8896969	     236.8898675	 7.199973941e-07	     3774.115981	     3774.019325	 2.561099433e-05
    3	     18.18181818	              18	     182.3010889	     182.3012858	 1.079995897e-06	      5044.39109	     5037.082257	   0.00145100533
    4	     24.24242424	              24	     140.2918213	     140.2920233	  1.43999427e-06	     6009.238959	     6009.086669	 2.534318593e-05
    5	      30.3030303	              30	     107.9631242	     107.9633186	 1.799992513e-06	     6761.526672	     6757.103696	 0.0006545669535
    6	     36.36363636	              36	     83.08421754	       83.084397	 2.159990627e-06	      7332.93297	     7332.748687	  2.51315836e-05
    7	     42.42424242	              42	     63.93837945	     63.93854057	 2.519988611e-06	     7778.455992	     7775.742822	 0.0003489273361
    8	     48.48484848	              48	     49.20448778	     49.20462949	 2.879986466e-06	     8116.856654	     8116.653987	 2.496926809e-05
    9	     54.54545455	              54	     37.86585832	     37.86598101	 3.239984191e-06	     8380.706187	     8379.006042	 0.0002029053794
   10	     60.60606061	              60	     29.14009049	      29.1401954	 3.599981786e-06	     8581.115263	     8580.902043	 2.484816868e-05
   11	     66.66666667	              66	     22.42507925	     22.42516806	 3.959979252e-06	     8737.373353	     8736.273402	   0.00012590619
   12	     72.72727273	              72	     17.25746801	     17.25754256	 4.319976589e-06	     8856.060466	     8855.841194	 2.476008324e-05
   13	     78.78787879	              78	     13.28067557	     13.28073772	 4.679973796e-06	     8948.600295	     8947.855946	 8.318739493e-05
   14	     84.84848485	              84	     10.22029092	     10.22034243	 5.039970873e-06	      9018.88968	     9018.666942	 2.469744968e-05
   15	     90.90909091	              90	     7.865138026	     7.865180497	 5.399967821e-06	      9073.69401	     9073.160348	 5.881770177e-05
   16	     96.96969697	              96	     6.052704044	     6.052738908	 5.759964638e-06	     9115.321089	     9115.096367	 2.465379448e-05
   17	      103.030303	             102	     4.657925408	     4.657953914	 6.119961327e-06	     9147.777541	     9147.368706	 4.469431997e-05
   18	     109.0909091	             108	     3.584558066	     3.584581294	 6.479957885e-06	     9172.430106	     9172.204251	 2.462389064e-05
   19	     115.1515152	             114	     2.758536345	     2.758555214	 6.839954315e-06	     9191.651604	     9191.316726	 3.643419182e-05
   20	     121.2121212	             120	     2.122862185	     2.122877469	 7.199950613e-06	     9206.251451	     9206.024949	 2.460371062e-05
   21	     127.2727273	             126	     1.633672097	     1.633684447	 7.559946784e-06	     9217.634888	     9217.343828	 3.157744788e-05
   22	     133.3333333	             132	     1.257210449	     1.257220406	 7.919942823e-06	     9226.281271	       9226.0544	 2.459026615e-05
   23	     139.3939394	             138	    0.9675002197	    0.9675082306	 8.279938735e-06	     9233.022819	      9232.75772	 2.871287445e-05
   24	     145.4545455	             144	    0.7445505054	    0.7445569383	 8.639934516e-06	     9238.143416	     9237.916335	 2.458140696e-05
   25	     151.5151515	             150	    0.5729770845	    0.5729822413	 8.999930168e-06	     9242.135924	     9241.886207	  2.70201985e-05
   26	     157.5757576	             156	    0.4409408589	    0.4409449861	 9.359925691e-06	     9245.168466	     9244.941266	 2.457562393e-05
   27	     163.6363636	             162	    0.3393309197	     0.339334218	 9.719921083e-06	     9247.532926	     9247.292322	 2.601890945e-05
   28	     169.6969697	             168	    0.2611358661	    0.2611384983	 1.007991634e-05	     9249.328871	     9249.101603	 2.457187936e-05
   29	     175.7575758	             174	    0.2009599968	    0.2009620948	 1.043991148e-05	     9250.729162	     9250.493956	 2.542622439e-05
   30	     181.8181818	             180	    0.1546509904	    0.1546526606	 1.079990648e-05	     9251.792764	     9251.565458	 2.456947157e-05
   31	     187.8787879	             186	    0.1190133818	      0.11901471	 1.115990135e-05	      9252.62205	     9252.390043	 2.507526776e-05
   32	     193.9393939	             192	   0.09158806561	   0.09158912071	  1.15198961e-05	     9253.251941	     9253.024613	 2.456793267e-05
   33	             200	             198	   0.07048260988	   0.07048344722	 1.187989071e-05	     9253.743064	     9253.512953	 2.486740318e-05
