     Steps	     Evaluations	        ErrorEnd	        ErrorMax
         5	              30	   0.01259066228	    0.2198761238
        10	              60	  0.001991308059	   0.06126680605
        20	             120	   0.00017044137	   0.01551427135
        50	             300	 4.784326322e-06	  0.002489281067
        80	             480	 7.415918381e-07	 0.0009726746426
       100	             600	 3.051809315e-07	  0.000622555647
       150	             900	 6.063485684e-08	 0.0002767106074
       200	            1200	 1.923787824e-08	 0.0001556534917
       250	            1500	 7.892368825e-09	 9.961935226e-05
       500	            3000	 4.947830996e-10	  2.49052104e-05
