    i	            Time	       Res.Pres.	        Aq.Pres.	        Wat.Flow	      Cumulative
    0	               0	             230	             230	               0	               0
    1	    0.8333333333	     229.4504529	             230	     10.99094115	               0
    2	     1.666666667	     228.9058932	     229.9955815	      21.7937652	     4.542638502
    3	             2.5	     228.3715947	     229.9824372	     32.21684962	     18.05627982
    4	     3.333333333	     227.8472472	     229.9608299	     42.27165402	     40.27061933
    5	     4.166666667	     227.3324966	     229.9310583	     51.97123446	      70.8786682
    6	               5	     226.8270005	     229.8934108	     61.32820649	     109.5838651
    7	     5.833333333	     226.3304286	     229.8481657	      70.3547404	      156.100175
    8	     6.666666667	     225.8424624	     229.7955912	     79.06257667	     210.1517227
    9	             7.5	     225.3627942	     229.7359463	     87.46304103	     271.4724334
   10	     8.333333333	     224.8911274	     229.6694804	     95.56705905	     339.8056874
   11	     9.166666667	     224.4271758	     229.5964343	     103.3851702	     414.9039851
   12	              10	     223.9706632	     229.5170403	     110.9275414	     496.5286258
   13	     10.83333333	     223.5213232	     229.4315222	     118.2039802	     584.4493956
   14	     11.66666667	     223.0788986	      229.340096	     125.2239473	     678.4442684
   15	            12.5	     222.6431415	     229.2429699	     131.9965686	     778.2991158
   16	     13.33333333	     222.2138125	     229.1403449	     138.5306476	     883.8074278
   17	     14.16666667	     221.7906808	     229.0324146	     144.8346759	     994.7700437
   18	              15	     221.3735237	     228.9193659	     150.9168448	     1110.994892
   19	     15.83333333	     220.9621262	      228.801379	     156.7850555	     1232.296738
   20	     16.66666667	      220.556281	     228.6786275	     162.4469296	     1358.496946
   21	            17.5	     220.1557882	     228.5512791	     167.9098188	     1489.423241
   22	     18.33333333	     219.7604547	     228.4194954	     173.1808143	     1624.909484
   23	     19.16666667	     219.3700944	     228.2834322	     178.2667562	      1764.79546
   24	              20	     218.9845276	     228.1432397	      183.174242	      1908.92666
   25	     20.83333333	     218.6035812	      227.999063	     187.9096358	     2057.154087
   26	     21.66666667	      218.227088	     227.8510418	     192.4790757	     2209.334054
   27	            22.5	     217.8548866	     227.6993107	     196.8884823	     2365.327998
   28	     23.33333333	     217.4868216	         227.544	     201.1435664	     2525.002302
   29	     24.16666667	     217.1227429	     227.3852347	     205.2498359	     2688.228114
   30	              25	     216.7625057	     227.2231359	     209.2126037	     2854.881182
   31	     25.83333333	     216.4059703	       227.05782	     213.0369938	     3024.841686
   32	     26.66666667	      216.053002	     226.8893994	     216.7279487	      3197.99409
   33	            27.5	     215.7034708	     226.7179826	      220.290235	     3374.226978
   34	     28.33333333	     215.3572514	     226.5436739	     223.7284504	     3553.432917
   35	     29.16666667	     215.0142227	     226.3665742	     227.0470293	     3735.508312
   36	              30	     214.6742682	     226.1867806	     230.2502484	     3920.353269
   37	     30.83333333	     214.9001597	     226.0043868	     222.0845427	     4107.871467
   38	     31.66666667	     215.1235545	     225.8240089	     214.0090877	     4293.317138
   39	            32.5	     215.3388832	      225.650144	     206.2252151	     4472.066879
   40	     33.33333333	     215.5463807	     225.4826023	     198.7244337	     4644.315678
   41	     34.16666667	      215.746331	     225.3211545	     191.4964691	     4810.299484
   42	              35	     215.9390088	     225.1655788	     184.5313985	     4970.246161
   43	     35.83333333	     216.1246786	     225.0156616	       177.81966	      5124.37529
   44	     36.66666667	     216.3035952	     224.8711972	     171.3520396	     5272.898465
   45	            37.5	     216.4760044	     224.7319873	     165.1196581	     5416.019586
   46	     38.33333333	     216.6421426	     224.5978406	     159.1139595	     5553.935135
   47	     39.16666667	     216.8022382	     224.4685731	     153.3266989	     5686.834447
   48	              40	     216.9565107	     224.3440073	     147.7499315	     5814.899972
   49	     40.83333333	     217.1051721	     224.2239722	      142.376001	     5938.307525
   50	     41.66666667	     217.2484265	      224.108303	     137.1975301	     6057.226523
   51	            42.5	     217.3864704	     223.9968408	     132.2074095	     6171.820223
   52	     43.33333333	     217.5194934	     223.8894328	     127.3987885	     6282.245945
   53	     44.16666667	     217.6476781	     223.7859314	     122.7650657	     6388.655285
   54	              45	     217.7712005	     223.6861945	     118.2998797	     6491.194325
   55	     45.83333333	     217.8902302	     223.5900852	     113.9971006	     6590.003837
   56	     46.66666667	     218.0049305	     223.4974716	     109.8508212	      6685.21947
   57	            47.5	      218.115459	     223.4082265	     105.8553495	     6776.971938
   58	     48.33333333	     218.2219674	     223.3222274	     102.0052003	     6865.387205
   59	     49.16666667	     218.3246018	     223.2393562	     98.29508791	      6950.58665
   60	              50	     218.4235033	     223.1594993	     94.71991898	     7032.687237
