  i	               t	     evaluations	         Qw_appr	         We_appr	         Pr_appr	         Qw_exct	         We_exct	         Pr_exct	          Qw_err	          We_err	          Pr_err
  0	               0	               0	               0	               0	             230	               0	               0	             230	               0	               0	               0
  1	               5	               6	         59.4161	         153.771	          226.88	         59.4161	         153.772	          226.88	     4.41871e-07	     3.92767e-06	     3.19664e-09
  2	              10	              12	         107.514	         575.324	         224.065	         107.514	         575.325	         224.065	     3.95309e-07	     1.69636e-06	     5.24745e-09
  3	              15	              18	         146.462	         1213.68	         221.496	         146.462	         1213.68	         221.496	     3.52229e-07	     9.74217e-07	     6.45309e-09
  4	              20	              24	         178.018	         2027.64	         219.127	         178.018	         2027.64	         219.127	     3.12589e-07	      6.2775e-07	     7.04727e-09
  5	              25	              30	         203.601	         2983.92	         216.918	         203.601	         2983.92	         216.918	     2.76313e-07	      4.3034e-07	     7.20948e-09
  6	              30	              36	         236.367	            4059	         214.234	         224.481	         4055.62	         214.831	        0.052948	     0.000832079	       0.0027816
  7	              35	              42	          190.12	         5121.02	         215.513	          180.56	         5064.24	         216.046	       0.0529479	       0.0112119	      0.00246818
  8	              40	              48	         152.921	         5975.25	         216.542	         145.232	         5875.52	         217.023	       0.0529478	       0.0169747	      0.00221863
  9	              45	              54	         123.001	         6662.35	          217.37	         116.816	         6528.06	          217.81	       0.0529477	       0.0205706	      0.00201953
 10	              50	              60	         98.9349	         7215.01	         218.035	         93.9599	         7052.93	         218.442	       0.0529475	       0.0229801	      0.00186043
 11	              55	              66	         79.5775	         7659.53	         218.571	         75.5759	          7475.1	          218.95	       0.0529474	       0.0246726	      0.00173312
 12	              60	              72	         64.0075	         8017.09	         219.002	         60.7889	         7814.68	         219.359	       0.0529473	       0.0259013	      0.00163115
 13	              65	              78	         51.4839	         8304.68	         219.348	          48.895	         8087.81	         219.688	       0.0529472	       0.0268147	      0.00154941
 14	              70	              84	         41.4106	            8536	         219.627	         39.3283	          8307.5	         219.953	       0.0529471	       0.0275057	      0.00148384
 15	              75	              90	         33.3083	         8722.06	         219.851	         31.6334	          8484.2	         220.166	       0.0529469	       0.0280356	      0.00143121
 16	              80	              96	         26.7912	         8871.72	         220.031	         25.4441	         8626.34	         220.337	       0.0529468	       0.0284461	      0.00138896
 17	              85	             102	         21.5493	          8992.1	         220.176	         20.4657	         8740.66	         220.475	       0.0529467	       0.0287666	      0.00135502
 18	              90	             108	          17.333	         9088.92	         220.293	         16.4614	         8832.62	         220.586	       0.0529466	       0.0290183	      0.00132775
 19	              95	             114	         13.9417	          9166.8	         220.387	         13.2406	         8906.58	         220.675	       0.0529464	        0.029217	      0.00130583
 20	             100	             120	         11.2139	         9229.44	         220.462	           10.65	         8966.07	         220.746	       0.0529463	       0.0293745	      0.00128822
 21	             105	             126	         9.01978	         9279.83	         220.523	         8.56623	         9013.92	         220.804	       0.0529462	       0.0294996	      0.00127406
 22	             110	             132	         7.25498	         9320.36	         220.572	         6.89017	         9052.41	          220.85	       0.0529461	       0.0295993	      0.00126268
 23	             115	             138	         5.83548	         9352.95	         220.611	         5.54205	         9083.37	         220.888	        0.052946	       0.0296789	      0.00125353
 24	             120	             144	         4.69372	         9379.17	         220.642	         4.45771	         9108.27	         220.918	       0.0529458	       0.0297425	      0.00124617
 25	             125	             150	         3.77536	         9400.26	         220.668	         3.58552	          9128.3	         220.942	       0.0529457	       0.0297934	      0.00124025
 26	             130	             156	         3.03668	         9417.23	         220.688	         2.88398	         9144.41	         220.961	       0.0529456	       0.0298342	      0.00123549
 27	             135	             162	         2.44253	         9430.87	         220.705	         2.31971	         9157.37	         220.977	       0.0529455	       0.0298669	      0.00123166
 28	             140	             168	         1.96463	         9441.84	         220.718	         1.86584	         9167.79	         220.989	       0.0529454	       0.0298931	      0.00122858
 29	             145	             174	         1.58023	         9450.67	         220.729	         1.50077	         9176.17	             221	       0.0529452	       0.0299142	      0.00122611
 30	             150	             180	         1.27104	         9457.77	         220.737	         1.20713	         9182.92	         221.008	       0.0529451	       0.0299311	      0.00122412
 31	             155	             186	         1.02235	         9463.48	         220.744	        0.970948	         9188.34	         221.014	        0.052945	       0.0299447	      0.00122252
 32	             160	             192	        0.822322	         9468.08	          220.75	        0.780974	          9192.7	         221.019	       0.0529449	       0.0299556	      0.00122123
 33	             165	             198	        0.661428	         9471.77	         220.754	         0.62817	         9196.21	         221.024	       0.0529448	       0.0299644	      0.00122019
 34	             170	             204	        0.532014	         9474.74	         220.758	        0.505263	         9199.03	         221.027	       0.0529446	       0.0299714	      0.00121936
 35	             175	             210	        0.427921	         9477.13	          220.76	        0.406404	          9201.3	          221.03	       0.0529445	       0.0299771	      0.00121869
 36	             180	             216	        0.344195	         9479.06	         220.763	        0.326888	         9203.13	         221.032	       0.0529444	       0.0299816	      0.00121815
 37	             185	             222	         0.27685	          9480.6	         220.765	         0.26293	          9204.6	         221.034	       0.0529443	       0.0299853	      0.00121772
 38	             190	             228	        0.222682	         9481.85	         220.766	        0.211485	         9205.78	         221.035	       0.0529442	       0.0299883	      0.00121737
 39	             195	             234	        0.179113	         9482.85	         220.767	        0.170106	         9206.73	         221.036	        0.052944	       0.0299906	      0.00121709
 40	             200	             240	        0.144068	         9483.65	         220.768	        0.136824	          9207.5	         221.037	       0.0529439	       0.0299925	      0.00121686
