  i	               t	     evaluations	         Qw_appr	         We_appr	         Pr_appr
  0	               0	               0	               0	               0	             230
  1	             0.2	               6	         2.62571	        0.262941	         229.868
  2	             0.4	              12	         5.22928	         1.04881	         229.738
  3	             0.6	              18	         7.81092	         2.35319	         229.607
  4	             0.8	              24	         10.3708	         4.17173	         229.477
  5	               1	              30	         12.9091	         6.50008	         229.348
  6	             1.2	              36	         15.4261	         9.33395	          229.22
  7	             1.4	              42	         17.9218	         12.6691	         229.092
  8	             1.6	              48	         20.3965	         16.5013	         228.964
  9	             1.8	              54	         22.8503	         20.8263	         228.837
 10	               2	              60	         25.2835	           25.64	         228.711
 11	             2.2	              66	         27.6962	         30.9383	         228.585
 12	             2.4	              72	         30.0885	         36.7171	          228.46
 13	             2.6	              78	         32.4607	         42.9724	         228.335
 14	             2.8	              84	          34.813	         49.7001	         228.211
 15	               3	              90	         37.1454	         56.8963	         228.087
 16	             3.2	              96	         39.4581	         64.5569	         227.964
 17	             3.4	             102	         41.7514	         72.6782	         227.842
 18	             3.6	             108	         44.0254	         81.2562	          227.72
 19	             3.8	             114	         46.2802	         90.2871	         227.598
 20	               4	             120	         48.5161	         99.7671	         227.477
 21	             4.2	             126	         50.7331	         109.692	         227.357
 22	             4.4	             132	         52.9314	         120.059	         227.237
 23	             4.6	             138	         55.1113	         130.864	         227.117
 24	             4.8	             144	         57.2728	         142.102	         226.998
 25	               5	             150	         59.4161	         153.772	          226.88
 26	             5.2	             156	         61.5413	         165.868	         226.762
 27	             5.4	             162	         63.6487	         178.387	         226.644
 28	             5.6	             168	         65.7383	         191.326	         226.527
 29	             5.8	             174	         67.8103	         204.681	          226.41
 30	               6	             180	         69.8649	         218.449	         226.294
 31	             6.2	             186	         71.9022	         232.626	         226.179
 32	             6.4	             192	         73.9224	         247.209	         226.063
 33	             6.6	             198	         75.9256	         262.194	         225.949
 34	             6.8	             204	         77.9119	         277.578	         225.834
 35	               7	             210	         79.8815	         293.357	         225.721
 36	             7.2	             216	         81.8345	         309.529	         225.607
 37	             7.4	             222	         83.7711	          326.09	         225.494
 38	             7.6	             228	         85.6914	         343.037	         225.382
 39	             7.8	             234	         87.5956	         360.365	          225.27
 40	               8	             240	         89.4837	         378.074	         225.158
 41	             8.2	             246	          91.356	         396.158	         225.047
 42	             8.4	             252	         93.2125	         414.615	         224.936
 43	             8.6	             258	         95.0534	         433.442	         224.826
 44	             8.8	             264	         96.8788	         452.635	         224.716
 45	               9	             270	         98.6889	         472.192	         224.606
 46	             9.2	             276	         100.484	          492.11	         224.497
 47	             9.4	             282	         102.263	         512.385	         224.388
 48	             9.6	             288	         104.028	         533.014	          224.28
 49	             9.8	             294	         105.778	         553.995	         224.172
 50	              10	             300	         107.514	         575.325	         224.065
 51	            10.2	             306	         109.234	             597	         223.958
 52	            10.4	             312	          110.94	         619.017	         223.851
 53	            10.6	             318	         112.632	         641.375	         223.745
 54	            10.8	             324	          114.31	         664.069	         223.639
 55	              11	             330	         115.974	         687.098	         223.533
 56	            11.2	             336	         117.623	         710.458	         223.428
 57	            11.4	             342	         119.259	         734.146	         223.323
 58	            11.6	             348	         120.881	          758.16	         223.219
 59	            11.8	             354	         122.489	         782.498	         223.114
 60	              12	             360	         124.084	         807.155	         223.011
 61	            12.2	             366	         125.666	          832.13	         222.907
 62	            12.4	             372	         127.234	         857.421	         222.804
 63	            12.6	             378	         128.789	         883.023	         222.702
 64	            12.8	             384	         130.331	         908.935	         222.599
 65	              13	             390	          131.86	         935.155	         222.497
 66	            13.2	             396	         133.376	         961.678	         222.396
 67	            13.4	             402	          134.88	         988.504	         222.295
 68	            13.6	             408	          136.37	         1015.63	         222.194
 69	            13.8	             414	         137.849	         1043.05	         222.093
 70	              14	             420	         139.315	         1070.77	         221.993
 71	            14.2	             426	         140.768	         1098.78	         221.893
 72	            14.4	             432	          142.21	         1127.07	         221.793
 73	            14.6	             438	         143.639	         1155.66	         221.694
 74	            14.8	             444	         145.057	         1184.53	         221.595
 75	              15	             450	         146.462	         1213.68	         221.496
 76	            15.2	             456	         147.856	         1243.11	         221.398
 77	            15.4	             462	         149.238	         1272.82	           221.3
 78	            15.6	             468	         150.608	         1302.81	         221.202
 79	            15.8	             474	         151.967	         1333.07	         221.105
 80	              16	             480	         153.315	         1363.59	         221.008
 81	            16.2	             486	         154.651	         1394.39	         220.911
