Number of cells: 10 x 10
  K matrix = 200 x 200
True	Pr: {1002.05, 912.911, 859.212, 822.285, 794.883, 773.843, 757.708, 745.826, 737.947, 734.007, 912.911, 877.676, 842.441, 812.76, 788.522, 768.938, 753.455, 741.824, 734.007, 730.067, 859.212, 842.441, 820.117, 797.792, 777.506, 759.931, 745.35, 734.007, 726.19, 722.188, 822.285, 812.76, 797.792, 780.785, 763.779, 747.931, 734.007, 722.664, 714.559, 710.306, 794.883, 788.522, 777.506, 763.779, 748.893, 734.007, 720.083, 708.083, 699.076, 694.171, 773.843, 768.938, 759.931, 747.931, 734.007, 719.121, 704.235, 690.508, 679.492, 673.13, 757.708, 753.455, 745.35, 734.007, 720.083, 704.235, 687.228, 670.222, 655.254, 645.728, 745.826, 741.824, 734.007, 722.664, 708.083, 690.508, 670.222, 647.897, 625.572, 608.801, 737.947, 734.007, 726.19, 714.559, 699.076, 679.492, 655.254, 625.572, 590.338, 555.103, 734.007, 730.067, 722.188, 710.306, 694.171, 673.13, 645.728, 608.801, 555.103, 466.17}	Sw: {0.20108, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2}
  Jacobi
0	Pr: {340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340}	Sw: {0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2}
10	Pr: {500.446, 411.316, 374.136, 351.899, 345.124, 341.116, 340.421, 340.041, 340.014, 340, 411.316, 385.255, 359.206, 349.241, 342.361, 340.95, 340.108, 340.037, 339.999, 339.999, 374.136, 359.206, 351.354, 343.507, 341.598, 340.217, 340.081, 339.999, 339.998, 339.993, 351.899, 349.241, 343.507, 341.908, 340.31, 340.132, 339.998, 339.996, 339.984, 339.982, 345.124, 342.361, 341.598, 340.31, 340.155, 339.997, 339.994, 339.971, 339.96, 339.911, 341.116, 340.95, 340.217, 340.132, 339.997, 339.993, 339.96, 339.932, 339.828, 339.793, 340.421, 340.108, 340.081, 339.998, 339.994, 339.96, 339.919, 339.757, 339.629, 339.379, 340.041, 340.037, 339.999, 339.996, 339.971, 339.932, 339.757, 339.546, 339.049, 338.714, 340.014, 339.999, 339.998, 339.984, 339.96, 339.828, 339.629, 339.049, 338.308, 337.161, 340, 339.999, 339.993, 339.982, 339.911, 339.793, 339.379, 338.714, 337.161, 334.462}	Sw: {0.20108, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2}	Convergence: 0.021641
20	Pr: {533.543, 444.411, 399.765, 371.169, 357.32, 347.886, 344.089, 341.537, 340.778, 340.326, 444.411, 414.064, 383.725, 366.146, 352.907, 347.008, 342.833, 341.405, 340.449, 340.298, 399.765, 383.725, 370.254, 356.786, 349.904, 344.394, 342.297, 340.767, 340.354, 340.081, 371.169, 366.146, 356.786, 351.155, 345.517, 343.132, 341.149, 340.529, 340.046, 339.977, 357.32, 352.907, 349.904, 345.517, 343.48, 341.415, 340.701, 340.052, 339.875, 339.704, 347.886, 347.008, 344.394, 343.132, 341.415, 340.772, 340.059, 339.804, 339.506, 339.419, 344.089, 342.833, 342.297, 341.149, 340.701, 340.059, 339.775, 339.366, 339.114, 338.837, 341.537, 341.405, 340.767, 340.529, 340.052, 339.804, 339.366, 338.977, 338.409, 338.019, 340.778, 340.449, 340.354, 340.046, 339.875, 339.506, 339.114, 338.409, 337.565, 336.528, 340.326, 340.298, 340.081, 339.977, 339.704, 339.419, 338.837, 338.019, 336.528, 334.005}	Sw: {0.20108, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2}	Convergence: 0.0111483
30	Pr: {553.503, 464.368, 416.933, 385.795, 368.336, 355.821, 349.436, 344.837, 343.016, 341.902, 464.368, 432.501, 400.637, 379.668, 363.377, 354.376, 347.616, 344.487, 342.262, 341.778, 416.933, 400.637, 384.746, 368.851, 358.905, 350.652, 346.432, 343.17, 341.922, 341.11, 385.795, 379.668, 368.851, 360.787, 352.704, 348.143, 344.218, 342.442, 341.05, 340.776, 368.336, 363.377, 358.905, 352.704, 348.832, 344.92, 342.959, 341.211, 340.557, 340.063, 355.821, 354.376, 350.652, 348.143, 344.92, 343.171, 341.353, 340.516, 339.733, 339.554, 349.436, 347.616, 346.432, 344.218, 342.959, 341.353, 340.514, 339.573, 339.111, 338.705, 344.837, 344.487, 343.17, 342.442, 341.211, 340.516, 339.573, 338.945, 338.194, 337.778, 343.016, 342.262, 341.922, 341.05, 340.557, 339.733, 339.111, 338.194, 337.283, 336.251, 341.902, 341.778, 341.11, 340.776, 340.063, 339.554, 338.705, 337.778, 336.251, 333.815}	Sw: {0.20108, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2}	Convergence: 0.00740313
40	Pr: {567.907, 478.768, 429.867, 397.356, 377.767, 363.365, 355.169, 349.09, 346.383, 344.724, 478.768, 446.12, 413.466, 390.599, 372.55, 361.519, 353.003, 348.525, 345.272, 344.466, 429.867, 413.466, 396.237, 378.994, 367.124, 357.1, 351.267, 346.652, 344.633, 343.331, 397.356, 390.599, 378.994, 369.408, 359.795, 353.622, 348.23, 345.399, 343.171, 342.668, 377.767, 372.55, 367.124, 359.795, 354.557, 349.275, 346.184, 343.428, 342.249, 341.404, 363.365, 361.519, 357.1, 353.622, 349.275, 346.508, 343.676, 342.185, 340.847, 340.549, 355.169, 353.003, 351.267, 348.23, 346.184, 343.676, 342.192, 340.626, 339.879, 339.268, 349.09, 348.525, 346.652, 345.399, 343.428, 342.185, 340.626, 339.655, 338.59, 338.127, 346.383, 345.272, 344.633, 343.171, 342.249, 340.847, 339.879, 338.59, 337.533, 336.389, 344.724, 344.466, 343.331, 342.668, 341.404, 340.549, 339.268, 338.127, 336.389, 333.889}	Sw: {0.20108, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2}	Convergence: 0.00551316
50	Pr: {579.221, 490.077, 440.283, 406.925, 385.97, 370.343, 360.902, 353.802, 350.439, 348.388, 490.077, 456.957, 423.823, 399.765, 380.6, 368.207, 358.503, 353.047, 349.056, 347.991, 440.283, 423.823, 405.755, 387.666, 374.518, 363.311, 356.325, 350.738, 348.122, 346.452, 406.925, 399.765, 387.666, 377.064, 366.429, 359.103, 352.656, 349.008, 346.135, 345.435, 385.97, 380.6, 374.518, 366.429, 360.199, 353.923, 349.941, 346.391, 344.767, 343.627, 370.343, 368.207, 363.311, 359.103, 353.923, 350.33, 346.678, 344.611, 342.785, 342.37, 360.902, 358.503, 356.325, 352.656, 349.941, 346.678, 344.6, 342.452, 341.415, 340.592, 353.802, 353.047, 350.738, 349.008, 346.391, 344.611, 342.452, 341.104, 339.682, 339.144, 350.439, 349.056, 348.122, 346.135, 344.767, 342.785, 341.415, 339.682, 338.401, 337.052, 348.388, 347.991, 346.452, 345.435, 343.627, 342.37, 340.592, 339.144, 337.052, 334.284}	Sw: {0.20108, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2}	Convergence: 0.00441372
60	Pr: {588.592, 499.444, 449.065, 415.147, 393.275, 376.825, 366.52, 358.717, 354.88, 352.557, 499.444, 466.016, 432.565, 407.713, 387.802, 374.473, 363.954, 357.803, 353.294, 352.029, 449.065, 432.565, 413.936, 395.278, 381.253, 369.233, 361.426, 355.152, 352.094, 350.16, 415.147, 407.713, 395.278, 383.971, 372.626, 364.472, 357.27, 353.014, 349.666, 348.808, 393.275, 387.802, 381.253, 372.626, 365.669, 358.667, 354.01, 349.859, 347.881, 346.512, 376.825, 374.473, 369.233, 364.472, 358.667, 354.428, 350.134, 347.596, 345.37, 344.85, 366.52, 363.954, 361.426, 357.27, 354.01, 350.134, 347.547, 344.899, 343.594, 342.575, 358.717, 357.803, 355.152, 353.014, 349.859, 347.596, 344.899, 343.183, 341.405, 340.762, 354.88, 353.294, 352.094, 349.666, 347.881, 345.37, 343.594, 341.405, 339.84, 338.219, 352.557, 352.029, 350.16, 348.808, 346.512, 344.85, 342.575, 340.762, 338.219, 334.987}	Sw: {0.20108, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2}	Convergence: 0.00378081
70	Pr: {596.665, 507.513, 456.733, 422.434, 399.925, 382.907, 371.994, 363.702, 359.522, 357.008, 507.513, 473.875, 440.206, 414.805, 394.378, 380.393, 369.306, 362.656, 357.784, 356.366, 456.733, 440.206, 421.186, 402.132, 387.489, 374.897, 366.5, 359.738, 356.354, 354.23, 422.434, 414.805, 402.132, 390.321, 378.47, 369.715, 361.966, 357.258, 353.563, 352.578, 399.925, 394.378, 387.489, 378.47, 370.975, 363.434, 358.266, 353.661, 351.407, 349.862, 382.907, 380.393, 374.897, 369.715, 363.434, 358.692, 353.899, 350.98, 348.433, 347.817, 371.994, 369.306, 366.5, 361.966, 358.266, 353.899, 350.885, 347.816, 346.267, 345.073, 363.702, 362.656, 359.738, 357.258, 353.661, 350.98, 347.816, 345.753, 343.635, 342.862, 359.522, 357.784, 356.354, 353.563, 351.407, 348.433, 346.267, 343.635, 341.743, 339.804, 357.008, 356.366, 354.23, 352.578, 349.862, 347.817, 345.073, 342.862, 339.804, 335.944}	Sw: {0.20108, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2}	Convergence: 0.00333941
80	Pr: {603.838, 514.683, 463.621, 429.053, 406.094, 388.675, 377.326, 368.689, 364.257, 361.608, 514.683, 480.896, 447.074, 421.283, 400.492, 386.037, 374.547, 367.535, 362.403, 360.867, 463.621, 447.074, 427.775, 408.438, 393.35, 380.347, 371.521, 364.407, 360.778, 358.517, 429.053, 421.283, 408.438, 396.259, 384.039, 374.841, 366.69, 361.642, 357.689, 356.603, 406.094, 400.492, 393.35, 384.039, 376.14, 368.195, 362.634, 357.683, 355.209, 353.527, 388.675, 386.037, 380.347, 374.841, 368.195, 363.057, 357.87, 354.64, 351.833, 351.129, 377.326, 374.547, 371.521, 366.69, 362.634, 357.87, 354.496, 351.072, 349.3, 347.949, 368.689, 367.535, 364.407, 361.642, 357.683, 354.64, 351.072, 348.683, 346.245, 345.324, 364.257, 362.403, 360.778, 357.689, 355.209, 351.833, 349.3, 346.245, 343.998, 341.709, 361.608, 360.867, 358.517, 356.603, 353.527, 351.129, 347.949, 345.324, 341.709, 337.094}	Sw: {0.20108, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2}	Convergence: 0.00302452
90	Pr: {610.37, 521.215, 469.949, 435.188, 411.902, 394.197, 382.529, 373.642, 369.023, 366.276, 521.215, 487.32, 453.387, 427.314, 406.26, 391.462, 379.68, 372.399, 367.079, 365.451, 469.949, 453.387, 433.884, 414.341, 398.926, 385.622, 376.477, 369.104, 365.29, 362.927, 435.188, 427.314, 414.341, 401.889, 389.394, 379.862, 371.411, 366.102, 361.953, 360.784, 411.902, 406.26, 398.926, 389.394, 381.185, 372.93, 367.063, 361.843, 359.189, 357.4, 394.197, 391.462, 385.622, 379.862, 372.93, 367.476, 361.974, 358.486, 355.464, 354.676, 382.529, 379.68, 376.477, 371.411, 367.063, 361.974, 358.294, 354.565, 352.586, 351.093, 373.642, 372.399, 369.104, 366.102, 361.843, 358.486, 354.565, 351.87, 349.128, 348.043, 369.023, 367.079, 365.29, 361.953, 359.189, 355.464, 352.586, 349.128, 346.507, 343.847, 366.276, 365.451, 362.927, 360.784, 357.4, 354.676, 351.093, 348.043, 343.847, 338.386}	Sw: {0.20108, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2}	Convergence: 0.00281189
100	Pr: {616.439, 527.281, 475.866, 440.964, 417.438, 399.521, 387.615, 378.546, 373.783, 370.965, 527.281, 493.307, 459.293, 433.011, 411.764, 396.71, 384.712, 377.229, 371.769, 370.068, 475.866, 459.293, 439.638, 419.941, 404.281, 390.753, 381.366, 373.797, 369.839, 367.399, 440.964, 433.011, 419.941, 407.281, 394.578, 384.79, 376.108, 370.594, 366.295, 365.056, 417.438, 411.764, 404.281, 394.578, 386.127, 377.63, 371.518, 366.083, 363.28, 361.404, 399.521, 396.71, 390.753, 384.79, 377.63, 371.917, 366.158, 362.449, 359.246, 358.378, 387.615, 384.712, 381.366, 376.108, 371.518, 366.158, 362.21, 358.217, 356.042, 354.418, 378.546, 377.229, 373.797, 370.594, 366.083, 362.449, 358.217, 355.23, 352.2, 350.941, 373.783, 371.769, 369.839, 366.295, 363.28, 359.246, 356.042, 352.2, 349.191, 346.146, 370.965, 370.068, 367.399, 365.056, 361.404, 358.378, 354.418, 350.941, 346.146, 339.777}	Sw: {0.20108, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2}	Convergence: 0.00266994
