ni, nj, var, dt, MaxR, NormR, MaxTrue, NormTrue, NormDelta, MaxDelta, MaxDeltaOdd, MaxDeltaEven
3, 1, 6, 0, 0, 0, 0, 0, 1.13687e-13, 1.13687e-13, 1.13687e-13, 0
5, 1, 10, 0, 2.91038e-11, 6.50781e-11, 5.82077e-11, 8.23181e-11, 2.69741e-10, 1.34492e-10, 1.34492e-10, 0
9, 1, 18, 0, 1.45519e-11, 2.52047e-11, 1.45519e-11, 2.05795e-11, 1.15349e-10, 5.25233e-11, 5.25233e-11, 0
10, 1, 20, 0, 2.18279e-11, 2.41316e-11, 4.36557e-11, 4.4852e-11, 5.67732e-10, 2.68983e-10, 2.68983e-10, 0
15, 1, 30, 0, 7.27596e-12, 1.20658e-11, 7.27596e-12, 1.36121e-11, 6.76849e-11, 2.81943e-11, 2.81943e-11, 0
20, 1, 40, 1, 1.45519e-11, 1.46652e-11, 5.45697e-12, 1.48891e-11, 1.39505e-09, 4.47017e-10, 4.47017e-10, 0
25, 1, 50, 3, 3.63798e-12, 6.03291e-12, 3.63798e-12, 3.63798e-12, 2.11586e-10, 6.73026e-11, 6.73026e-11, 0
30, 1, 60, 4, 3.63798e-12, 5.53224e-12, 3.63798e-12, 4.54747e-12, 1.73243e-10, 5.54792e-11, 5.54792e-11, 0
35, 1, 70, 10, 3.63798e-12, 7.87646e-12, 1.81899e-12, 5.38064e-12, 4.86724e-11, 1.45519e-11, 1.45519e-11, 0
40, 1, 80, 14, 1.81899e-12, 2.80325e-12, 3.63798e-12, 8.10931e-12, 1.37475e-09, 3.08319e-10, 3.08319e-10, 0
45, 1, 90, 16, 3.27418e-11, 3.30592e-11, 5.45697e-12, 6.415e-12, 2.95028e-09, 7.41238e-10, 7.41238e-10, 2.02616e-15
50, 1, 100, 19, 3.63798e-12, 1.02797e-11, 7.27596e-12, 1.18605e-11, 1.38124e-10, 3.45608e-11, 3.45608e-11, 0
60, 1, 120, 31, 4.09273e-12, 7.26173e-12, 5.00222e-12, 1.45927e-11, 1.42986e-10, 3.81988e-11, 3.81988e-11, 0
70, 1, 140, 29, 4.09273e-12, 9.40514e-12, 5.68434e-12, 1.82636e-11, 1.0542e-10, 3.27418e-11, 3.27418e-11, 2.77556e-17
80, 1, 160, 43, 6.36646e-12, 1.87982e-11, 8.18545e-12, 2.06325e-11, 1.53208e-09, 2.18279e-10, 2.18279e-10, 8.32667e-17
90, 1, 180, 65, 4.54747e-12, 1.94511e-11, 8.18545e-12, 2.65925e-11, 3.09995e-09, 4.47471e-10, 4.47471e-10, 5.55112e-17
100, 1, 200, 92, 1.45519e-11, 3.26527e-11, 1.18234e-11, 2.61808e-11, 1.72913e-09, 2.61934e-10, 2.61934e-10, 0
