Number of cells: 50 x 1
  K matrix = 100 x 100
True	Pr: {9122.38, 8958.18, 8780.31, 8602.44, 8424.58, 8246.71, 8068.85, 7890.98, 7713.11, 7535.25, 7357.38, 7179.52, 7001.65, 6823.78, 6645.92, 6468.05, 6290.19, 6112.32, 5934.45, 5756.59, 5578.72, 5400.86, 5222.99, 5045.12, 4867.26, 4689.39, 4511.53, 4333.66, 4155.79, 3977.93, 3800.06, 3622.2, 3444.33, 3266.47, 3088.6, 2910.73, 2732.87, 2555, 2377.14, 2199.27, 2021.4, 1843.54, 1665.67, 1487.81, 1309.94, 1132.07, 954.208, 776.342, 598.476, 420.61}	Sw: {0.22337, 0.203636, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2}
  Jacobi
0	Pr: {340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340}	Sw: {0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2}
10	Pr: {766.235, 617.55, 509.115, 427.361, 387.034, 357.514, 348.368, 341.658, 340.717, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 339.987, 339.974, 339.849, 339.724, 339.182, 338.641, 337.264, 335.887, 333.617, 331.347}	Sw: {0.223936, 0.20307, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2}	Convergence: 0.0512772
20	Pr: {957.408, 805.389, 675.234, 569.282, 495.035, 436.544, 401.061, 373.848, 359.987, 349.569, 345.275, 342.088, 341.076, 340.329, 340.159, 340.033, 340.015, 340.002, 340.001, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 340, 339.999, 339.997, 339.995, 339.981, 339.968, 339.911, 339.854, 339.677, 339.499, 339.067, 338.635, 337.796, 336.957, 335.638, 334.318, 332.625, 330.931}	Sw: {0.223724, 0.203282, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2}	Convergence: 0.0284585
30	Pr: {1102.58, 948.698, 809.307, 691.453, 599.845, 524.425, 470.416, 427.018, 398.742, 376.506, 363.495, 353.45, 348.248, 344.292, 342.507, 341.166, 340.649, 340.264, 340.14, 340.048, 340.025, 340.007, 340.003, 340.001, 340, 340, 340, 340, 340, 339.999, 339.998, 339.996, 339.989, 339.982, 339.959, 339.937, 339.872, 339.807, 339.651, 339.496, 339.176, 338.856, 338.286, 337.715, 336.833, 335.951, 334.76, 333.569, 332.162, 330.754}	Sw: {0.223646, 0.20336, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2}	Convergence: 0.0203811
40	Pr: {1224.38, 1069.29, 924.516, 799.233, 696.747, 609.994, 542.903, 487.286, 446.913, 414.092, 391.887, 374.154, 363.056, 354.333, 349.321, 345.438, 343.406, 341.85, 341.116, 340.56, 340.325, 340.149, 340.083, 340.034, 340.018, 340.006, 340.002, 339.999, 339.995, 339.992, 339.983, 339.973, 339.948, 339.924, 339.864, 339.805, 339.679, 339.554, 339.315, 339.076, 338.669, 338.262, 337.637, 337.011, 336.145, 335.279, 334.194, 333.11, 331.88, 330.651}	Sw: {0.223603, 0.203403, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2}	Convergence: 0.0162421
50	Pr: {1331.4, 1175.45, 1027.05, 896.558, 786.463, 691.454, 614.611, 549.49, 499.239, 457.386, 426.716, 401.585, 384.178, 370.13, 360.975, 353.69, 349.245, 345.752, 343.767, 342.225, 341.413, 340.788, 340.485, 340.253, 340.15, 340.071, 340.036, 340.008, 339.99, 339.974, 339.948, 339.924, 339.873, 339.822, 339.722, 339.623, 339.443, 339.263, 338.963, 338.664, 338.207, 337.749, 337.106, 336.462, 335.627, 334.791, 333.791, 332.791, 331.686, 330.58}	Sw: {0.223576, 0.20343, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2}	Convergence: 0.0135887
60	Pr: {1427.99, 1271.38, 1120.32, 985.924, 870.129, 768.764, 684.322, 611.573, 553.177, 503.639, 465.451, 433.533, 409.98, 390.57, 376.904, 365.79, 358.349, 352.372, 348.578, 345.566, 343.76, 342.341, 341.539, 340.914, 340.58, 340.322, 340.187, 340.082, 340.017, 339.963, 339.907, 339.855, 339.772, 339.691, 339.552, 339.414, 339.19, 338.966, 338.624, 338.282, 337.797, 337.311, 336.666, 336.02, 335.219, 334.417, 333.486, 332.554, 331.542, 330.529}	Sw: {0.223556, 0.20345, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2}	Convergence: 0.0116589
70	Pr: {1516.7, 1359.57, 1206.47, 1068.99, 948.721, 842.268, 751.7, 672.666, 607.446, 551.318, 506.503, 468.455, 439.135, 414.562, 396.332, 381.242, 370.489, 361.693, 355.686, 350.827, 347.654, 345.114, 343.531, 342.275, 341.525, 340.934, 340.59, 340.318, 340.149, 340.01, 339.896, 339.795, 339.67, 339.55, 339.374, 339.199, 338.938, 338.678, 338.307, 337.936, 337.436, 336.935, 336.296, 335.657, 334.888, 334.119, 333.244, 332.369, 331.429, 330.489}	Sw: {0.223541, 0.203465, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2}	Convergence: 0.0103926
80	Pr: {1599.19, 1441.63, 1286.89, 1146.91, 1023.01, 912.368, 816.731, 732.409, 661.379, 599.539, 548.875, 505.308, 470.66, 441.22, 418.536, 399.485, 385.288, 373.497, 365.014, 358.043, 353.21, 349.277, 346.651, 344.533, 343.168, 342.076, 341.388, 340.837, 340.482, 340.193, 339.976, 339.79, 339.603, 339.43, 339.21, 338.995, 338.702, 338.411, 338.018, 337.626, 337.117, 336.609, 335.98, 335.352, 334.612, 333.873, 333.046, 332.219, 331.338, 330.457}	Sw: {0.223529, 0.203477, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2}	Convergence: 0.00929961
90	Pr: {1676.62, 1518.7, 1362.6, 1220.53, 1093.62, 979.441, 879.519, 790.67, 714.626, 647.785, 591.929, 543.387, 503.845, 469.86, 442.914, 420.003, 402.348, 387.494, 376.384, 367.13, 360.42, 354.884, 350.995, 347.814, 345.645, 343.884, 342.709, 341.758, 341.12, 340.598, 340.22, 339.899, 339.619, 339.366, 339.09, 338.825, 338.497, 338.174, 337.761, 337.35, 336.837, 336.325, 335.708, 335.091, 334.379, 333.667, 332.881, 332.094, 331.262, 330.431}	Sw: {0.223519, 0.203487, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2}	Convergence: 0.00845357
100	Pr: {1749.8, 1591.58, 1434.35, 1290.5, 1161.02, 1043.81, 940.21, 847.429, 767.005, 695.742, 635.25, 582.209, 538.176, 499.964, 468.978, 442.359, 421.301, 403.388, 389.578, 377.942, 369.208, 361.915, 356.588, 352.177, 349.037, 346.456, 344.655, 343.18, 342.154, 341.311, 340.701, 340.188, 339.771, 339.404, 339.048, 338.716, 338.342, 337.979, 337.544, 337.114, 336.595, 336.08, 335.473, 334.867, 334.179, 333.492, 332.74, 331.988, 331.198, 330.409}	Sw: {0.223511, 0.203495, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2}	Convergence: 0.00780212
