ni, nj, var, dtJac, IterJac, ConvJac, MaxRJac, NormRJac, MaxTrueJac, NormTrueJac, NormDeltaJac, MaxDeltaJac, MaxDeltaOddJac, MaxDeltaEvenJac, GS, dtGS, IterGS, ConvGS, MaxRGS, NormRGS, MaxTrueGS, NormTrueGS, NormDeltaGS, MaxDeltaGS, MaxDeltaOddGS, MaxDeltaEvenGS, SRS08, dtSRS08, IterSRS08, ConvSRS08, MaxRSRS08, NormRSRS08, MaxTrueSRS08, NormTrueSRS08, NormDeltaSRS08, MaxDeltaSRS08, MaxDeltaOddSRS08, MaxDeltaEvenSRS08, SRS12, dtSRS12, IterSRS12, ConvSRS12, MaxRSRS12, NormRSRS12, MaxTrueSRS12, NormTrueSRS12, NormDeltaSRS12, MaxDeltaSRS12, MaxDeltaOddSRS12, MaxDeltaEvenSRS12
3, 1, 6, 0, 67, 8.24752e-06, 0.0204786, 0.0204828, 0, 0, 0.0300039, 0.0201339, 0.0201339, 7.32747e-15, GS, 0, 34, 8.01151e-06, 0.00994516, 0.0110713, 0, 0, 0.0259545, 0.0199835, 0.0199835, 5.32907e-15, SRS0.8, 0, 50, 8.97985e-06, 0.0154999, 0.0198126, 0, 0, 0.049441, 0.0370509, 0.0370509, 8.6875e-15, SRS1.2, 0, 21, 9.76934e-06, 0.00822725, 0.00847307, 0, 0, 0.015963, 0.0128672, 0.0128672, 3.96905e-15
5, 1, 10, 0, 169, 9.90253e-06, 0.0365109, 0.0425901, 5.82077e-11, 8.23181e-11, 0.161832, 0.0923175, 0.0923175, 2.30593e-13, GS, 0, 85, 9.02198e-06, 0.0179055, 0.0253018, 5.82077e-11, 8.23181e-11, 0.148767, 0.0919718, 0.0919718, 2.03643e-13, SRS0.8, 0, 122, 9.93223e-06, 0.0259267, 0.0423042, 5.82077e-11, 8.23181e-11, 0.254282, 0.154176, 0.154176, 2.90545e-13, SRS1.2, 0, 57, 9.63802e-06, 0.0154812, 0.0184032, 5.82077e-11, 8.23181e-11, 0.0991263, 0.0631441, 0.0631441, 1.70974e-13
9, 1, 18, 1, 489, 9.96364e-06, 0.058673, 0.0884794, 1.45519e-11, 2.05795e-11, 1.07006, 0.480257, 0.480257, 1.17214e-11, GS, 2, 244, 9.76427e-06, 0.0304789, 0.0593852, 1.45519e-11, 2.05795e-11, 1.0567, 0.495438, 0.495438, 1.18057e-11, SRS0.8, 2, 348, 9.97604e-06, 0.0444846, 0.0909998, 1.45519e-11, 2.05795e-11, 1.62851, 0.754368, 0.754368, 1.50742e-11, SRS1.2, 0, 169, 9.87094e-06, 0.025893, 0.0408181, 1.45519e-11, 2.05795e-11, 0.703818, 0.33602, 0.33602, 9.94688e-12
10, 1, 20, 3, 589, 9.96851e-06, 0.0639432, 0.101489, 4.36557e-11, 4.4852e-11, 1.53983, 0.659847, 0.659847, 2.38936e-11, GS, 1, 294, 9.98533e-06, 0.0337217, 0.0696839, 4.36557e-11, 4.4852e-11, 1.5186, 0.676556, 0.676556, 2.45899e-11, SRS0.8, 1, 420, 9.93753e-06, 0.0482181, 0.103716, 4.36557e-11, 4.4852e-11, 2.27007, 1.00026, 1.00026, 3.04496e-11, SRS1.2, 0, 205, 9.76571e-06, 0.0278557, 0.0464224, 4.36557e-11, 4.4852e-11, 0.9855, 0.446358, 0.446358, 2.01786e-11
15, 1, 30, 11, 1186, 9.96127e-06, 0.0868595, 0.168027, 7.27596e-12, 1.36121e-11, 6.66638, 2.38313, 2.38313, 7.07985e-11, GS, 4, 605, 9.93378e-06, 0.045863, 0.118842, 7.27596e-12, 1.36121e-11, 5.69798, 2.08073, 2.08073, 3.82151e-10, SRS0.8, 7, 857, 9.94065e-06, 0.0674006, 0.177682, 7.27596e-12, 1.36121e-11, 8.52941, 3.09096, 3.09096, 4.74046e-10, SRS1.2, 5, 425, 9.876e-06, 0.0385626, 0.0800121, 7.27596e-12, 1.36121e-11, 3.78682, 1.39872, 1.39872, 3.2047e-10
20, 1, 40, 24, 1863, 9.97318e-06, 0.11074, 0.289837, 5.45697e-12, 1.48891e-11, 23.3662, 7.26673, 7.26673, 2.59809e-09, GS, 13, 1000, 9.98454e-06, 0.0578989, 0.176141, 5.45697e-12, 1.48891e-11, 14.8679, 4.70791, 4.70791, 2.72276e-09, SRS0.8, 19, 1408, 9.99814e-06, 0.0861219, 0.263523, 5.45697e-12, 1.48891e-11, 22.2471, 7.00337, 7.00337, 3.37735e-09, SRS1.2, 8, 707, 9.91684e-06, 0.0485714, 0.118072, 5.45697e-12, 1.48891e-11, 9.88911, 3.15891, 3.15891, 2.28218e-09
25, 1, 50, 41, 2000, 3.78279e-05, 0.498616, 1.65833, 3.63798e-12, 3.63798e-12, 214.78, 59.9896, 59.9896, 4.43992e-08, GS, 31, 1469, 9.99591e-06, 0.0698809, 0.239075, 3.63798e-12, 3.63798e-12, 31.3744, 8.89049, 8.89049, 1.25102e-08, SRS0.8, 39, 2000, 1.1759e-05, 0.122048, 0.419621, 3.63798e-12, 3.63798e-12, 55.0466, 15.5242, 15.5242, 1.81894e-08, SRS1.2, 20, 1043, 9.97382e-06, 0.0584031, 0.160782, 3.63798e-12, 3.63798e-12, 20.9937, 5.99147, 5.99147, 1.0546e-08
30, 1, 60, 70, 2000, 9.41073e-05, 1.39339, 5.29971, 3.63798e-12, 4.54747e-12, 989.342, 252.88, 252.88, 3.66874e-07, GS, 61, 2000, 1.01234e-05, 0.0827551, 0.311055, 3.63798e-12, 4.54747e-12, 58.624, 15.1686, 15.1686, 4.41259e-08, SRS0.8, 69, 2000, 4.54296e-05, 0.540819, 2.04584, 3.63798e-12, 4.54747e-12, 385.28, 99.2861, 99.2861, 2.40007e-07, SRS1.2, 52, 1429, 9.96679e-06, 0.0675364, 0.206165, 3.63798e-12, 4.54747e-12, 38.7286, 10.0816, 10.0816, 3.67559e-08
35, 1, 70, 123, 2000, 0.00015993, 2.51987, 10.433, 1.81899e-12, 5.38064e-12, 2648.57, 627.81, 627.81, 1.64079e-06, GS, 142, 2000, 3.47383e-05, 0.320758, 1.30542, 1.81899e-12, 5.38064e-12, 334.423, 80.1247, 80.1247, 4.30625e-07, SRS0.8, 102, 2000, 9.71467e-05, 1.26441, 5.18647, 1.81899e-12, 5.38064e-12, 1327.18, 316.851, 316.851, 1.41069e-06, SRS1.2, 83, 1859, 9.98336e-06, 0.0765424, 0.255466, 1.81899e-12, 5.38064e-12, 65.3182, 15.7329, 15.7329, 1.06284e-07
40, 1, 80, 110, 2000, 0.000224001, 3.58767, 15.9053, 3.63798e-12, 8.10931e-12, 5270.19, 1169.94, 1169.94, 5.06605e-06, GS, 228, 2000, 7.3819e-05, 0.745262, 3.24891, 3.63798e-12, 8.10931e-12, 1086.57, 243.558, 243.558, 2.2272e-06, SRS0.8, 221, 2000, 0.000155075, 2.12233, 9.31428, 3.63798e-12, 8.10931e-12, 3110.43, 694.973, 694.973, 5.24068e-06, SRS1.2, 210, 2000, 2.19689e-05, 0.186273, 0.673054, 3.63798e-12, 8.10931e-12, 224.913, 50.657, 50.657, 5.84774e-07
45, 1, 90, 258, 2000, 0.000282856, 4.45302, 20.9454, 5.45697e-12, 6.415e-12, 8779.58, 1839.16, 1839.16, 1.22809e-05, GS, 285, 2000, 0.000120736, 1.29193, 5.98338, 5.45697e-12, 6.415e-12, 2533.02, 535.412, 535.412, 7.82192e-06, SRS0.8, 269, 2000, 0.000211719, 2.9454, 13.7212, 5.45697e-12, 6.415e-12, 5797.68, 1221.83, 1221.83, 1.46267e-05, SRS1.2, 282, 2000, 4.87726e-05, 0.446383, 1.7338, 5.45697e-12, 6.415e-12, 734.122, 155.865, 155.865, 2.89163e-06
50, 1, 100, 336, 2000, 0.000335959, 5.08921, 25.2245, 7.27596e-12, 1.18605e-11, 13049.4, 2595.14, 2595.14, 2.51216e-05, GS, 180, 2000, 0.000169585, 1.87298, 9.15616, 7.27596e-12, 1.18605e-11, 4788.38, 960.436, 960.436, 2.13278e-05, SRS0.8, 162, 2000, 0.000264362, 3.64304, 17.9016, 7.27596e-12, 1.18605e-11, 9340.03, 1868.08, 1868.08, 3.37112e-05, SRS1.2, 165, 2000, 8.41004e-05, 0.811794, 3.3721, 7.27596e-12, 1.18605e-11, 1765.41, 355.6, 355.6, 1.01051e-05
60, 1, 120, 258, 2000, 0.000429281, 5.80232, 31.3989, 5.00222e-12, 1.45927e-11, 23383.2, 4250.63, 4250.63, 7.40571e-05, GS, 280, 2000, 0.000261944, 2.89907, 15.5639, 5.00222e-12, 1.45927e-11, 11745.6, 2152.21, 2152.21, 9.85116e-05, SRS0.8, 212, 2000, 0.000357581, 4.58941, 24.7234, 5.00222e-12, 1.45927e-11, 18599, 3398.8, 3398.8, 0.000123673, SRS1.2, 211, 2000, 0.000165303, 1.66533, 7.83623, 5.00222e-12, 1.45927e-11, 5927.57, 1090.6, 1090.6, 6.51731e-05
70, 1, 140, 276, 2000, 0.000507559, 6.06849, 35.0339, 5.68434e-12, 1.82636e-11, 35505.5, 5987.45, 5987.45, 0.000158748, GS, 404, 2000, 0.000343835, 3.60366, 20.9635, 5.68434e-12, 1.82636e-11, 21581, 3665.27, 3665.27, 0.000308668, SRS0.8, 317, 2000, 0.000439562, 5.05672, 29.3617, 5.68434e-12, 1.82636e-11, 30122.9, 5103.38, 5103.38, 0.00033328, SRS1.2, 372, 2000, 1.81158, 5.85558e+183, 1e+200, 5.68434e-12, 1.82636e-11, 1e+200, 1.83911e+183, 1.83911e+183, 5.12761e+179
80, 1, 160, 374, 2000, 26.0519, 1.94254e+182, 1e+200, 8.18545e-12, 2.06325e-11, 1e+200, 6.24238e+181, 6.24238e+181, 1.98639e+177, GS, 718, 2000, 269.167, 1.22008e+112, 1.72545e+112, 8.18545e-12, 2.06325e-11, 3.48266e+111, 3.48266e+111, 3.48266e+111, 1.29375e+108, SRS0.8, 772, 2000, 0.000512624, 5.2477, 32.3017, 8.18545e-12, 2.06325e-11, 43348.6, 6886.88, 6886.88, 0.000746722, SRS1.2, 402, 1045, 0, 1e+200, 1e+200, 8.18545e-12, 2.06325e-11, 1e+200, 1e+200, 1e+200, 1e+200
90, 1, 180, 674, 1470, 0, 1e+200, 1e+200, 8.18545e-12, 2.65925e-11, 1e+200, 1e+200, 1e+200, 1e+200, GS, 612, 1092, 0, 1e+200, 1e+200, 8.18545e-12, 2.65925e-11, 1e+200, 1e+200, 1e+200, 1e+200, SRS0.8, 581, 2000, 0.00057413, 5.48585, 34.1431, 8.18545e-12, 2.65925e-11, 57922.8, 8711.39, 8711.39, 0.00148946, SRS1.2, 145, 626, 0, 1e+200, 1e+200, 8.18545e-12, 2.65925e-11, 1e+200, 1e+200, 1e+200, 1e+200
100, 1, 200, 289, 975, 0, 1e+200, 1e+200, 1.18234e-11, 2.61808e-11, 1e+200, 1e+200, 1e+200, 1e+200, GS, 178, 629, 0, 1e+200, 1e+200, 1.18234e-11, 2.61808e-11, 1e+200, 1e+200, 1e+200, 1e+200, SRS0.8, 552, 1978, 0, 1e+200, 1e+200, 1.18234e-11, 2.61808e-11, 1e+200, 1e+200, 1e+200, 1e+200, SRS1.2, 128, 452, 0, 1e+200, 1e+200, 1.18234e-11, 2.61808e-11, 1e+200, 1e+200, 1e+200, 1e+200
3, 3, 18, 1, 295, 9.86464e-06, 0.0375623, 0.0695144, 2.32831e-10, 4.65661e-10, 0.320875, 0.119069, 0.119069, 1.40166e-14, GS, 0, 147, 9.66064e-06, 0.0255165, 0.0497072, 2.32831e-10, 4.65661e-10, 0.318635, 0.12519, 0.12519, 6.7446e-15, SRS0.8, 0, 210, 9.87607e-06, 0.0340437, 0.0744835, 2.32831e-10, 4.65661e-10, 0.499845, 0.193414, 0.193414, 8.77076e-15, SRS1.2, 0, 102, 9.25781e-06, 0.0200921, 0.0337317, 2.32831e-10, 4.65661e-10, 0.195385, 0.0785806, 0.0785806, 5.2458e-15
5, 5, 50, 17, 942, 9.91152e-06, 0.0547063, 0.145319, 1.45519e-10, 2.41755e-10, 2.21895, 0.496467, 0.496467, 8.71525e-15, GS, 10, 468, 9.90153e-06, 0.0281779, 0.105231, 1.45519e-10, 2.41755e-10, 2.2619, 0.517049, 0.517049, 1.60233e-13, SRS0.8, 15, 660, 9.95426e-06, 0.0408757, 0.156561, 1.45519e-10, 2.41755e-10, 3.42881, 0.777282, 0.777282, 2.01283e-13, SRS1.2, 6, 330, 9.81297e-06, 0.0233604, 0.0719417, 1.45519e-10, 2.41755e-10, 1.48011, 0.342614, 0.342614, 1.32339e-13
9, 9, 162, 365, 2000, 6.59189e-05, 0.382481, 2.01977, 7.27596e-11, 2.24967e-10, 116.659, 14.2817, 14.2817, 7.46938e-11, GS, 504, 1540, 9.99299e-06, 0.0300206, 0.222287, 7.27596e-11, 2.24967e-10, 18.3233, 2.27305, 2.27305, 5.81421e-12, SRS0.8, 783, 2000, 1.36077e-05, 0.0605735, 0.449402, 7.27596e-11, 2.24967e-10, 37.3431, 4.61338, 4.61338, 9.83993e-12, SRS1.2, 441, 1104, 9.98955e-06, 0.0251401, 0.150849, 7.27596e-11, 2.24967e-10, 12.1971, 1.52249, 1.52249, 4.86503e-12
