t, dt, MaxDpr, MaxDsw, Qo, Qw, Gauss
0.100, 0.1, 657.807, 0.0031055, 346.53, 0.00, 3
0.220, 0.12, 0.92932, 0.00370067, 346.53, 0.00, 6
0.364, 0.144, 0.489486, 0.00437371, 346.53, 0.00, 9
0.464, 0.1, 0.0558019, 0.00299257, 346.53, 0.00, 16
0.584, 0.12, 0.465714, 0.00351298, 346.53, 0.00, 20
0.684, 0.1, 0.690329, 0.00286512, 346.53, 0.00, 28
0.784, 0.1, 0.928055, 0.00279699, 346.53, 0.00, 36
0.884, 0.1, 1.12861, 0.00272452, 346.53, 0.00, 44
0.984, 0.1, 1.29148, 0.0026491, 346.53, 0.00, 52
1.084, 0.1, 1.41812, 0.00257195, 346.53, 0.00, 60
1.184, 0.1, 1.51139, 0.00249416, 346.53, 0.00, 68
1.284, 0.1, 1.57502, 0.00241663, 346.53, 0.00, 76
1.384, 0.1, 1.61315, 0.0023401, 346.53, 0.00, 84
1.484, 0.1, 1.62997, 0.00226513, 346.53, 0.00, 92
1.584, 0.1, 1.62948, 0.00219218, 346.53, 0.00, 100
1.684, 0.1, 1.61532, 0.00212153, 346.53, 0.00, 108
1.784, 0.1, 1.59067, 0.00205341, 346.53, 0.00, 116
1.884, 0.1, 1.5583, 0.00198794, 346.53, 0.00, 124
1.984, 0.1, 1.52051, 0.00192519, 346.53, 0.00, 132
2.084, 0.1, 1.47917, 0.00186515, 346.53, 0.00, 140
2.184, 0.1, 1.43582, 0.00180779, 346.53, 0.00, 148
2.284, 0.1, 1.39166, 0.00175307, 346.53, 0.00, 156
2.384, 0.1, 1.34762, 0.00170089, 346.53, 0.00, 164
2.484, 0.1, 1.30442, 0.00165117, 346.53, 0.00, 172
2.584, 0.1, 1.26257, 0.0016038, 346.53, 0.00, 180
2.684, 0.1, 1.22245, 0.00155868, 346.53, 0.00, 188
2.784, 0.1, 1.1843, 0.00151569, 346.53, 0.00, 196
2.884, 0.1, 1.14827, 0.00147473, 346.53, 0.00, 204
2.984, 0.1, 1.11443, 0.00143569, 346.53, 0.00, 212
3.084, 0.1, 1.08281, 0.00139846, 346.53, 0.00, 220
3.184, 0.1, 1.05335, 0.00136295, 346.53, 0.00, 228
3.284, 0.1, 1.02598, 0.00132905, 346.53, 0.00, 236
3.384, 0.1, 1.00062, 0.00129668, 346.53, 0.00, 244
3.484, 0.1, 0.97715, 0.00126576, 346.53, 0.00, 252
3.584, 0.1, 0.955436, 0.00123619, 346.53, 0.00, 260
3.684, 0.1, 0.935346, 0.0012079, 346.53, 0.00, 268
3.784, 0.1, 0.916744, 0.00118083, 346.53, 0.00, 276
3.884, 0.1, 0.899492, 0.00115489, 346.53, 0.00, 284
3.984, 0.1, 0.883455, 0.00113003, 346.53, 0.00, 292
4.084, 0.1, 0.868504, 0.00110619, 346.53, 0.00, 300
4.184, 0.1, 0.854514, 0.00108331, 346.53, 0.00, 308
4.284, 0.1, 0.84137, 0.00106134, 346.53, 0.00, 316
4.404, 0.12, 0.991638, 0.00124338, 346.53, 0.00, 320
4.504, 0.1, 0.814949, 0.001016, 346.53, 0.00, 328
4.624, 0.12, 0.961734, 0.00119145, 346.53, 0.00, 332
4.724, 0.1, 0.791101, 0.000974352, 346.53, 0.00, 340
4.844, 0.12, 0.934385, 0.00114366, 346.53, 0.00, 344
4.944, 0.1, 0.769032, 0.000935971, 346.53, 0.00, 352
5.064, 0.12, 0.908772, 0.00109956, 346.53, 0.00, 356
5.164, 0.1, 0.748152, 0.000900508, 346.53, 0.00, 364
5.284, 0.12, 0.8843, 0.00105875, 346.53, 0.00, 368
5.384, 0.1, 0.728043, 0.000867654, 346.53, 0.00, 376
5.504, 0.12, 0.860566, 0.0010209, 346.53, 0.00, 380
5.604, 0.1, 0.70844, 0.000837143, 346.53, 0.00, 388
5.724, 0.12, 0.837328, 0.000985695, 346.53, 0.00, 392
5.868, 0.144, 0.986633, 0.00115682, 346.53, 0.00, 396
5.968, 0.1, 0.67679, 0.00079173, 346.53, 0.00, 404
6.088, 0.12, 0.79973, 0.00093998, 346.53, 0.00, 408
6.232, 0.144, 0.942048, 0.00111315, 346.53, 0.00, 412
6.332, 0.1, 0.645848, 0.000765763, 346.53, 0.00, 419
6.452, 0.12, 0.763228, 0.000908369, 346.53, 0.00, 423
6.596, 0.144, 0.898748, 0.00107475, 346.53, 0.00, 427
6.696, 0.1, 0.616002, 0.000738932, 346.53, 0.00, 434
6.816, 0.12, 0.727906, 0.000876023, 346.53, 0.00, 438
6.960, 0.144, 0.857163, 0.00103585, 346.53, 0.00, 442
7.060, 0.1, 0.587468, 0.00071193, 346.53, 0.00, 449
7.180, 0.12, 0.694281, 0.000843694, 346.53, 0.00, 453
7.324, 0.144, 0.817788, 0.000997256, 346.53, 0.00, 457
7.497, 0.1728, 0.960114, 0.0011751, 346.53, 0.00, 461
7.600, 0.10368, 0.568446, 0.000697339, 346.53, 0.00, 468
7.725, 0.124416, 0.671849, 0.000825807, 346.53, 0.00, 472
7.874, 0.149299, 0.791541, 0.000975354, 346.53, 0.00, 476
8.053, 0.179159, 0.929724, 0.00114836, 346.53, 0.00, 480
8.161, 0.107495, 0.550664, 0.00068117, 346.53, 0.00, 487
8.290, 0.128995, 0.651185, 0.000806276, 346.53, 0.00, 491
8.445, 0.154793, 0.767794, 0.000951811, 346.53, 0.00, 495
8.630, 0.185752, 0.902797, 0.00112007, 346.53, 0.00, 499
8.742, 0.111451, 0.535166, 0.000664216, 346.53, 0.00, 506
8.876, 0.133742, 0.633316, 0.000785993, 346.53, 0.00, 509
9.036, 0.16049, 0.747845, 0.000927607, 346.53, 0.00, 513
9.229, 0.192588, 0.880483, 0.0010913, 346.53, 0.00, 517
9.344, 0.115553, 0.522513, 0.000647072, 346.53, 0.00, 524
9.483, 0.138663, 0.61901, 0.000765611, 346.53, 0.00, 527
9.649, 0.166396, 0.731882, 0.000903456, 346.53, 0.00, 531
9.849, 0.199675, 0.863005, 0.0010628, 346.53, 0.00, 535
9.969, 0.119805, 0.512709, 0.000630161, 346.53, 0.00, 542
10.113, 0.143766, 0.608008, 0.000745599, 346.53, 0.00, 545
10.285, 0.172519, 0.719685, 0.000879859, 346.53, 0.00, 549
10.492, 0.207023, 0.849707, 0.00103511, 346.53, 0.00, 553
10.616, 0.124214, 0.505252, 0.000613774, 346.53, 0.00, 560
10.765, 0.149057, 0.599612, 0.000726714, 346.53, 0.00, 563
10.944, 0.178868, 0.710298, 0.000870649, 346.53, 0.00, 567
11.159, 0.214641, 0.839298, 0.0010416, 346.53, 0.00, 571
11.416, 0.25757, 0.989239, 0.00124354, 346.53, 0.00, 575
11.571, 0.154542, 0.587657, 0.000743342, 346.53, 0.00, 582
11.756, 0.18545, 0.696484, 0.000887453, 346.53, 0.00, 586
11.979, 0.22254, 0.823262, 0.00105749, 346.53, 0.00, 590
12.246, 0.267048, 0.970501, 0.0012569, 346.53, 0.00, 594
12.406, 0.160229, 0.576497, 0.000749427, 346.53, 0.00, 601
12.598, 0.192275, 0.683169, 0.000892133, 346.53, 0.00, 605
12.829, 0.23073, 0.807318, 0.00105961, 346.53, 0.00, 609
13.106, 0.276876, 0.951293, 0.0012549, 346.53, 0.00, 613
13.272, 0.166125, 0.564834, 0.000746707, 346.53, 0.00, 620
13.472, 0.199351, 0.669078, 0.000886849, 346.53, 0.00, 624
13.711, 0.239221, 0.790264, 0.00105064, 346.53, 0.00, 628
13.998, 0.287065, 0.930635, 0.00124077, 346.53, 0.00, 632
14.170, 0.172239, 0.552288, 0.000737144, 346.53, 0.00, 639
14.377, 0.206687, 0.653974, 0.00087395, 346.53, 0.00, 643
14.625, 0.248024, 0.772115, 0.00103335, 346.53, 0.00, 647
14.922, 0.297629, 0.908928, 0.00121781, 346.53, 0.00, 651
15.101, 0.178577, 0.53926, 0.000722668, 346.53, 0.00, 658
15.315, 0.214293, 0.638483, 0.000855692, 346.53, 0.00, 662
15.572, 0.257151, 0.753803, 0.00101036, 346.53, 0.00, 666
15.881, 0.308581, 0.887478, 0.00118898, 346.53, 0.00, 670
16.066, 0.185149, 0.526604, 0.000705943, 346.53, 0.00, 677
16.288, 0.222179, 0.623667, 0.000836944, 346.53, 0.00, 681
16.555, 0.266614, 0.736626, 0.00098967, 346.53, 0.00, 685
16.875, 0.319937, 0.867812, 0.00116658, 346.53, 0.00, 689
17.067, 0.191962, 0.515207, 0.000692386, 346.53, 0.00, 696
17.297, 0.230355, 0.610429, 0.000820048, 346.53, 0.00, 699
17.574, 0.276426, 0.721776, 0.000968631, 346.53, 0.00, 703
17.905, 0.331711, 0.851038, 0.00114045, 346.53, 0.00, 707
18.104, 0.199027, 0.505635, 0.00067645, 346.53, 0.00, 714
18.343, 0.238832, 0.599535, 0.000800619, 346.53, 0.00, 717
18.630, 0.286598, 0.709515, 0.000944978, 346.53, 0.00, 721
18.974, 0.343918, 0.837457, 0.00111174, 346.53, 0.00, 725
19.386, 0.412702, 0.986005, 0.00130292, 346.53, 0.00, 729
19.634, 0.247621, 0.585462, 0.000782258, 346.53, 0.00, 736
19.931, 0.297145, 0.693554, 0.000940365, 346.53, 0.00, 740
20.288, 0.356574, 0.819425, 0.00112892, 346.53, 0.00, 744
20.716, 0.427889, 0.965694, 0.00135239, 346.53, 0.00, 748
20.972, 0.256733, 0.573733, 0.000809799, 346.53, 0.00, 755
21.280, 0.30808, 0.679931, 0.000968467, 346.53, 0.00, 759
21.650, 0.369696, 0.803624, 0.00115589, 346.53, 0.00, 763
22.094, 0.443635, 0.947285, 0.00137571, 346.53, 0.00, 767
22.360, 0.266181, 0.562815, 0.000820721, 346.53, 0.00, 774
