Using Fixed-Point.
t=0.100, dt=0.1, MaxDpr=657.807, MaxDsw=0.0031055, Qo=346.53, Qw=0.00, Gauss=3
t=0.220, dt=0.12, MaxDpr=0.92932, MaxDsw=0.00370067, Qo=346.53, Qw=0.00, Gauss=6
t=0.364, dt=0.144, MaxDpr=0.489486, MaxDsw=0.00437371, Qo=346.53, Qw=0.00, Gauss=9
t=0.464, dt=0.1, MaxDpr=0.0558019, MaxDsw=0.00299257, Qo=346.53, Qw=0.00, Gauss=16
t=0.584, dt=0.12, MaxDpr=0.465714, MaxDsw=0.00351298, Qo=346.53, Qw=0.00, Gauss=20
t=0.684, dt=0.1, MaxDpr=0.690329, MaxDsw=0.00286512, Qo=346.53, Qw=0.00, Gauss=28
t=0.784, dt=0.1, MaxDpr=0.928055, MaxDsw=0.00279699, Qo=346.53, Qw=0.00, Gauss=36
t=0.884, dt=0.1, MaxDpr=1.12861, MaxDsw=0.00272452, Qo=346.53, Qw=0.00, Gauss=44
t=0.984, dt=0.1, MaxDpr=1.29148, MaxDsw=0.0026491, Qo=346.53, Qw=0.00, Gauss=52
t=1.084, dt=0.1, MaxDpr=1.41812, MaxDsw=0.00257195, Qo=346.53, Qw=0.00, Gauss=60
t=1.184, dt=0.1, MaxDpr=1.51139, MaxDsw=0.00249416, Qo=346.53, Qw=0.00, Gauss=68
t=1.284, dt=0.1, MaxDpr=1.57502, MaxDsw=0.00241663, Qo=346.53, Qw=0.00, Gauss=76
t=1.384, dt=0.1, MaxDpr=1.61315, MaxDsw=0.0023401, Qo=346.53, Qw=0.00, Gauss=84
t=1.484, dt=0.1, MaxDpr=1.62997, MaxDsw=0.00226513, Qo=346.53, Qw=0.00, Gauss=92
t=1.584, dt=0.1, MaxDpr=1.62948, MaxDsw=0.00219218, Qo=346.53, Qw=0.00, Gauss=100
t=1.684, dt=0.1, MaxDpr=1.61532, MaxDsw=0.00212153, Qo=346.53, Qw=0.00, Gauss=108
t=1.784, dt=0.1, MaxDpr=1.59067, MaxDsw=0.00205341, Qo=346.53, Qw=0.00, Gauss=116
t=1.884, dt=0.1, MaxDpr=1.5583, MaxDsw=0.00198794, Qo=346.53, Qw=0.00, Gauss=124
t=1.984, dt=0.1, MaxDpr=1.52051, MaxDsw=0.00192519, Qo=346.53, Qw=0.00, Gauss=132
t=2.084, dt=0.1, MaxDpr=1.47917, MaxDsw=0.00186515, Qo=346.53, Qw=0.00, Gauss=140
t=2.184, dt=0.1, MaxDpr=1.43582, MaxDsw=0.00180779, Qo=346.53, Qw=0.00, Gauss=148
t=2.284, dt=0.1, MaxDpr=1.39166, MaxDsw=0.00175307, Qo=346.53, Qw=0.00, Gauss=156
t=2.384, dt=0.1, MaxDpr=1.34762, MaxDsw=0.00170089, Qo=346.53, Qw=0.00, Gauss=164
t=2.484, dt=0.1, MaxDpr=1.30442, MaxDsw=0.00165117, Qo=346.53, Qw=0.00, Gauss=172
t=2.584, dt=0.1, MaxDpr=1.26257, MaxDsw=0.0016038, Qo=346.53, Qw=0.00, Gauss=180
t=2.684, dt=0.1, MaxDpr=1.22245, MaxDsw=0.00155868, Qo=346.53, Qw=0.00, Gauss=188
t=2.784, dt=0.1, MaxDpr=1.1843, MaxDsw=0.00151569, Qo=346.53, Qw=0.00, Gauss=196
t=2.884, dt=0.1, MaxDpr=1.14827, MaxDsw=0.00147473, Qo=346.53, Qw=0.00, Gauss=204
t=2.984, dt=0.1, MaxDpr=1.11443, MaxDsw=0.00143569, Qo=346.53, Qw=0.00, Gauss=212
t=3.084, dt=0.1, MaxDpr=1.08281, MaxDsw=0.00139846, Qo=346.53, Qw=0.00, Gauss=220
t=3.184, dt=0.1, MaxDpr=1.05335, MaxDsw=0.00136295, Qo=346.53, Qw=0.00, Gauss=228
t=3.284, dt=0.1, MaxDpr=1.02598, MaxDsw=0.00132905, Qo=346.53, Qw=0.00, Gauss=236
t=3.384, dt=0.1, MaxDpr=1.00062, MaxDsw=0.00129668, Qo=346.53, Qw=0.00, Gauss=244
t=3.484, dt=0.1, MaxDpr=0.97715, MaxDsw=0.00126576, Qo=346.53, Qw=0.00, Gauss=252
t=3.584, dt=0.1, MaxDpr=0.955436, MaxDsw=0.00123619, Qo=346.53, Qw=0.00, Gauss=260
t=3.684, dt=0.1, MaxDpr=0.935346, MaxDsw=0.0012079, Qo=346.53, Qw=0.00, Gauss=268
t=3.784, dt=0.1, MaxDpr=0.916744, MaxDsw=0.00118083, Qo=346.53, Qw=0.00, Gauss=276
t=3.884, dt=0.1, MaxDpr=0.899492, MaxDsw=0.00115489, Qo=346.53, Qw=0.00, Gauss=284
t=3.984, dt=0.1, MaxDpr=0.883455, MaxDsw=0.00113003, Qo=346.53, Qw=0.00, Gauss=292
t=4.084, dt=0.1, MaxDpr=0.868504, MaxDsw=0.00110619, Qo=346.53, Qw=0.00, Gauss=300
t=4.184, dt=0.1, MaxDpr=0.854514, MaxDsw=0.00108331, Qo=346.53, Qw=0.00, Gauss=308
t=4.284, dt=0.1, MaxDpr=0.84137, MaxDsw=0.00106134, Qo=346.53, Qw=0.00, Gauss=316
