Using Fixed-Point.
t=0.100, dt=0.1, MaxDpr=636.846, MaxDsw=0.00251702, Qo=346.53, Qw=0.00, Gauss=3
t=0.220, dt=0.12, MaxDpr=0.849097, MaxDsw=0.00300663, Qo=346.53, Qw=0.00, Gauss=6
t=0.364, dt=0.144, MaxDpr=0.609385, MaxDsw=0.0035719, Qo=346.53, Qw=0.00, Gauss=9
t=0.537, dt=0.1728, MaxDpr=0.14298, MaxDsw=0.00420825, Qo=346.53, Qw=0.00, Gauss=13
t=0.744, dt=0.20736, MaxDpr=0.616147, MaxDsw=0.00489912, Qo=346.53, Qw=0.00, Gauss=17
t=0.869, dt=0.124416, MaxDpr=0.742056, MaxDsw=0.00287496, Qo=346.53, Qw=0.00, Gauss=25
t=0.969, dt=0.1, MaxDpr=0.770935, MaxDsw=0.00226564, Qo=346.53, Qw=0.00, Gauss=33
t=1.069, dt=0.1, MaxDpr=0.903379, MaxDsw=0.0022182, Qo=346.53, Qw=0.00, Gauss=41
t=1.169, dt=0.1, MaxDpr=1.01559, MaxDsw=0.00216903, Qo=346.53, Qw=0.00, Gauss=49
t=1.269, dt=0.1, MaxDpr=1.10805, MaxDsw=0.00211871, Qo=346.53, Qw=0.00, Gauss=57
t=1.369, dt=0.1, MaxDpr=1.1818, MaxDsw=0.00206772, Qo=346.53, Qw=0.00, Gauss=65
t=1.469, dt=0.1, MaxDpr=1.23828, MaxDsw=0.00201651, Qo=346.53, Qw=0.00, Gauss=73
t=1.569, dt=0.1, MaxDpr=1.27916, MaxDsw=0.00196547, Qo=346.53, Qw=0.00, Gauss=81
t=1.669, dt=0.1, MaxDpr=1.30628, MaxDsw=0.00191492, Qo=346.53, Qw=0.00, Gauss=89
t=1.769, dt=0.1, MaxDpr=1.32145, MaxDsw=0.00186511, Qo=346.53, Qw=0.00, Gauss=97
t=1.869, dt=0.1, MaxDpr=1.32646, MaxDsw=0.00181628, Qo=346.53, Qw=0.00, Gauss=105
t=1.969, dt=0.1, MaxDpr=1.32298, MaxDsw=0.00176857, Qo=346.53, Qw=0.00, Gauss=113
t=2.069, dt=0.1, MaxDpr=1.31255, MaxDsw=0.00172212, Qo=346.53, Qw=0.00, Gauss=121
t=2.169, dt=0.1, MaxDpr=1.29654, MaxDsw=0.00167702, Qo=346.53, Qw=0.00, Gauss=129
t=2.269, dt=0.1, MaxDpr=1.27617, MaxDsw=0.00163332, Qo=346.53, Qw=0.00, Gauss=137
t=2.369, dt=0.1, MaxDpr=1.25248, MaxDsw=0.00159107, Qo=346.53, Qw=0.00, Gauss=145
t=2.469, dt=0.1, MaxDpr=1.22638, MaxDsw=0.00155027, Qo=346.53, Qw=0.00, Gauss=153
t=2.569, dt=0.1, MaxDpr=1.19863, MaxDsw=0.00151092, Qo=346.53, Qw=0.00, Gauss=161
t=2.669, dt=0.1, MaxDpr=1.16987, MaxDsw=0.00147301, Qo=346.53, Qw=0.00, Gauss=169
t=2.769, dt=0.1, MaxDpr=1.14063, MaxDsw=0.00143651, Qo=346.53, Qw=0.00, Gauss=177
t=2.869, dt=0.1, MaxDpr=1.11133, MaxDsw=0.0014014, Qo=346.53, Qw=0.00, Gauss=185
