Using Fixed-Point.
t=0.100, dt=0.1, MaxDpr=655.122, MaxDsw=0.00303504, Qo=346.53, Qw=0.00, Gauss=4
t=0.200, dt=0.1, MaxDpr=3.03524, MaxDsw=0.00290982, Qo=346.53, Qw=0.00, Gauss=13
t=0.300, dt=0.1, MaxDpr=3.56866, MaxDsw=0.00276901, Qo=346.53, Qw=0.00, Gauss=23
t=0.400, dt=0.1, MaxDpr=3.71224, MaxDsw=0.0026264, Qo=346.53, Qw=0.00, Gauss=33
t=0.500, dt=0.1, MaxDpr=3.65689, MaxDsw=0.0024889, Qo=346.53, Qw=0.00, Gauss=43
t=0.600, dt=0.1, MaxDpr=3.50586, MaxDsw=0.00235973, Qo=346.53, Qw=0.00, Gauss=52
t=0.700, dt=0.1, MaxDpr=3.31407, MaxDsw=0.00224014, Qo=346.53, Qw=0.00, Gauss=61
t=0.800, dt=0.1, MaxDpr=3.11383, MaxDsw=0.00213024, Qo=346.53, Qw=0.00, Gauss=70
t=0.900, dt=0.1, MaxDpr=2.92015, MaxDsw=0.00202961, Qo=346.53, Qw=0.00, Gauss=78
t=1.000, dt=0.1, MaxDpr=2.74025, MaxDsw=0.00193757, Qo=346.53, Qw=0.00, Gauss=86
t=1.100, dt=0.1, MaxDpr=2.57669, MaxDsw=0.00185337, Qo=346.53, Qw=0.00, Gauss=94
t=1.200, dt=0.1, MaxDpr=2.42962, MaxDsw=0.00177625, Qo=346.53, Qw=0.00, Gauss=102
t=1.300, dt=0.1, MaxDpr=2.29795, MaxDsw=0.00170547, Qo=346.53, Qw=0.00, Gauss=110
t=1.400, dt=0.1, MaxDpr=2.18011, MaxDsw=0.00164037, Qo=346.53, Qw=0.00, Gauss=118
t=1.500, dt=0.1, MaxDpr=2.07441, MaxDsw=0.00158036, Qo=346.53, Qw=0.00, Gauss=126
t=1.600, dt=0.1, MaxDpr=1.97922, MaxDsw=0.00152491, Qo=346.53, Qw=0.00, Gauss=134
t=1.700, dt=0.1, MaxDpr=1.89307, MaxDsw=0.00147353, Qo=346.53, Qw=0.00, Gauss=142
t=1.800, dt=0.1, MaxDpr=1.81469, MaxDsw=0.00142583, Qo=346.53, Qw=0.00, Gauss=150
t=1.900, dt=0.1, MaxDpr=1.74299, MaxDsw=0.00138143, Qo=346.53, Qw=0.00, Gauss=158
t=2.000, dt=0.1, MaxDpr=1.67708, MaxDsw=0.00134001, Qo=346.53, Qw=0.00, Gauss=166
t=2.100, dt=0.1, MaxDpr=1.6162, MaxDsw=0.00130128, Qo=346.53, Qw=0.00, Gauss=174
t=2.200, dt=0.1, MaxDpr=1.55974, MaxDsw=0.001265, Qo=346.53, Qw=0.00, Gauss=182
t=2.300, dt=0.1, MaxDpr=1.50716, MaxDsw=0.00123093, Qo=346.53, Qw=0.00, Gauss=190
t=2.400, dt=0.1, MaxDpr=1.45806, MaxDsw=0.00119889, Qo=346.53, Qw=0.00, Gauss=198
t=2.500, dt=0.1, MaxDpr=1.41208, MaxDsw=0.0011687, Qo=346.53, Qw=0.00, Gauss=206
t=2.600, dt=0.1, MaxDpr=1.36891, MaxDsw=0.0011402, Qo=346.53, Qw=0.00, Gauss=214
t=2.700, dt=0.1, MaxDpr=1.3283, MaxDsw=0.00111325, Qo=346.53, Qw=0.00, Gauss=222
t=2.800, dt=0.1, MaxDpr=1.29003, MaxDsw=0.00108773, Qo=346.53, Qw=0.00, Gauss=230
t=2.900, dt=0.1, MaxDpr=1.25392, MaxDsw=0.00106352, Qo=346.53, Qw=0.00, Gauss=238
t=3.000, dt=0.1, MaxDpr=1.2198, MaxDsw=0.00104053, Qo=346.53, Qw=0.00, Gauss=246
t=3.100, dt=0.1, MaxDpr=1.18751, MaxDsw=0.00101866, Qo=346.53, Qw=0.00, Gauss=254
t=3.200, dt=0.1, MaxDpr=1.15693, MaxDsw=0.000997832, Qo=346.53, Qw=0.00, Gauss=262
t=3.300, dt=0.1, MaxDpr=1.12792, MaxDsw=0.000977972, Qo=346.53, Qw=0.00, Gauss=270
t=3.400, dt=0.1, MaxDpr=1.10038, MaxDsw=0.000959012, Qo=346.53, Qw=0.00, Gauss=278
t=3.500, dt=0.1, MaxDpr=1.07422, MaxDsw=0.00094089, Qo=346.53, Qw=0.00, Gauss=286
t=3.600, dt=0.1, MaxDpr=1.04932, MaxDsw=0.00092355, Qo=346.53, Qw=0.00, Gauss=294
t=3.700, dt=0.1, MaxDpr=1.02561, MaxDsw=0.000906942, Qo=346.53, Qw=0.00, Gauss=302
t=3.800, dt=0.1, MaxDpr=1.00301, MaxDsw=0.000891019, Qo=346.53, Qw=0.00, Gauss=310
t=3.900, dt=0.1, MaxDpr=0.981432, MaxDsw=0.000875737, Qo=346.53, Qw=0.00, Gauss=318
t=4.000, dt=0.1, MaxDpr=0.960821, MaxDsw=0.000861058, Qo=346.53, Qw=0.00, Gauss=326
t=4.100, dt=0.1, MaxDpr=0.941107, MaxDsw=0.000846945, Qo=346.53, Qw=0.00, Gauss=334
t=4.200, dt=0.1, MaxDpr=0.922168, MaxDsw=0.000833369, Qo=346.53, Qw=0.00, Gauss=341
t=4.300, dt=0.1, MaxDpr=0.904145, MaxDsw=0.000820291, Qo=346.53, Qw=0.00, Gauss=348
t=4.400, dt=0.1, MaxDpr=0.886788, MaxDsw=0.000807688, Qo=346.53, Qw=0.00, Gauss=355
t=4.500, dt=0.1, MaxDpr=0.870118, MaxDsw=0.000795532, Qo=346.53, Qw=0.00, Gauss=362
t=4.600, dt=0.1, MaxDpr=0.854093, MaxDsw=0.0007838, Qo=346.53, Qw=0.00, Gauss=369
t=4.700, dt=0.1, MaxDpr=0.838673, MaxDsw=0.000772469, Qo=346.53, Qw=0.00, Gauss=376
t=4.820, dt=0.12, MaxDpr=0.986061, MaxDsw=0.000911264, Qo=346.53, Qw=0.00, Gauss=380
t=4.920, dt=0.1, MaxDpr=0.806693, MaxDsw=0.000748867, Qo=346.53, Qw=0.00, Gauss=387
t=5.040, dt=0.12, MaxDpr=0.949285, MaxDsw=0.00088404, Qo=346.53, Qw=0.00, Gauss=391
t=5.140, dt=0.1, MaxDpr=0.777175, MaxDsw=0.000726902, Qo=346.53, Qw=0.00, Gauss=398
t=5.260, dt=0.12, MaxDpr=0.915177, MaxDsw=0.000858669, Qo=346.53, Qw=0.00, Gauss=401
t=5.360, dt=0.1, MaxDpr=0.749843, MaxDsw=0.000706404, Qo=346.53, Qw=0.00, Gauss=408
t=5.480, dt=0.12, MaxDpr=0.88354, MaxDsw=0.000834954, Qo=346.53, Qw=0.00, Gauss=411
t=5.580, dt=0.1, MaxDpr=0.724358, MaxDsw=0.000687225, Qo=346.53, Qw=0.00, Gauss=418
t=5.700, dt=0.12, MaxDpr=0.854058, MaxDsw=0.000812734, Qo=346.53, Qw=0.00, Gauss=421
t=5.800, dt=0.1, MaxDpr=0.700579, MaxDsw=0.000669235, Qo=346.53, Qw=0.00, Gauss=428
t=5.920, dt=0.12, MaxDpr=0.826514, MaxDsw=0.000791867, Qo=346.53, Qw=0.00, Gauss=431
t=6.064, dt=0.144, MaxDpr=0.972282, MaxDsw=0.000934682, Qo=346.53, Qw=0.00, Gauss=435
t=6.164, dt=0.1, MaxDpr=0.664541, MaxDsw=0.000641809, Qo=346.53, Qw=0.00, Gauss=442
t=6.284, dt=0.12, MaxDpr=0.784748, MaxDsw=0.000760006, Qo=346.53, Qw=0.00, Gauss=445
t=6.428, dt=0.144, MaxDpr=0.924056, MaxDsw=0.000897881, Qo=346.53, Qw=0.00, Gauss=448
t=6.528, dt=0.1, MaxDpr=0.632181, MaxDsw=0.000616907, Qo=346.53, Qw=0.00, Gauss=455
t=6.648, dt=0.12, MaxDpr=0.747086, MaxDsw=0.000731027, Qo=346.53, Qw=0.00, Gauss=458
t=6.792, dt=0.144, MaxDpr=0.880544, MaxDsw=0.000864337, Qo=346.53, Qw=0.00, Gauss=461
