Using Fixed-Point.
t=0.100, dt=0.1, MaxDpr=503.727, MaxDsw=0.00310679, Qo=346.53, Qw=0.00, Gauss=3
t=0.220, dt=0.12, MaxDpr=0.828294, MaxDsw=0.00370809, Qo=346.53, Qw=0.00, Gauss=6
t=0.364, dt=0.144, MaxDpr=0.621735, MaxDsw=0.0043973, Qo=346.53, Qw=0.00, Gauss=9
t=0.464, dt=0.1, MaxDpr=0.189917, MaxDsw=0.00301835, Qo=346.53, Qw=0.00, Gauss=16
t=0.584, dt=0.12, MaxDpr=0.0267619, MaxDsw=0.00355947, Qo=346.53, Qw=0.00, Gauss=20
t=0.728, dt=0.144, MaxDpr=0.371794, MaxDsw=0.00416404, Qo=346.53, Qw=0.00, Gauss=24
t=0.901, dt=0.1728, MaxDpr=0.869012, MaxDsw=0.00481941, Qo=346.53, Qw=0.00, Gauss=28
t=1.004, dt=0.10368, MaxDpr=0.714993, MaxDsw=0.00282192, Qo=346.53, Qw=0.00, Gauss=36
t=1.104, dt=0.1, MaxDpr=0.798996, MaxDsw=0.0026544, Qo=346.53, Qw=0.00, Gauss=44
t=1.204, dt=0.1, MaxDpr=0.886123, MaxDsw=0.00258549, Qo=346.53, Qw=0.00, Gauss=52
t=1.304, dt=0.1, MaxDpr=0.954717, MaxDsw=0.00251583, Qo=346.53, Qw=0.00, Gauss=60
t=1.404, dt=0.1, MaxDpr=1.00631, MaxDsw=0.00244611, Qo=346.53, Qw=0.00, Gauss=68
t=1.504, dt=0.1, MaxDpr=1.04271, MaxDsw=0.00237689, Qo=346.53, Qw=0.00, Gauss=76
t=1.604, dt=0.1, MaxDpr=1.06587, MaxDsw=0.00230865, Qo=346.53, Qw=0.00, Gauss=84
t=1.704, dt=0.1, MaxDpr=1.07774, MaxDsw=0.00224176, Qo=346.53, Qw=0.00, Gauss=92
t=1.804, dt=0.1, MaxDpr=1.08017, MaxDsw=0.00217651, Qo=346.53, Qw=0.00, Gauss=100
t=1.904, dt=0.1, MaxDpr=1.0749, MaxDsw=0.00211313, Qo=346.53, Qw=0.00, Gauss=108
t=2.004, dt=0.1, MaxDpr=1.06347, MaxDsw=0.00205175, Qo=346.53, Qw=0.00, Gauss=116
t=2.104, dt=0.1, MaxDpr=1.04727, MaxDsw=0.00199249, Qo=346.53, Qw=0.00, Gauss=124
t=2.204, dt=0.1, MaxDpr=1.02747, MaxDsw=0.00193538, Qo=346.53, Qw=0.00, Gauss=132
t=2.304, dt=0.1, MaxDpr=1.00507, MaxDsw=0.00188045, Qo=346.53, Qw=0.00, Gauss=140
t=2.404, dt=0.1, MaxDpr=0.980912, MaxDsw=0.00182769, Qo=346.53, Qw=0.00, Gauss=148
t=2.504, dt=0.1, MaxDpr=0.955696, MaxDsw=0.00177707, Qo=346.53, Qw=0.00, Gauss=156
t=2.604, dt=0.1, MaxDpr=0.929984, MaxDsw=0.00172854, Qo=346.53, Qw=0.00, Gauss=164
t=2.704, dt=0.1, MaxDpr=0.904227, MaxDsw=0.00168205, Qo=346.53, Qw=0.00, Gauss=172
t=2.804, dt=0.1, MaxDpr=0.878782, MaxDsw=0.00163751, Qo=346.53, Qw=0.00, Gauss=180
t=2.904, dt=0.1, MaxDpr=0.853925, MaxDsw=0.00159487, Qo=346.53, Qw=0.00, Gauss=188
t=3.024, dt=0.12, MaxDpr=0.990325, MaxDsw=0.00185545, Qo=346.53, Qw=0.00, Gauss=192
t=3.124, dt=0.1, MaxDpr=0.802331, MaxDsw=0.00150745, Qo=346.53, Qw=0.00, Gauss=200
t=3.244, dt=0.12, MaxDpr=0.931677, MaxDsw=0.00175585, Qo=346.53, Qw=0.00, Gauss=204
t=3.344, dt=0.1, MaxDpr=0.755832, MaxDsw=0.00142796, Qo=346.53, Qw=0.00, Gauss=212
t=3.464, dt=0.12, MaxDpr=0.879452, MaxDsw=0.00166523, Qo=346.53, Qw=0.00, Gauss=216
t=3.564, dt=0.1, MaxDpr=0.714853, MaxDsw=0.00135558, Qo=346.53, Qw=0.00, Gauss=224
t=3.684, dt=0.12, MaxDpr=0.833814, MaxDsw=0.00158265, Qo=346.53, Qw=0.00, Gauss=228
t=3.828, dt=0.144, MaxDpr=0.968943, MaxDsw=0.00183926, Qo=346.53, Qw=0.00, Gauss=232
t=3.928, dt=0.1, MaxDpr=0.658857, MaxDsw=0.00124964, Qo=346.53, Qw=0.00, Gauss=240
t=4.048, dt=0.12, MaxDpr=0.771852, MaxDsw=0.00146159, Qo=346.53, Qw=0.00, Gauss=244
t=4.192, dt=0.144, MaxDpr=0.901527, MaxDsw=0.00170213, Qo=346.53, Qw=0.00, Gauss=248
t=4.292, dt=0.1, MaxDpr=0.61539, MaxDsw=0.00115811, Qo=346.53, Qw=0.00, Gauss=256
t=4.412, dt=0.12, MaxDpr=0.72378, MaxDsw=0.00135679, Qo=346.53, Qw=0.00, Gauss=260
t=4.556, dt=0.144, MaxDpr=0.849114, MaxDsw=0.0015831, Qo=346.53, Qw=0.00, Gauss=264
t=4.729, dt=0.1728, MaxDpr=0.993586, MaxDsw=0.0018387, Qo=346.53, Qw=0.00, Gauss=268
t=4.833, dt=0.10368, MaxDpr=0.588512, MaxDsw=0.00108219, Qo=346.53, Qw=0.00, Gauss=276
t=4.957, dt=0.124416, MaxDpr=0.694723, MaxDsw=0.00126962, Qo=346.53, Qw=0.00, Gauss=280
t=5.107, dt=0.149299, MaxDpr=0.818156, MaxDsw=0.00148379, Qo=346.53, Qw=0.00, Gauss=284
t=5.286, dt=0.179159, MaxDpr=0.960973, MaxDsw=0.00172658, Qo=346.53, Qw=0.00, Gauss=288
t=5.393, dt=0.107495, MaxDpr=0.570416, MaxDsw=0.00101732, Qo=346.53, Qw=0.00, Gauss=296
t=5.522, dt=0.128995, MaxDpr=0.674534, MaxDsw=0.00119503, Qo=346.53, Qw=0.00, Gauss=300
