t, dt, MaxDpr, MaxDsw, Qo, Qw, Gauss
0.100, 0.1, 657.807, 0.0031055, 346.53, 0.00, 3
0.220, 0.12, 0.929336, 0.00370067, 346.53, 0.00, 6
0.364, 0.144, 0.489369, 0.00437369, 346.53, 0.00, 9
0.464, 0.1, 0.0558366, 0.00299256, 346.53, 0.00, 15
0.584, 0.12, 0.465557, 0.00351298, 346.53, 0.00, 18
0.684, 0.1, 0.690327, 0.00286512, 346.53, 0.00, 24
0.784, 0.1, 0.928045, 0.00279699, 346.53, 0.00, 30
0.884, 0.1, 1.1286, 0.00272453, 346.53, 0.00, 36
0.984, 0.1, 1.29147, 0.0026491, 346.53, 0.00, 42
1.084, 0.1, 1.41811, 0.00257196, 346.53, 0.00, 48
1.184, 0.1, 1.51138, 0.00249417, 346.53, 0.00, 54
1.284, 0.1, 1.57501, 0.00241664, 346.53, 0.00, 60
1.384, 0.1, 1.61315, 0.0023401, 346.53, 0.00, 66
1.484, 0.1, 1.62997, 0.00226514, 346.53, 0.00, 72
1.584, 0.1, 1.62949, 0.00219218, 346.53, 0.00, 78
1.684, 0.1, 1.61532, 0.00212153, 346.53, 0.00, 84
1.784, 0.1, 1.59068, 0.00205342, 346.53, 0.00, 90
1.884, 0.1, 1.55831, 0.00198795, 346.53, 0.00, 96
1.984, 0.1, 1.52051, 0.00192519, 346.53, 0.00, 102
2.084, 0.1, 1.47918, 0.00186515, 346.53, 0.00, 108
2.184, 0.1, 1.43582, 0.00180779, 346.53, 0.00, 114
2.284, 0.1, 1.39166, 0.00175307, 346.53, 0.00, 120
2.384, 0.1, 1.34763, 0.00170089, 346.53, 0.00, 126
2.484, 0.1, 1.30442, 0.00165117, 346.53, 0.00, 132
2.584, 0.1, 1.26257, 0.00160381, 346.53, 0.00, 138
2.684, 0.1, 1.22245, 0.00155868, 346.53, 0.00, 144
2.784, 0.1, 1.1843, 0.00151569, 346.53, 0.00, 150
2.884, 0.1, 1.14827, 0.00147473, 346.53, 0.00, 156
2.984, 0.1, 1.11444, 0.00143569, 346.53, 0.00, 162
3.084, 0.1, 1.08281, 0.00139846, 346.53, 0.00, 168
3.184, 0.1, 1.05335, 0.00136295, 346.53, 0.00, 174
3.284, 0.1, 1.02599, 0.00132905, 346.53, 0.00, 180
3.384, 0.1, 1.00063, 0.00129668, 346.53, 0.00, 186
3.484, 0.1, 0.977151, 0.00126576, 346.53, 0.00, 192
3.584, 0.1, 0.955437, 0.00123619, 346.53, 0.00, 198
3.684, 0.1, 0.935347, 0.0012079, 346.53, 0.00, 204
3.784, 0.1, 0.916745, 0.00118083, 346.53, 0.00, 210
3.884, 0.1, 0.899493, 0.00115489, 346.53, 0.00, 216
3.984, 0.1, 0.883456, 0.00113003, 346.53, 0.00, 222
4.084, 0.1, 0.868504, 0.00110619, 346.53, 0.00, 228
4.184, 0.1, 0.854514, 0.00108331, 346.53, 0.00, 234
4.284, 0.1, 0.84137, 0.00106134, 346.53, 0.00, 240
4.404, 0.12, 0.991634, 0.00124338, 346.53, 0.00, 243
4.504, 0.1, 0.814954, 0.001016, 346.53, 0.00, 249
4.624, 0.12, 0.96173, 0.00119145, 346.53, 0.00, 252
4.724, 0.1, 0.791105, 0.000974352, 346.53, 0.00, 258
4.844, 0.12, 0.934382, 0.00114366, 346.53, 0.00, 261
4.944, 0.1, 0.769035, 0.000935971, 346.53, 0.00, 267
5.064, 0.12, 0.908769, 0.00109956, 346.53, 0.00, 270
5.164, 0.1, 0.748154, 0.000900507, 346.53, 0.00, 276
5.284, 0.12, 0.884297, 0.00105875, 346.53, 0.00, 279
5.384, 0.1, 0.728046, 0.000867654, 346.53, 0.00, 285
5.504, 0.12, 0.860564, 0.0010209, 346.53, 0.00, 288
5.604, 0.1, 0.708442, 0.000837142, 346.53, 0.00, 294
5.724, 0.12, 0.837325, 0.000985695, 346.53, 0.00, 297
5.868, 0.144, 0.986628, 0.00115682, 346.53, 0.00, 300
5.968, 0.1, 0.676797, 0.000791731, 346.53, 0.00, 306
6.088, 0.12, 0.799727, 0.00093998, 346.53, 0.00, 309
6.232, 0.144, 0.942042, 0.00111315, 346.53, 0.00, 312
6.332, 0.1, 0.645957, 0.000765764, 346.53, 0.00, 318
6.452, 0.12, 0.763123, 0.000908369, 346.53, 0.00, 321
6.596, 0.144, 0.898742, 0.00107475, 346.53, 0.00, 324
6.696, 0.1, 0.616103, 0.000738932, 346.53, 0.00, 330
6.816, 0.12, 0.727809, 0.000876024, 346.53, 0.00, 333
6.960, 0.144, 0.857157, 0.00103585, 346.53, 0.00, 336
7.060, 0.1, 0.587562, 0.00071193, 346.53, 0.00, 342
7.180, 0.12, 0.694193, 0.000843695, 346.53, 0.00, 345
7.324, 0.144, 0.817781, 0.000997256, 346.53, 0.00, 348
7.497, 0.1728, 0.960102, 0.0011751, 346.53, 0.00, 351
7.600, 0.10368, 0.568548, 0.000697339, 346.53, 0.00, 358
7.725, 0.124416, 0.671763, 0.000825807, 346.53, 0.00, 361
7.874, 0.149299, 0.791534, 0.000975354, 346.53, 0.00, 364
8.053, 0.179159, 0.929711, 0.00114836, 346.53, 0.00, 367
8.161, 0.107495, 0.550765, 0.000681169, 346.53, 0.00, 374
8.290, 0.128995, 0.651104, 0.000806276, 346.53, 0.00, 377
8.445, 0.154793, 0.767785, 0.000951811, 346.53, 0.00, 380
8.630, 0.185752, 0.902781, 0.00112007, 346.53, 0.00, 383
8.742, 0.111451, 0.535265, 0.000664215, 346.53, 0.00, 390
8.876, 0.133742, 0.633354, 0.000785991, 346.53, 0.00, 393
9.036, 0.16049, 0.747721, 0.000927607, 346.53, 0.00, 396
9.229, 0.192588, 0.880464, 0.0010913, 346.53, 0.00, 399
9.344, 0.115553, 0.52261, 0.000647071, 346.53, 0.00, 406
9.483, 0.138663, 0.619042, 0.000765609, 346.53, 0.00, 409
9.649, 0.166396, 0.731769, 0.000903456, 346.53, 0.00, 412
9.849, 0.199675, 0.862983, 0.0010628, 346.53, 0.00, 415
9.969, 0.119805, 0.512804, 0.00063016, 346.53, 0.00, 422
10.113, 0.143766, 0.608034, 0.000745597, 346.53, 0.00, 425
10.285, 0.172519, 0.719583, 0.000879859, 346.53, 0.00, 428
10.492, 0.207023, 0.849682, 0.00103511, 346.53, 0.00, 431
10.616, 0.124214, 0.505349, 0.000613773, 346.53, 0.00, 438
10.765, 0.149057, 0.599633, 0.000726718, 346.53, 0.00, 441
10.944, 0.178868, 0.710203, 0.000870648, 346.53, 0.00, 444
11.159, 0.214641, 0.83927, 0.0010416, 346.53, 0.00, 447
11.416, 0.25757, 0.989306, 0.00124353, 346.53, 0.00, 451
11.571, 0.154542, 0.587704, 0.000743345, 346.53, 0.00, 458
11.756, 0.18545, 0.696395, 0.000887452, 346.53, 0.00, 461
11.979, 0.22254, 0.823229, 0.00105749, 346.53, 0.00, 464
12.246, 0.267048, 0.97058, 0.0012569, 346.53, 0.00, 468
12.406, 0.160229, 0.576535, 0.000749429, 346.53, 0.00, 475
12.598, 0.192275, 0.68308, 0.000892133, 346.53, 0.00, 478
12.829, 0.23073, 0.80728, 0.00105961, 346.53, 0.00, 481
13.106, 0.276876, 0.951384, 0.00125489, 346.53, 0.00, 485
13.272, 0.166125, 0.564867, 0.000746708, 346.53, 0.00, 492
13.472, 0.199351, 0.668986, 0.000886848, 346.53, 0.00, 495
13.711, 0.239221, 0.79022, 0.00105064, 346.53, 0.00, 498
13.998, 0.287065, 0.930738, 0.00124077, 346.53, 0.00, 502
14.170, 0.172239, 0.552318, 0.000737144, 346.53, 0.00, 509
14.377, 0.206687, 0.653877, 0.000873949, 346.53, 0.00, 512
14.625, 0.248024, 0.772064, 0.00103335, 346.53, 0.00, 515
14.922, 0.297629, 0.909042, 0.00121781, 346.53, 0.00, 519
15.101, 0.178577, 0.539286, 0.000722667, 346.53, 0.00, 526
15.315, 0.214293, 0.638381, 0.000855692, 346.53, 0.00, 529
15.572, 0.257151, 0.753745, 0.00101036, 346.53, 0.00, 532
15.881, 0.308581, 0.887604, 0.00118898, 346.53, 0.00, 536
16.066, 0.185149, 0.526623, 0.000705943, 346.53, 0.00, 543
16.288, 0.222179, 0.623563, 0.000836943, 346.53, 0.00, 546
16.555, 0.266614, 0.736561, 0.00098967, 346.53, 0.00, 549
16.875, 0.319937, 0.86795, 0.00116658, 346.53, 0.00, 553
17.067, 0.191962, 0.515217, 0.000692385, 346.53, 0.00, 560
17.297, 0.230355, 0.610425, 0.000820046, 346.53, 0.00, 563
17.574, 0.276426, 0.721601, 0.000968631, 346.53, 0.00, 566
17.905, 0.331711, 0.851191, 0.00114045, 346.53, 0.00, 570
18.104, 0.199027, 0.505634, 0.000676449, 346.53, 0.00, 577
18.343, 0.238832, 0.599523, 0.000800616, 346.53, 0.00, 580
18.630, 0.286598, 0.709343, 0.000944978, 346.53, 0.00, 583
18.974, 0.343918, 0.837623, 0.00111174, 346.53, 0.00, 587
19.386, 0.412702, 0.985993, 0.00130292, 346.53, 0.00, 591
19.634, 0.247621, 0.585439, 0.000782239, 346.53, 0.00, 598
19.931, 0.297145, 0.693386, 0.000940302, 346.53, 0.00, 601
20.288, 0.356574, 0.819606, 0.00112894, 346.53, 0.00, 605
20.716, 0.427889, 0.965682, 0.00135241, 346.53, 0.00, 609
