Using Newton-Raphson.
t=0.100, dt=0.1, MaxDpr=657.807, MaxDsw=0.0031055, Qo=346.53, Qw=0.00, Gauss=3
t=0.220, dt=0.12, MaxDpr=0.929336, MaxDsw=0.00370067, Qo=346.53, Qw=0.00, Gauss=6
t=0.364, dt=0.144, MaxDpr=0.489369, MaxDsw=0.00437369, Qo=346.53, Qw=0.00, Gauss=9
t=0.464, dt=0.1, MaxDpr=0.0558366, MaxDsw=0.00299256, Qo=346.53, Qw=0.00, Gauss=15
t=0.584, dt=0.12, MaxDpr=0.465557, MaxDsw=0.00351298, Qo=346.53, Qw=0.00, Gauss=18
t=0.684, dt=0.1, MaxDpr=0.690327, MaxDsw=0.00286512, Qo=346.53, Qw=0.00, Gauss=24
t=0.784, dt=0.1, MaxDpr=0.928045, MaxDsw=0.00279699, Qo=346.53, Qw=0.00, Gauss=30
t=0.884, dt=0.1, MaxDpr=1.1286, MaxDsw=0.00272453, Qo=346.53, Qw=0.00, Gauss=36
t=0.984, dt=0.1, MaxDpr=1.29147, MaxDsw=0.0026491, Qo=346.53, Qw=0.00, Gauss=42
t=1.084, dt=0.1, MaxDpr=1.41811, MaxDsw=0.00257196, Qo=346.53, Qw=0.00, Gauss=48
t=1.184, dt=0.1, MaxDpr=1.51138, MaxDsw=0.00249417, Qo=346.53, Qw=0.00, Gauss=54
t=1.284, dt=0.1, MaxDpr=1.57501, MaxDsw=0.00241664, Qo=346.53, Qw=0.00, Gauss=60
t=1.384, dt=0.1, MaxDpr=1.61315, MaxDsw=0.0023401, Qo=346.53, Qw=0.00, Gauss=66
t=1.484, dt=0.1, MaxDpr=1.62997, MaxDsw=0.00226514, Qo=346.53, Qw=0.00, Gauss=72
t=1.584, dt=0.1, MaxDpr=1.62949, MaxDsw=0.00219218, Qo=346.53, Qw=0.00, Gauss=78
t=1.684, dt=0.1, MaxDpr=1.61532, MaxDsw=0.00212153, Qo=346.53, Qw=0.00, Gauss=84
t=1.784, dt=0.1, MaxDpr=1.59068, MaxDsw=0.00205342, Qo=346.53, Qw=0.00, Gauss=90
t=1.884, dt=0.1, MaxDpr=1.55831, MaxDsw=0.00198795, Qo=346.53, Qw=0.00, Gauss=96
t=1.984, dt=0.1, MaxDpr=1.52051, MaxDsw=0.00192519, Qo=346.53, Qw=0.00, Gauss=102
t=2.084, dt=0.1, MaxDpr=1.47918, MaxDsw=0.00186515, Qo=346.53, Qw=0.00, Gauss=108
t=2.184, dt=0.1, MaxDpr=1.43582, MaxDsw=0.00180779, Qo=346.53, Qw=0.00, Gauss=114
t=2.284, dt=0.1, MaxDpr=1.39166, MaxDsw=0.00175307, Qo=346.53, Qw=0.00, Gauss=120
t=2.384, dt=0.1, MaxDpr=1.34763, MaxDsw=0.00170089, Qo=346.53, Qw=0.00, Gauss=126
t=2.484, dt=0.1, MaxDpr=1.30442, MaxDsw=0.00165117, Qo=346.53, Qw=0.00, Gauss=132
t=2.584, dt=0.1, MaxDpr=1.26257, MaxDsw=0.00160381, Qo=346.53, Qw=0.00, Gauss=138
t=2.684, dt=0.1, MaxDpr=1.22245, MaxDsw=0.00155868, Qo=346.53, Qw=0.00, Gauss=144
t=2.784, dt=0.1, MaxDpr=1.1843, MaxDsw=0.00151569, Qo=346.53, Qw=0.00, Gauss=150
t=2.884, dt=0.1, MaxDpr=1.14827, MaxDsw=0.00147473, Qo=346.53, Qw=0.00, Gauss=156
t=2.984, dt=0.1, MaxDpr=1.11444, MaxDsw=0.00143569, Qo=346.53, Qw=0.00, Gauss=162
t=3.084, dt=0.1, MaxDpr=1.08281, MaxDsw=0.00139846, Qo=346.53, Qw=0.00, Gauss=168
t=3.184, dt=0.1, MaxDpr=1.05335, MaxDsw=0.00136295, Qo=346.53, Qw=0.00, Gauss=174
t=3.284, dt=0.1, MaxDpr=1.02599, MaxDsw=0.00132905, Qo=346.53, Qw=0.00, Gauss=180
t=3.384, dt=0.1, MaxDpr=1.00063, MaxDsw=0.00129668, Qo=346.53, Qw=0.00, Gauss=186
t=3.484, dt=0.1, MaxDpr=0.977151, MaxDsw=0.00126576, Qo=346.53, Qw=0.00, Gauss=192
t=3.584, dt=0.1, MaxDpr=0.955437, MaxDsw=0.00123619, Qo=346.53, Qw=0.00, Gauss=198
t=3.684, dt=0.1, MaxDpr=0.935347, MaxDsw=0.0012079, Qo=346.53, Qw=0.00, Gauss=204
t=3.784, dt=0.1, MaxDpr=0.916745, MaxDsw=0.00118083, Qo=346.53, Qw=0.00, Gauss=210
t=3.884, dt=0.1, MaxDpr=0.899493, MaxDsw=0.00115489, Qo=346.53, Qw=0.00, Gauss=216
t=3.984, dt=0.1, MaxDpr=0.883456, MaxDsw=0.00113003, Qo=346.53, Qw=0.00, Gauss=222
t=4.084, dt=0.1, MaxDpr=0.868504, MaxDsw=0.00110619, Qo=346.53, Qw=0.00, Gauss=228
t=4.184, dt=0.1, MaxDpr=0.854514, MaxDsw=0.00108331, Qo=346.53, Qw=0.00, Gauss=234
t=4.284, dt=0.1, MaxDpr=0.84137, MaxDsw=0.00106134, Qo=346.53, Qw=0.00, Gauss=240
t=4.404, dt=0.12, MaxDpr=0.991634, MaxDsw=0.00124338, Qo=346.53, Qw=0.00, Gauss=243
t=4.504, dt=0.1, MaxDpr=0.814954, MaxDsw=0.001016, Qo=346.53, Qw=0.00, Gauss=249
t=4.624, dt=0.12, MaxDpr=0.96173, MaxDsw=0.00119145, Qo=346.53, Qw=0.00, Gauss=252
t=4.724, dt=0.1, MaxDpr=0.791105, MaxDsw=0.000974352, Qo=346.53, Qw=0.00, Gauss=258
t=4.844, dt=0.12, MaxDpr=0.934382, MaxDsw=0.00114366, Qo=346.53, Qw=0.00, Gauss=261
t=4.944, dt=0.1, MaxDpr=0.769035, MaxDsw=0.000935971, Qo=346.53, Qw=0.00, Gauss=267
t=5.064, dt=0.12, MaxDpr=0.908769, MaxDsw=0.00109956, Qo=346.53, Qw=0.00, Gauss=270
t=5.164, dt=0.1, MaxDpr=0.748154, MaxDsw=0.000900507, Qo=346.53, Qw=0.00, Gauss=276
t=5.284, dt=0.12, MaxDpr=0.884297, MaxDsw=0.00105875, Qo=346.53, Qw=0.00, Gauss=279
t=5.384, dt=0.1, MaxDpr=0.728046, MaxDsw=0.000867654, Qo=346.53, Qw=0.00, Gauss=285
t=5.504, dt=0.12, MaxDpr=0.860564, MaxDsw=0.0010209, Qo=346.53, Qw=0.00, Gauss=288
t=5.604, dt=0.1, MaxDpr=0.708442, MaxDsw=0.000837142, Qo=346.53, Qw=0.00, Gauss=294
t=5.724, dt=0.12, MaxDpr=0.837325, MaxDsw=0.000985695, Qo=346.53, Qw=0.00, Gauss=297
t=5.868, dt=0.144, MaxDpr=0.986628, MaxDsw=0.00115682, Qo=346.53, Qw=0.00, Gauss=300
t=5.968, dt=0.1, MaxDpr=0.676797, MaxDsw=0.000791731, Qo=346.53, Qw=0.00, Gauss=306
t=6.088, dt=0.12, MaxDpr=0.799727, MaxDsw=0.00093998, Qo=346.53, Qw=0.00, Gauss=309
t=6.232, dt=0.144, MaxDpr=0.942042, MaxDsw=0.00111315, Qo=346.53, Qw=0.00, Gauss=312
t=6.332, dt=0.1, MaxDpr=0.645957, MaxDsw=0.000765764, Qo=346.53, Qw=0.00, Gauss=318
t=6.452, dt=0.12, MaxDpr=0.763123, MaxDsw=0.000908369, Qo=346.53, Qw=0.00, Gauss=321
t=6.596, dt=0.144, MaxDpr=0.898742, MaxDsw=0.00107475, Qo=346.53, Qw=0.00, Gauss=324
t=6.696, dt=0.1, MaxDpr=0.616103, MaxDsw=0.000738932, Qo=346.53, Qw=0.00, Gauss=330
t=6.816, dt=0.12, MaxDpr=0.727809, MaxDsw=0.000876024, Qo=346.53, Qw=0.00, Gauss=333
t=6.960, dt=0.144, MaxDpr=0.857157, MaxDsw=0.00103585, Qo=346.53, Qw=0.00, Gauss=336
t=7.060, dt=0.1, MaxDpr=0.587562, MaxDsw=0.00071193, Qo=346.53, Qw=0.00, Gauss=342
t=7.180, dt=0.12, MaxDpr=0.694193, MaxDsw=0.000843695, Qo=346.53, Qw=0.00, Gauss=345
t=7.324, dt=0.144, MaxDpr=0.817781, MaxDsw=0.000997256, Qo=346.53, Qw=0.00, Gauss=348
t=7.497, dt=0.1728, MaxDpr=0.960102, MaxDsw=0.0011751, Qo=346.53, Qw=0.00, Gauss=351
t=7.600, dt=0.10368, MaxDpr=0.568548, MaxDsw=0.000697339, Qo=346.53, Qw=0.00, Gauss=358
t=7.725, dt=0.124416, MaxDpr=0.671763, MaxDsw=0.000825807, Qo=346.53, Qw=0.00, Gauss=361
t=7.874, dt=0.149299, MaxDpr=0.791534, MaxDsw=0.000975354, Qo=346.53, Qw=0.00, Gauss=364
t=8.053, dt=0.179159, MaxDpr=0.929711, MaxDsw=0.00114836, Qo=346.53, Qw=0.00, Gauss=367
t=8.161, dt=0.107495, MaxDpr=0.550765, MaxDsw=0.000681169, Qo=346.53, Qw=0.00, Gauss=374
t=8.290, dt=0.128995, MaxDpr=0.651104, MaxDsw=0.000806276, Qo=346.53, Qw=0.00, Gauss=377
t=8.445, dt=0.154793, MaxDpr=0.767785, MaxDsw=0.000951811, Qo=346.53, Qw=0.00, Gauss=380
t=8.630, dt=0.185752, MaxDpr=0.902781, MaxDsw=0.00112007, Qo=346.53, Qw=0.00, Gauss=383
t=8.742, dt=0.111451, MaxDpr=0.535265, MaxDsw=0.000664215, Qo=346.53, Qw=0.00, Gauss=390
t=8.876, dt=0.133742, MaxDpr=0.633354, MaxDsw=0.000785991, Qo=346.53, Qw=0.00, Gauss=393
t=9.036, dt=0.16049, MaxDpr=0.747721, MaxDsw=0.000927607, Qo=346.53, Qw=0.00, Gauss=396
t=9.229, dt=0.192588, MaxDpr=0.880464, MaxDsw=0.0010913, Qo=346.53, Qw=0.00, Gauss=399
t=9.344, dt=0.115553, MaxDpr=0.52261, MaxDsw=0.000647071, Qo=346.53, Qw=0.00, Gauss=406
t=9.483, dt=0.138663, MaxDpr=0.619042, MaxDsw=0.000765609, Qo=346.53, Qw=0.00, Gauss=409
t=9.649, dt=0.166396, MaxDpr=0.731769, MaxDsw=0.000903456, Qo=346.53, Qw=0.00, Gauss=412
t=9.849, dt=0.199675, MaxDpr=0.862983, MaxDsw=0.0010628, Qo=346.53, Qw=0.00, Gauss=415
t=9.969, dt=0.119805, MaxDpr=0.512804, MaxDsw=0.00063016, Qo=346.53, Qw=0.00, Gauss=422
t=10.113, dt=0.143766, MaxDpr=0.608034, MaxDsw=0.000745597, Qo=346.53, Qw=0.00, Gauss=425
t=10.285, dt=0.172519, MaxDpr=0.719583, MaxDsw=0.000879859, Qo=346.53, Qw=0.00, Gauss=428
t=10.492, dt=0.207023, MaxDpr=0.849682, MaxDsw=0.00103511, Qo=346.53, Qw=0.00, Gauss=431
t=10.616, dt=0.124214, MaxDpr=0.505349, MaxDsw=0.000613773, Qo=346.53, Qw=0.00, Gauss=438
t=10.765, dt=0.149057, MaxDpr=0.599633, MaxDsw=0.000726718, Qo=346.53, Qw=0.00, Gauss=441
t=10.944, dt=0.178868, MaxDpr=0.710203, MaxDsw=0.000870648, Qo=346.53, Qw=0.00, Gauss=444
t=11.159, dt=0.214641, MaxDpr=0.83927, MaxDsw=0.0010416, Qo=346.53, Qw=0.00, Gauss=447
t=11.416, dt=0.25757, MaxDpr=0.989306, MaxDsw=0.00124353, Qo=346.53, Qw=0.00, Gauss=451
t=11.571, dt=0.154542, MaxDpr=0.587704, MaxDsw=0.000743345, Qo=346.53, Qw=0.00, Gauss=458
t=11.756, dt=0.18545, MaxDpr=0.696395, MaxDsw=0.000887452, Qo=346.53, Qw=0.00, Gauss=461
t=11.979, dt=0.22254, MaxDpr=0.823229, MaxDsw=0.00105749, Qo=346.53, Qw=0.00, Gauss=464
t=12.246, dt=0.267048, MaxDpr=0.97058, MaxDsw=0.0012569, Qo=346.53, Qw=0.00, Gauss=468
t=12.406, dt=0.160229, MaxDpr=0.576535, MaxDsw=0.000749429, Qo=346.53, Qw=0.00, Gauss=475
t=12.598, dt=0.192275, MaxDpr=0.68308, MaxDsw=0.000892133, Qo=346.53, Qw=0.00, Gauss=478
t=12.829, dt=0.23073, MaxDpr=0.80728, MaxDsw=0.00105961, Qo=346.53, Qw=0.00, Gauss=481
t=13.106, dt=0.276876, MaxDpr=0.951384, MaxDsw=0.00125489, Qo=346.53, Qw=0.00, Gauss=485
t=13.272, dt=0.166125, MaxDpr=0.564867, MaxDsw=0.000746708, Qo=346.53, Qw=0.00, Gauss=492
t=13.472, dt=0.199351, MaxDpr=0.668986, MaxDsw=0.000886848, Qo=346.53, Qw=0.00, Gauss=495
t=13.711, dt=0.239221, MaxDpr=0.79022, MaxDsw=0.00105064, Qo=346.53, Qw=0.00, Gauss=498
t=13.998, dt=0.287065, MaxDpr=0.930738, MaxDsw=0.00124077, Qo=346.53, Qw=0.00, Gauss=502
t=14.170, dt=0.172239, MaxDpr=0.552318, MaxDsw=0.000737144, Qo=346.53, Qw=0.00, Gauss=509
t=14.377, dt=0.206687, MaxDpr=0.653877, MaxDsw=0.000873949, Qo=346.53, Qw=0.00, Gauss=512
t=14.625, dt=0.248024, MaxDpr=0.772064, MaxDsw=0.00103335, Qo=346.53, Qw=0.00, Gauss=515
t=14.922, dt=0.297629, MaxDpr=0.909042, MaxDsw=0.00121781, Qo=346.53, Qw=0.00, Gauss=519
t=15.101, dt=0.178577, MaxDpr=0.539286, MaxDsw=0.000722667, Qo=346.53, Qw=0.00, Gauss=526
t=15.315, dt=0.214293, MaxDpr=0.638381, MaxDsw=0.000855692, Qo=346.53, Qw=0.00, Gauss=529
t=15.572, dt=0.257151, MaxDpr=0.753745, MaxDsw=0.00101036, Qo=346.53, Qw=0.00, Gauss=532
t=15.881, dt=0.308581, MaxDpr=0.887604, MaxDsw=0.00118898, Qo=346.53, Qw=0.00, Gauss=536
t=16.066, dt=0.185149, MaxDpr=0.526623, MaxDsw=0.000705943, Qo=346.53, Qw=0.00, Gauss=543
t=16.288, dt=0.222179, MaxDpr=0.623563, MaxDsw=0.000836943, Qo=346.53, Qw=0.00, Gauss=546
t=16.555, dt=0.266614, MaxDpr=0.736561, MaxDsw=0.00098967, Qo=346.53, Qw=0.00, Gauss=549
t=16.875, dt=0.319937, MaxDpr=0.86795, MaxDsw=0.00116658, Qo=346.53, Qw=0.00, Gauss=553
t=17.067, dt=0.191962, MaxDpr=0.515217, MaxDsw=0.000692385, Qo=346.53, Qw=0.00, Gauss=560
t=17.297, dt=0.230355, MaxDpr=0.610425, MaxDsw=0.000820046, Qo=346.53, Qw=0.00, Gauss=563
t=17.574, dt=0.276426, MaxDpr=0.721601, MaxDsw=0.000968631, Qo=346.53, Qw=0.00, Gauss=566
t=17.905, dt=0.331711, MaxDpr=0.851191, MaxDsw=0.00114045, Qo=346.53, Qw=0.00, Gauss=570
t=18.104, dt=0.199027, MaxDpr=0.505634, MaxDsw=0.000676449, Qo=346.53, Qw=0.00, Gauss=577
t=18.343, dt=0.238832, MaxDpr=0.599523, MaxDsw=0.000800616, Qo=346.53, Qw=0.00, Gauss=580
t=18.630, dt=0.286598, MaxDpr=0.709343, MaxDsw=0.000944978, Qo=346.53, Qw=0.00, Gauss=583
t=18.974, dt=0.343918, MaxDpr=0.837623, MaxDsw=0.00111174, Qo=346.53, Qw=0.00, Gauss=587
t=19.386, dt=0.412702, MaxDpr=0.985993, MaxDsw=0.00130292, Qo=346.53, Qw=0.00, Gauss=591
t=19.634, dt=0.247621, MaxDpr=0.585439, MaxDsw=0.000782239, Qo=346.53, Qw=0.00, Gauss=598
t=19.931, dt=0.297145, MaxDpr=0.693386, MaxDsw=0.000940302, Qo=346.53, Qw=0.00, Gauss=601
t=20.288, dt=0.356574, MaxDpr=0.819606, MaxDsw=0.00112894, Qo=346.53, Qw=0.00, Gauss=605
t=20.716, dt=0.427889, MaxDpr=0.965682, MaxDsw=0.00135241, Qo=346.53, Qw=0.00, Gauss=609
t=20.972, dt=0.256733, MaxDpr=0.573692, MaxDsw=0.00080978, Qo=346.53, Qw=0.00, Gauss=616
t=21.280, dt=0.30808, MaxDpr=0.679764, MaxDsw=0.000968402, Qo=346.53, Qw=0.00, Gauss=619
t=21.650, dt=0.369696, MaxDpr=0.80382, MaxDsw=0.00115592, Qo=346.53, Qw=0.00, Gauss=623
t=22.094, dt=0.443635, MaxDpr=0.947273, MaxDsw=0.00137574, Qo=346.53, Qw=0.00, Gauss=627
t=22.360, dt=0.266181, MaxDpr=0.562762, MaxDsw=0.0008207, Qo=346.53, Qw=0.00, Gauss=634
t=22.679, dt=0.319417, MaxDpr=0.666787, MaxDsw=0.00097734, Qo=346.53, Qw=0.00, Gauss=637
t=23.063, dt=0.383301, MaxDpr=0.788395, MaxDsw=0.00116111, Qo=346.53, Qw=0.00, Gauss=641
t=23.523, dt=0.459961, MaxDpr=0.92883, MaxDsw=0.00137477, Qo=346.53, Qw=0.00, Gauss=645
t=23.799, dt=0.275977, MaxDpr=0.551647, MaxDsw=0.000817723, Qo=346.53, Qw=0.00, Gauss=652
t=24.130, dt=0.331172, MaxDpr=0.653461, MaxDsw=0.000970601, Qo=346.53, Qw=0.00, Gauss=655
t=24.527, dt=0.397406, MaxDpr=0.772452, MaxDsw=0.00114893, Qo=346.53, Qw=0.00, Gauss=659
t=25.004, dt=0.476888, MaxDpr=0.909753, MaxDsw=0.00135501, Qo=346.53, Qw=0.00, Gauss=663
t=25.290, dt=0.286133, MaxDpr=0.540187, MaxDsw=0.000804206, Qo=346.53, Qw=0.00, Gauss=670
t=25.634, dt=0.343359, MaxDpr=0.63981, MaxDsw=0.000952239, Qo=346.53, Qw=0.00, Gauss=673
t=26.046, dt=0.412031, MaxDpr=0.7563, MaxDsw=0.00112423, Qo=346.53, Qw=0.00, Gauss=677
t=26.540, dt=0.494437, MaxDpr=0.890751, MaxDsw=0.00132216, Qo=346.53, Qw=0.00, Gauss=681
t=26.837, dt=0.296662, MaxDpr=0.528937, MaxDsw=0.0007835, Qo=346.53, Qw=0.00, Gauss=688
t=27.193, dt=0.355995, MaxDpr=0.626894, MaxDsw=0.000926269, Qo=346.53, Qw=0.00, Gauss=692
t=27.620, dt=0.427194, MaxDpr=0.74071, MaxDsw=0.00109476, Qo=346.53, Qw=0.00, Gauss=696
t=28.133, dt=0.512632, MaxDpr=0.873121, MaxDsw=0.00129323, Qo=346.53, Qw=0.00, Gauss=700
t=28.440, dt=0.307579, MaxDpr=0.51868, MaxDsw=0.00076832, Qo=346.53, Qw=0.00, Gauss=707
t=28.809, dt=0.369095, MaxDpr=0.615062, MaxDsw=0.000910949, Qo=346.53, Qw=0.00, Gauss=711
t=29.252, dt=0.442914, MaxDpr=0.727169, MaxDsw=0.00107695, Qo=346.53, Qw=0.00, Gauss=715
t=29.784, dt=0.531497, MaxDpr=0.85783, MaxDsw=0.00126879, Qo=346.53, Qw=0.00, Gauss=719
t=30.103, dt=0.318898, MaxDpr=0.509886, MaxDsw=0.000752671, Qo=346.53, Qw=0.00, Gauss=726
t=30.485, dt=0.382678, MaxDpr=0.605, MaxDsw=0.000895637, Qo=346.53, Qw=0.00, Gauss=730
t=30.944, dt=0.459214, MaxDpr=0.715718, MaxDsw=0.00108102, Qo=346.53, Qw=0.00, Gauss=734
t=31.496, dt=0.551056, MaxDpr=0.844913, MaxDsw=0.00130277, Qo=346.53, Qw=0.00, Gauss=738
t=32.157, dt=0.661268, MaxDpr=0.99466, MaxDsw=0.00156578, Qo=346.53, Qw=0.00, Gauss=742
t=32.554, dt=0.396761, MaxDpr=0.590926, MaxDsw=0.000938956, Qo=346.53, Qw=0.00, Gauss=750
t=33.030, dt=0.476113, MaxDpr=0.699554, MaxDsw=0.00112418, Qo=346.53, Qw=0.00, Gauss=754
t=33.601, dt=0.571335, MaxDpr=0.82622, MaxDsw=0.00134255, Qo=346.53, Qw=0.00, Gauss=758
t=34.287, dt=0.685602, MaxDpr=0.97301, MaxDsw=0.00159748, Qo=346.53, Qw=0.00, Gauss=762
t=34.698, dt=0.411361, MaxDpr=0.578159, MaxDsw=0.000952567, Qo=346.53, Qw=0.00, Gauss=770
t=35.192, dt=0.493634, MaxDpr=0.684478, MaxDsw=0.00113325, Qo=346.53, Qw=0.00, Gauss=774
t=35.784, dt=0.59236, MaxDpr=0.808416, MaxDsw=0.00134388, Qo=346.53, Qw=0.00, Gauss=778
t=36.495, dt=0.710832, MaxDpr=0.951975, MaxDsw=0.00158692, Qo=346.53, Qw=0.00, Gauss=782
t=36.921, dt=0.426499, MaxDpr=0.565614, MaxDsw=0.000942271, Qo=346.53, Qw=0.00, Gauss=790
t=37.433, dt=0.511799, MaxDpr=0.669569, MaxDsw=0.00111575, Qo=346.53, Qw=0.00, Gauss=794
t=38.047, dt=0.614159, MaxDpr=0.790768, MaxDsw=0.0013164, Qo=346.53, Qw=0.00, Gauss=798
t=38.784, dt=0.736991, MaxDpr=0.931215, MaxDsw=0.00154613, Qo=346.53, Qw=0.00, Gauss=802
t=39.226, dt=0.442195, MaxDpr=0.553322, MaxDsw=0.000915362, Qo=346.53, Qw=0.00, Gauss=810
t=39.757, dt=0.530634, MaxDpr=0.655108, MaxDsw=0.00108044, Qo=346.53, Qw=0.00, Gauss=814
t=40.394, dt=0.63676, MaxDpr=0.773907, MaxDsw=0.00127425, Qo=346.53, Qw=0.00, Gauss=818
t=41.158, dt=0.764112, MaxDpr=0.911782, MaxDsw=0.00149658, Qo=346.53, Qw=0.00, Gauss=822
t=41.616, dt=0.458467, MaxDpr=0.542008, MaxDsw=0.00088608, Qo=346.53, Qw=0.00, Gauss=830
t=42.167, dt=0.550161, MaxDpr=0.642002, MaxDsw=0.00104603, Qo=346.53, Qw=0.00, Gauss=834
t=42.827, dt=0.660193, MaxDpr=0.758886, MaxDsw=0.00123032, Qo=346.53, Qw=0.00, Gauss=838
t=43.619, dt=0.792232, MaxDpr=0.894764, MaxDsw=0.00144827, Qo=346.53, Qw=0.00, Gauss=842
t=44.094, dt=0.475339, MaxDpr=0.532207, MaxDsw=0.000861477, Qo=346.53, Qw=0.00, Gauss=850
t=44.665, dt=0.570407, MaxDpr=0.630712, MaxDsw=0.00102867, Qo=346.53, Qw=0.00, Gauss=854
t=45.349, dt=0.684488, MaxDpr=0.745969, MaxDsw=0.00124718, Qo=346.53, Qw=0.00, Gauss=858
t=46.171, dt=0.821386, MaxDpr=0.88004, MaxDsw=0.001509, Qo=346.53, Qw=0.00, Gauss=862
t=46.663, dt=0.492831, MaxDpr=0.523651, MaxDsw=0.000908309, Qo=346.53, Qw=0.00, Gauss=870
t=47.255, dt=0.591398, MaxDpr=0.620715, MaxDsw=0.00109211, Qo=346.53, Qw=0.00, Gauss=874
t=47.964, dt=0.709677, MaxDpr=0.734283, MaxDsw=0.00131038, Qo=346.53, Qw=0.00, Gauss=878
t=48.816, dt=0.851613, MaxDpr=0.866321, MaxDsw=0.00156714, Qo=346.53, Qw=0.00, Gauss=882
t=49.327, dt=0.510968, MaxDpr=0.515493, MaxDsw=0.000937084, Qo=346.53, Qw=0.00, Gauss=890
t=49.940, dt=0.613161, MaxDpr=0.610977, MaxDsw=0.00111829, Qo=346.53, Qw=0.00, Gauss=894
t=50.676, dt=0.735793, MaxDpr=0.722648, MaxDsw=0.0013306, Qo=346.53, Qw=0.00, Gauss=898
