Using Newton-Raphson.
t=0.100, dt=0.1, MaxDpr=422.004, MaxDsw=0.000279996, Qo=346.53, Qw=0.00, Gauss=3
t=0.220, dt=0.12, MaxDpr=0.133314, MaxDsw=0.000335976, Qo=346.53, Qw=0.00, Gauss=5
t=0.364, dt=0.144, MaxDpr=0.155364, MaxDsw=0.000403122, Qo=346.53, Qw=0.00, Gauss=7
t=0.537, dt=0.1728, MaxDpr=0.179713, MaxDsw=0.000483637, Qo=346.53, Qw=0.00, Gauss=9
t=0.744, dt=0.20736, MaxDpr=0.205841, MaxDsw=0.000580139, Qo=346.53, Qw=0.00, Gauss=11
t=0.993, dt=0.248832, MaxDpr=0.232665, MaxDsw=0.000695725, Qo=346.53, Qw=0.00, Gauss=14
t=1.292, dt=0.298598, MaxDpr=0.258212, MaxDsw=0.000834032, Qo=346.53, Qw=0.00, Gauss=17
t=1.650, dt=0.358318, MaxDpr=0.279145, MaxDsw=0.000999282, Qo=346.53, Qw=0.00, Gauss=20
t=2.080, dt=0.429982, MaxDpr=0.290073, MaxDsw=0.00119629, Qo=346.53, Qw=0.00, Gauss=23
t=2.596, dt=0.515978, MaxDpr=0.28262, MaxDsw=0.00143043, Qo=346.53, Qw=0.00, Gauss=26
t=3.215, dt=0.619174, MaxDpr=0.244235, MaxDsw=0.00170739, Qo=346.53, Qw=0.00, Gauss=29
t=3.958, dt=0.743008, MaxDpr=0.156904, MaxDsw=0.00203282, Qo=346.53, Qw=0.00, Gauss=32
t=4.850, dt=0.89161, MaxDpr=0.00867202, MaxDsw=0.00241154, Qo=346.53, Qw=0.00, Gauss=35
t=5.920, dt=1.06993, MaxDpr=0.268196, MaxDsw=0.00284635, Qo=346.53, Qw=0.00, Gauss=38
t=7.204, dt=1.28392, MaxDpr=0.66889, MaxDsw=0.00333633, Qo=346.53, Qw=0.00, Gauss=41
t=7.974, dt=0.770351, MaxDpr=0.568999, MaxDsw=0.00197021, Qo=346.53, Qw=0.00, Gauss=47
t=8.898, dt=0.924421, MaxDpr=0.823885, MaxDsw=0.00231607, Qo=346.53, Qw=0.00, Gauss=50
t=9.453, dt=0.554653, MaxDpr=0.563731, MaxDsw=0.00137151, Qo=346.53, Qw=0.00, Gauss=56
t=10.119, dt=0.665583, MaxDpr=0.733224, MaxDsw=0.00161907, Qo=346.53, Qw=0.00, Gauss=59
t=10.917, dt=0.7987, MaxDpr=0.950257, MaxDsw=0.00190357, Qo=346.53, Qw=0.00, Gauss=62
t=11.396, dt=0.47922, MaxDpr=0.605792, MaxDsw=0.00112773, Qo=346.53, Qw=0.00, Gauss=68
