Using Newton-Raphson.
t=0.100, dt=0.1, MaxDpr=655.122, MaxDsw=0.00303505, Qo=346.53, Qw=0.00, Gauss=3
t=0.200, dt=0.1, MaxDpr=3.03498, MaxDsw=0.00290983, Qo=346.53, Qw=0.00, Gauss=9
t=0.300, dt=0.1, MaxDpr=3.56905, MaxDsw=0.00276901, Qo=346.53, Qw=0.00, Gauss=15
t=0.400, dt=0.1, MaxDpr=3.71224, MaxDsw=0.0026264, Qo=346.53, Qw=0.00, Gauss=21
t=0.500, dt=0.1, MaxDpr=3.65688, MaxDsw=0.0024889, Qo=346.53, Qw=0.00, Gauss=27
t=0.600, dt=0.1, MaxDpr=3.50534, MaxDsw=0.00235975, Qo=346.53, Qw=0.00, Gauss=33
t=0.700, dt=0.1, MaxDpr=3.31417, MaxDsw=0.00224016, Qo=346.53, Qw=0.00, Gauss=39
t=0.800, dt=0.1, MaxDpr=3.11392, MaxDsw=0.00213025, Qo=346.53, Qw=0.00, Gauss=45
t=0.900, dt=0.1, MaxDpr=2.92023, MaxDsw=0.00202962, Qo=346.53, Qw=0.00, Gauss=51
t=1.000, dt=0.1, MaxDpr=2.74031, MaxDsw=0.00193758, Qo=346.53, Qw=0.00, Gauss=57
t=1.100, dt=0.1, MaxDpr=2.57674, MaxDsw=0.00185338, Qo=346.53, Qw=0.00, Gauss=63
t=1.200, dt=0.1, MaxDpr=2.42965, MaxDsw=0.00177625, Qo=346.53, Qw=0.00, Gauss=69
t=1.300, dt=0.1, MaxDpr=2.29797, MaxDsw=0.00170547, Qo=346.53, Qw=0.00, Gauss=75
t=1.400, dt=0.1, MaxDpr=2.18013, MaxDsw=0.00164037, Qo=346.53, Qw=0.00, Gauss=81
t=1.500, dt=0.1, MaxDpr=2.07442, MaxDsw=0.00158036, Qo=346.53, Qw=0.00, Gauss=87
t=1.600, dt=0.1, MaxDpr=1.97922, MaxDsw=0.0015249, Qo=346.53, Qw=0.00, Gauss=93
t=1.700, dt=0.1, MaxDpr=1.89307, MaxDsw=0.00147353, Qo=346.53, Qw=0.00, Gauss=99
t=1.800, dt=0.1, MaxDpr=1.81468, MaxDsw=0.00142583, Qo=346.53, Qw=0.00, Gauss=105
t=1.900, dt=0.1, MaxDpr=1.74299, MaxDsw=0.00138143, Qo=346.53, Qw=0.00, Gauss=111
t=2.000, dt=0.1, MaxDpr=1.67708, MaxDsw=0.00134001, Qo=346.53, Qw=0.00, Gauss=117
t=2.100, dt=0.1, MaxDpr=1.6162, MaxDsw=0.00130128, Qo=346.53, Qw=0.00, Gauss=123
t=2.200, dt=0.1, MaxDpr=1.55973, MaxDsw=0.00126499, Qo=346.53, Qw=0.00, Gauss=129
t=2.300, dt=0.1, MaxDpr=1.50716, MaxDsw=0.00123093, Qo=346.53, Qw=0.00, Gauss=135
t=2.400, dt=0.1, MaxDpr=1.45806, MaxDsw=0.00119889, Qo=346.53, Qw=0.00, Gauss=141
