Using Newton-Raphson.
t=0.100, dt=0.1, MaxDpr=657.378, MaxDsw=0.00310553, Qo=346.53, Qw=0.00, Gauss=3
t=0.220, dt=0.12, MaxDpr=0.413215, MaxDsw=0.00370101, Qo=346.53, Qw=0.00, Gauss=6
t=0.364, dt=0.144, MaxDpr=0.106747, MaxDsw=0.00437543, Qo=346.53, Qw=0.00, Gauss=9
t=0.464, dt=0.1, MaxDpr=0.442884, MaxDsw=0.00299497, Qo=346.53, Qw=0.00, Gauss=15
t=0.584, dt=0.12, MaxDpr=0.888743, MaxDsw=0.0035184, Qo=346.53, Qw=0.00, Gauss=18
t=0.684, dt=0.1, MaxDpr=1.00456, MaxDsw=0.00287193, Qo=346.53, Qw=0.00, Gauss=24
t=0.784, dt=0.1, MaxDpr=1.20506, MaxDsw=0.00280653, Qo=346.53, Qw=0.00, Gauss=30
t=0.884, dt=0.1, MaxDpr=1.36872, MaxDsw=0.00273715, Qo=346.53, Qw=0.00, Gauss=36
t=0.984, dt=0.1, MaxDpr=1.49655, MaxDsw=0.00266508, Qo=346.53, Qw=0.00, Gauss=42
t=1.084, dt=0.1, MaxDpr=1.59106, MaxDsw=0.00259144, Qo=346.53, Qw=0.00, Gauss=48
t=1.184, dt=0.1, MaxDpr=1.65572, MaxDsw=0.00251723, Qo=346.53, Qw=0.00, Gauss=54
t=1.284, dt=0.1, MaxDpr=1.69451, MaxDsw=0.00244327, Qo=346.53, Qw=0.00, Gauss=60
t=1.384, dt=0.1, MaxDpr=1.71154, MaxDsw=0.00237022, Qo=346.53, Qw=0.00, Gauss=66
t=1.484, dt=0.1, MaxDpr=1.71078, MaxDsw=0.00229861, Qo=346.53, Qw=0.00, Gauss=72
t=1.584, dt=0.1, MaxDpr=1.69588, MaxDsw=0.00222884, Qo=346.53, Qw=0.00, Gauss=78
t=1.684, dt=0.1, MaxDpr=1.67009, MaxDsw=0.00216118, Qo=346.53, Qw=0.00, Gauss=84
t=1.784, dt=0.1, MaxDpr=1.63622, MaxDsw=0.00209584, Qo=346.53, Qw=0.00, Gauss=90
t=1.884, dt=0.1, MaxDpr=1.59662, MaxDsw=0.00203292, Qo=346.53, Qw=0.00, Gauss=96
t=1.984, dt=0.1, MaxDpr=1.55325, MaxDsw=0.00197249, Qo=346.53, Qw=0.00, Gauss=102
t=2.084, dt=0.1, MaxDpr=1.50766, MaxDsw=0.00191457, Qo=346.53, Qw=0.00, Gauss=108
t=2.184, dt=0.1, MaxDpr=1.46113, MaxDsw=0.00185912, Qo=346.53, Qw=0.00, Gauss=114
t=2.284, dt=0.1, MaxDpr=1.41461, MaxDsw=0.00180611, Qo=346.53, Qw=0.00, Gauss=120
t=2.384, dt=0.1, MaxDpr=1.36885, MaxDsw=0.00175546, Qo=346.53, Qw=0.00, Gauss=126
t=2.484, dt=0.1, MaxDpr=1.3244, MaxDsw=0.00170709, Qo=346.53, Qw=0.00, Gauss=132
t=2.584, dt=0.1, MaxDpr=1.28166, MaxDsw=0.00166091, Qo=346.53, Qw=0.00, Gauss=138
t=2.684, dt=0.1, MaxDpr=1.24088, MaxDsw=0.00161683, Qo=346.53, Qw=0.00, Gauss=144
t=2.784, dt=0.1, MaxDpr=1.20223, MaxDsw=0.00157475, Qo=346.53, Qw=0.00, Gauss=150
t=2.884, dt=0.1, MaxDpr=1.16579, MaxDsw=0.00153458, Qo=346.53, Qw=0.00, Gauss=156
t=2.984, dt=0.1, MaxDpr=1.1316, MaxDsw=0.00149621, Qo=346.53, Qw=0.00, Gauss=162
