Using Newton-Raphson.
t=0.100, dt=0.1, MaxDpr=41.3815, MaxDsw=0.00311068, Qo=346.53, Qw=0.00, Gauss=3
t=0.220, dt=0.12, MaxDpr=0.117622, MaxDsw=0.00373077, Qo=346.53, Qw=0.00, Gauss=5
t=0.364, dt=0.144, MaxDpr=0.14048, MaxDsw=0.00447143, Qo=346.53, Qw=0.00, Gauss=8
t=0.464, dt=0.1, MaxDpr=0.0969229, MaxDsw=0.00310132, Qo=346.53, Qw=0.00, Gauss=13
t=0.584, dt=0.12, MaxDpr=0.115332, MaxDsw=0.00371446, Qo=346.53, Qw=0.00, Gauss=16
t=0.728, dt=0.144, MaxDpr=0.136599, MaxDsw=0.00444424, Qo=346.53, Qw=0.00, Gauss=19
t=0.828, dt=0.1, MaxDpr=0.0935045, MaxDsw=0.00307865, Qo=346.53, Qw=0.00, Gauss=25
t=0.948, dt=0.12, MaxDpr=0.110401, MaxDsw=0.00368166, Qo=346.53, Qw=0.00, Gauss=28
t=1.092, dt=0.144, MaxDpr=0.129476, MaxDsw=0.00439665, Qo=346.53, Qw=0.00, Gauss=31
t=1.192, dt=0.1, MaxDpr=0.0878076, MaxDsw=0.00304156, Qo=346.53, Qw=0.00, Gauss=37
t=1.312, dt=0.12, MaxDpr=0.102734, MaxDsw=0.00363128, Qo=346.53, Qw=0.00, Gauss=40
t=1.456, dt=0.144, MaxDpr=0.119106, MaxDsw=0.00432771, Qo=346.53, Qw=0.00, Gauss=43
t=1.556, dt=0.1, MaxDpr=0.0798961, MaxDsw=0.00298958, Qo=346.53, Qw=0.00, Gauss=49
t=1.676, dt=0.12, MaxDpr=0.0924887, MaxDsw=0.00356305, Qo=346.53, Qw=0.00, Gauss=52
t=1.820, dt=0.144, MaxDpr=0.105799, MaxDsw=0.00423752, Qo=346.53, Qw=0.00, Gauss=55
t=1.920, dt=0.1, MaxDpr=0.07006, MaxDsw=0.00292301, Qo=346.53, Qw=0.00, Gauss=61
t=2.040, dt=0.12, MaxDpr=0.0800953, MaxDsw=0.00347764, Qo=346.53, Qw=0.00, Gauss=64
t=2.184, dt=0.144, MaxDpr=0.0901806, MaxDsw=0.00412736, Qo=346.53, Qw=0.00, Gauss=67
t=2.357, dt=0.1728, MaxDpr=0.0993933, MaxDsw=0.0048826, Qo=346.53, Qw=0.00, Gauss=70
t=2.460, dt=0.10368, MaxDpr=0.0550283, MaxDsw=0.00290292, Qo=346.53, Qw=0.00, Gauss=76
t=2.585, dt=0.124416, MaxDpr=0.0612727, MaxDsw=0.00344377, Qo=346.53, Qw=0.00, Gauss=79
t=2.734, dt=0.149299, MaxDpr=0.0666463, MaxDsw=0.00407314, Qo=346.53, Qw=0.00, Gauss=82
t=2.913, dt=0.179159, MaxDpr=0.0701157, MaxDsw=0.00479896, Qo=346.53, Qw=0.00, Gauss=85
t=3.021, dt=0.107495, MaxDpr=0.0370151, MaxDsw=0.00284634, Qo=346.53, Qw=0.00, Gauss=91
t=3.150, dt=0.128995, MaxDpr=0.0394266, MaxDsw=0.00336711, Qo=346.53, Qw=0.00, Gauss=94
t=3.305, dt=0.154793, MaxDpr=0.0403101, MaxDsw=0.00396937, Qo=346.53, Qw=0.00, Gauss=97
